"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
144.519,969.475,108.535,313.492
3.21619,2248.57,688.843,312.209
-26.8599,2375.54,319.302,397.468
356.878,2617.35,1189.58,-198.619
877.169,6344.25,600.318,1901.61
937.188,10801.5,1476.04,1032.65
82.1387,1716.05,352.961,9.51337
1176.31,21717.7,778.94,223.077
947.121,7210.67,336.298,966.972
1546.74,19696.1,1239.97,993.397
1241.11,9024.64,1372.76,1898.9
139.803,2175.99,490.785,578.396
491.483,7149.5,1525.86,1988.79
1024.05,33640.7,887.193,270.384
499.64,2760.04,504.881,243.005
722.682,9530.92,705.474,1573.41
1039.22,10098.7,966.562,1599.38
1158.49,8377.72,583.787,1455.72
822.008,10000.5,543.913,1064.33
292.278,2094.61,652.887,694.84
-181.419,1207.58,629.954,50.3231
241.718,1977.48,193.14,250.417
314.69,1723.67,510.734,401.384
405.973,1981.17,498.554,159.282
397.027,2885.07,574.054,58.5169
503.303,1415.06,985.758,118.521
50.0162,5842.28,467.99,-96.8843
601.084,4829.28,916.016,737.934
799.848,16553.6,1134.06,1580.17
-244.923,1709.19,-3.47073,309.467
660.484,27912.5,1026.28,987.956
2734.88,22808.2,5424.23,5342.46
669.802,5058.87,261.199,774.177
883.719,8634.1,1157.04,1467.35
1113.93,16626.1,1053.4,2170.37
651.824,8909.57,1008.7,2534.88
510.677,2195.26,416.834,30.4095
-5.20142,3331.54,165.135,368.872
647.782,1259.81,533.29,281.315
1360.66,10060.5,718.225,995.125
1052.28,10524.5,824.139,1554.53
395.217,8538.28,716.542,1144.63
476.909,7011.25,887.927,196.158
866.606,9857.58,930.339,1048.1
1208.12,8837.26,709.88,1163.17
72.2896,1735.88,607.139,-37.2652
129.507,1601.86,-11.1797,-238.01
299.112,2440.91,654.597,234.631
31.8037,1457.24,698.837,-56.8157
211.322,1427.82,483.552,380.542
-66.5042,1464.23,562.172,147.652
1525.03,14820.6,1931.48,1367.09
694.335,44925.6,2145.38,1386.94
556.319,15214.3,1911.32,1526.87
1472.54,12648.5,1339.65,3168.12
58.9638,1217.02,304.269,346.942
396.391,3401.36,731.652,27.4818
62.5437,2274.54,389.898,357.427
-105.653,1271.79,520.879,-6.29895
475.578,1893.85,375.988,231.247
1494.2,9489.09,1689.02,950.72
92.407,2014.15,-124.816,635.722
1044.44,37845.7,386.874,485.357
-145.686,2427.51,170.279,149.367
2102.13,19276.5,2193.09,2097.79
-37.1519,1727.44,899.749,-417.157
719.744,27060,648.285,1343.85
932.016,28495.4,252.51,484.949
1715.8,13444.6,4084.33,920.291
1201.22,20258.1,258.416,239.098
912.505,6988.46,1170.29,934.112
1190.44,16372.7,1432.82,1734.46
1227.88,9606.33,931.934,1533.67
913.428,5390.49,1357.54,514.485
860.44,10864.3,437.664,441.099
34.2334,2350.33,-102.919,403.994
1680.13,8760.39,2588.49,3667.88
441.31,6974.21,178.055,1245.46
336.597,1490.51,234.9,652.752
241.828,15718.2,581.802,1210.93
764.645,7415.63,1484.75,857.167
1014.76,23278,468.453,564.473
898.164,7068.67,3258.68,820.935
773.003,8412.21,517.529,1009.68
686.059,7693.36,514.346,801.219
918.251,10340.8,885.453,1803.6
831.065,23444.7,492.508,731.095
-20.4171,1767.21,-17.1402,276.965
97.2393,2145.55,806.766,-219.609
1417.65,30630.7,587.72,1022.86
-37.9968,1498.28,281.271,171.031
249.705,1262.88,539.384,111.754
881.437,8299.46,1981.61,1259.37
491.971,19299.6,222.955,677.24
1213.81,64195.3,1505.17,2028.7
668.793,12083,637.009,771.464
332.301,1603.23,450.37,490.412
895.903,11373.8,780.561,2428.5
1186.35,6901.19,1112.9,1203.37
758.193,8187.89,1092.36,1048.84
1228.18,13718.9,1756,304.302
1213.05,13634.2,1455.14,3193.05
130.895,992.791,678.543,608.594
-269.516,1345.47,-1.71967,-3.50052
1468.08,29298.3,1232.56,1230.2
732.632,48047,526.891,983.928
520.307,19939.1,1133.71,1324.52
106.269,2158.46,147.188,349.949
585.758,11410.1,958.549,642.765
617.808,8404.17,451.688,1011.59
731.249,35215.6,2726.04,1672.08
158.084,2164.61,1874.11,-196.104
1088.44,31615.8,542.548,1266.12
-146.642,1240.9,-133.197,-94.6216
861.639,5693.06,727.578,917.308
330.671,1735.2,288.78,68.3527
805.099,7144.76,602.338,775.207
424.193,2726.88,876.526,644.149
863.264,15840.6,1072.22,391.915
914.897,8516.54,908.431,1132.25
1082.12,13366.4,668.19,1690.26
1199.72,25164.4,1600.56,1908
-17.3249,3044.76,235.049,353.611
-97.5555,4145.42,406.854,239.327
922.551,16958.4,624.38,177.636
729.912,10021.1,840.687,970.777
-69.1465,1842.85,501.05,376.119
1073.61,13798.4,964.083,1591.79
575.177,5373.95,613.233,733.771
349.157,2895.8,416.411,-191.159
845.366,8249.71,293.933,814.711
756.451,14861.1,1095.77,525.404
470.502,17470.8,549.087,889.516
896.725,6198.58,1543.55,476.723
727.327,13328.8,783.47,1389.22
1048.58,39979.1,1017.27,635.969
894.974,10089.8,349.724,1334.74
340.599,5204.55,356.312,627.727
-98.7955,1414.19,273.6,-8.24808
621.722,14375.3,489.617,701.325
785.126,25678.4,842.831,1434.44
1748.43,21527.1,1135.4,1455.42
255.536,1623.89,-139.132,-134.351
451.878,4915.89,1407.47,80.6954
1278.91,33501.3,498.862,466.649
-201.955,1941.81,332.558,371.724
