Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
22011.6,2424.44,2147.86,2065.16
16079.2,2178.13,2520.47,1696.19
14105.9,3289.42,1452.97,1973.48
18972.5,2732.03,2548.74,1753.81
15162,1811.24,1969.68,1977.25
49225.9,316.036,1605.84,2789.82
27319.4,2132.08,2669.59,1459.62
55886.9,6028.08,4037.59,2557.19
17290.2,2376.36,1569.05,2682.47
12823.6,722.103,2628.01,2106.85
33738.7,2545.51,3213.42,1897.1
56333.7,4273.78,5213,3559.27
11355,1878.87,1154.23,1847.19
35503.1,805.333,2164.89,1859.7
30337.7,2119.24,1844.87,1865.37
15193.8,3301.43,2270.6,1367.64
9595.51,1539.2,1548.82,1231.88
23003.5,974.513,1460.14,733.045
18038.6,1770.3,1658.78,3084.68
14467.3,3507.78,2107.7,2447.77
9791.58,505.023,1046.69,1233.82
32459.4,1454.43,2460.43,1916.69
12692.1,296.292,1439,2109.29
15170.3,1538.35,2241.07,1050.19
10501.7,507.045,1499.13,2021.93
25644.3,-87.929,2287.06,443.992
15951,1408,2445.01,3078.98
16680.9,3453.25,2855.87,1532.18
13466.7,1603.42,761.009,2235.28
9723.02,44.7055,869.114,706.006
12054.4,3493.48,2218.34,1106.09
18139.3,2269.67,2186.02,2225.9
13819.8,1060.77,1343.83,1762.97
11552.2,2039.18,1592.56,1126.64
15747.9,3068.35,2874.01,2560.87
25816.3,95.85,1674.41,818.582
18980.8,1606.97,2172.8,1637.32
9409.06,40.4022,1738.68,1156.1
48325.5,782.787,1970.25,2947.86
17331.1,3192.25,1694,1969.29
16092.5,3294.28,2571.67,2941.93
15133.3,2075,2196.36,2600.28
16468.5,3863.34,2085.48,956.442
13993.5,878.977,1340.77,1703.18
9071.34,1286.9,1376.47,1522.65
13906.9,3190.39,1732.98,1826.52
26450.4,-469.034,2037.5,1119.92
17189,2279.2,2292.43,2882.89
13599.6,1664.24,2154.75,1962.72
20865,932.827,2769.73,1067.31
12426.3,252.29,1416.87,1610.22
15659.3,2017.67,1745.69,1156.91
17540.1,504.873,2076.79,1066.74
12429.3,3086.54,2066.04,1313.03
14814.2,2881.36,1583.6,2866.52
19118,239.661,1484.68,1088.4
11207.6,1651.55,1512.42,2027.7
17243.8,3320.24,1669.26,1932.98
13453.6,-1120.56,1839.73,2245.32
9465.7,1502.45,1370.82,1330.2
20626.9,1528.85,3051.52,977.914
9536.77,1813.09,1650.94,1023.24
17520.9,-130.144,1594.21,2540.57
19545.3,6128.08,1822.56,2108.64
12434.6,19849,6524.06,5884.32
12256.9,1028.18,1497.55,1531.08
14101.6,2367.15,1653,1705.34
21229,1101.18,1421.78,1880.77
10763.1,5482.38,2122.92,1742.98
13124,2345.76,1777.26,2361.54
14374.6,4729.78,2733.28,2047.68
25008.8,50.7558,2028.84,619.799
10890.2,2806.31,2225.68,907.842
15856.2,3741.66,1492.93,1489.17
11067.8,1976.48,2025.33,2034.27
21123,241.085,1530.92,218.432
30456.5,2021.2,2479,1596.47
14966.5,3712.55,3136.93,2030.09
13806.5,1740.24,2117.26,2613.19
11019.9,1771.76,1211.58,209.116
15166.2,1805.74,1707.59,2093.14
13768.8,3565.1,2625.6,3063.89
15265.9,2397.74,2170.96,1716.53
38201.7,563.283,1362.66,2462.54
25213.2,-284.207,2040.83,929.823
13688,1488.73,1587.16,2287.32
4826.19,4800.76,1663.81,671.393
13074.9,1228.95,1665.09,1539.2
21197.4,3136.49,2182.79,2747.82
12399,-904.227,1756.92,660.388
17115.2,672.922,1806.45,1320.19
34936.5,591.465,1679.73,1604.19
22811,1419.23,3117.95,1999.56
16191.7,1745.33,1983.75,1379.05
21746.2,857.813,2785.22,469.296
20247.8,-1084.59,1516.63,2065.21
10154.3,2387.38,1515.66,1432.58
14360.7,1705.63,1684.61,2373.21
30305.6,3576.29,2086.24,961.584
17861.2,1295.13,1950.65,1048.25
14712.9,2465.4,2203.26,1970.09
13258,2024.6,1938.8,2852.96
29109,6383.09,3153.79,1952.93
34587,321.622,2735.01,2551.33
19574.7,1560.4,1957.08,2528.9
15192.5,-384.076,2656.14,773.585
46888,311.242,1934.94,929.906
10845,2028.07,1044.52,1129.81
14794.8,558.786,1665.97,1500.44
12138.7,3572.6,1529.28,1593.1
12696.5,776.923,1226.01,1293.98
15426.4,1583.75,1898.33,2372.6
11506.8,2461.98,2080.34,615.233
9718.09,543.552,1353.84,1072.74
15187.9,906.777,2206.71,1746.63
11809.4,2725.38,1770.39,1550.37
29305.6,2855.79,1684.59,1246.97
17865.8,156.686,2399.2,1615.63
7659.4,2147.69,1478.73,1579.37
37220.1,4438.39,6237.24,3663.23
12293.9,89.3203,1802.06,1563.19
28892.2,2336.96,2221.01,1366.95
16503.2,899.837,2102.98,1613.66
41140.3,1715.18,1862.06,2541.51
93105.9,5152.16,7974.28,2598.49
13244.1,413.456,1521.22,1318.34
22748.2,1897.17,2352.16,2284.07
42123,895.546,1418.09,1155.36
13379.1,1489.22,2453.54,1660.8
13877.8,542.211,1956.37,1505.55
10070.3,1381.21,919.436,1226.55
25067.3,3074.12,1756.24,1518.76
12651.6,1438.41,1649.14,2204.76
21814,1244.57,2016.63,1969.35
16528.6,2329.33,2210.63,2096.05
14803.2,3641.09,2716.46,1476.84
28029.1,1979.19,2473.98,1085.19
29532.8,2123.98,2771.71,1408.04
13251.9,1152.49,1532.45,2237.95
11711.9,2032.6,1766.88,1086.54
16639.3,349.889,2277.66,1712.2
17880.1,835.634,2131.44,825.429
18353,2432.56,1826.36,4127.58
7481.73,638.55,1070.1,1210.44
13610.2,1519.44,2017.87,1677.01
11631.1,2492.07,1292.24,2198.2
10815.9,2508.68,1987,2747.88
12036.1,5141.04,2606.32,2047.39
14101.5,1857.9,1560.32,1685.03
12759.7,3378.55,987.721,1178.89
22690.1,877.715,1633.79,1715.1
35335.4,3487.06,3220.27,1393.95
19566.8,2915.98,2922.57,2497.26
13604.4,1185.57,2212.57,2063.48
28609.5,5399.32,4506.57,2866.94
15062.3,-209.482,1156.99,2065.3
40709.7,3973.68,6438.33,1216.87
14936.7,2196.27,3693.07,6698.6
14573.3,2396.48,2799.83,1625.9
16194.9,-203.33,1231.5,1260.12
13157.3,2202.75,1532.73,1723.16
16359.1,1414.16,2313.46,737.826
43694.5,2625.15,1735.37,2637.18
15104.6,2204.3,1334.53,1693.47
12836,2074.3,1769.46,1154.51
13428.9,2843.47,757.284,1767.73
27345.3,3817.59,4091.2,1948.1
8140.15,2742.67,1807.45,1257.44
15090,2097.6,1942.36,773.76
36471.5,979.638,2651.29,755.729
10640.6,2778.92,1947.28,820.527
26839.7,-8.5853,1762.73,2570.44
12124.7,545.13,1553.69,1467.96
15136.7,1996.05,1304.3,1730.13
12014.7,187.347,1387.48,1957.51
14098.5,3141.12,1449.29,1071.85
11748.3,1196,1675.57,1459.12
23120.3,706.386,2701.47,2371.02
20442.6,994.042,1940.58,3479.89
130305,2541.83,2696.14,2289.93
44604.7,5080.27,5032.49,2430.53
12854.6,2650.94,1981,1152.83
16850.1,1791.94,2206.41,3133.56
25195,30.5028,2062.02,1813.07
23574.4,1847.56,1368.87,522.904
24153.5,1574.08,1525.52,1357.78
16249.4,3915.48,2706.05,2456.88
22084.9,3160.35,2077.74,873.918
11486,5235.21,2295.18,2921.87
22241.7,1220.1,2027.47,1584.26
12397.2,2076.82,2444.9,2189.04
12798.7,1613.73,1570,2375.55
19643.1,513.504,1418.4,661.171
27871.1,2047.15,2059.49,1742.17
38047,25628,5330.49,2901.29
8330.26,2568.7,2818,1476.7
14208.3,2851.45,1741.05,2186.17
12855,3676.8,2517.23,2375.54
21865.7,1947.67,1602.68,900.081
10496,2428.66,1305.9,353.132
13337.4,2249.16,2159.16,1656.51
19936.5,4478.67,1681.34,2204.8
30115.5,1206.9,2087.8,969.95
14357.8,2481.78,2368.28,1363.57
17245.4,2428.3,2578.36,1695.64
17119.7,997.224,985.449,1679.75
21623.1,810.366,1214.09,308.145
10837,1824.83,1408.44,1635.26
13123.2,2810.93,1982.16,2589.56
25493.1,-647.157,1646.87,677.49
21306.2,950.255,2436.99,1729.03
13190.2,5194.99,1625.53,2831.83
13261.3,-851.542,1046.72,1635.04
17058,375.047,1374.15,1616.15
10092.2,3388.49,501.057,551.45
11758.3,321.36,1173.42,1513.35
14924.9,723.778,2190.02,1842.93
32225,3819.15,1811.82,2404.34
