"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1071.98,9295.84,1425.44,340.991
1144.78,17248.7,641.129,720.185
2928.86,46747.5,666.046,2732.61
2352.19,61904.2,2317.16,1763.43
1386.86,10041.9,1003.72,1510.83
1268.18,12839.4,838.186,1345.92
1081.46,12083.2,1206.62,1263.63
1384.82,7938.2,814.872,673.848
1771.95,43314.7,-170.957,2232.43
1904.63,57939.1,740.323,1767.7
1302.25,11959,1513.81,1465.18
1504.3,13400.4,1068.38,1220.79
1188.97,17502.8,1254.86,1161
1987.76,35754.6,895.618,1437.07
1591.32,25215.5,518.338,1142.59
1218.26,11967.1,908.341,1849.92
1867.86,21772.7,1024.13,798.745
3563.47,18999.4,3919.84,3508.31
1527.76,52914.3,946.445,2541.52
2182.75,10461.5,4119.87,1671.25
1303.13,12929.3,3649.7,2275.07
3201.2,89287.4,6317.2,3006.46
2299.91,15558.7,3558.47,1965.82
2122.69,15651.5,3139.88,2230.04
1111.89,14500.5,2813.07,1095.58
2248.81,16123.6,1889.31,1635.75
1386.3,10779.3,2310.32,642.535
1462.73,14059.8,3157.02,2864.5
1832.64,10684.5,2217.78,937.778
1978.28,9309.09,2204.04,1453.68
1409.37,14651.8,1341.49,654.641
1617.03,40069.1,3820.51,1959.66
1622.84,14005,2068.06,1491.95
859.381,18605.6,2317.52,1117.75
2196.68,14427.7,2246.89,1935.27
2440.34,16024.5,3305.27,2867.65
1964.79,29201.6,3408.86,781.172
967.401,11246.1,1401.75,735.968
996.794,17907.6,860.599,3.88208
1435.31,10169.2,2034.99,1587.43
3516.33,34622.2,2387.82,2744.91
2093,18227.8,3702.86,2206.44
1604.58,14675.9,2390.75,1766.94
1780.46,48202.6,2179.75,1027.28
1230.64,20454.7,1289.71,554.1
691.782,13939.3,1012.24,938.963
772.358,5595.09,1992.85,923.789
1660.46,26277.9,1405.54,1572.53
985.652,17063.2,1340.08,1080.71
2451.16,13227.2,2782.83,1874.87
1887.77,12385.4,694.649,1488.65
1590.84,42383.2,3047.74,1044
2372.65,25517.1,1789.76,2354.05
4383.58,34599.3,2575.87,2985.12
1585.93,15541.4,1504.11,928.448
1658.28,10135,2028.01,2751.18
1226.26,12021.9,2691.17,1106.05
4430.61,56950.8,4968.62,2321.65
1316.21,15344.7,3434.95,1978.38
2225.96,13219.4,2128.29,1691.96
1471.16,15650,1813.8,1670.64
1357.87,29486.1,1058.51,1314.6
343.766,7414.76,842.935,643.682
1164.5,8652.32,804.645,1217.22
1223.18,22039.7,-376.298,962.895
1008.49,13328.7,158.945,1992.78
1993.82,19016.5,2659.91,694.198
1791.35,18218.4,1711.23,2229.26
1478.12,15187.6,1632.26,1773.06
2259.14,13875.6,2686.76,1633.53
1861,17009.7,1625.09,1438.88
1698.71,11705.1,1850.42,916.903
1635.77,11666.9,-60.2926,1351.39
2518.87,48524,3775.85,1528.84
1054.95,10698.8,2645.74,1185.26
1466.98,10762.7,2486.01,1520.13
1685.52,12307.6,72.8709,1580.96
2008.53,46805.7,2069.1,2694.73
1777.65,11332.2,3194.31,1392.25
932.328,26723.2,1589.4,2297.4
1253.42,37035.7,587.475,1407.92
1429,14209.8,543.015,1504.61
2031.6,13850.4,911.682,1622.42
3053.9,38524,815.598,2490.93
2481.04,23096,624.471,833.62
1560.93,12726.1,-693.474,1313.7
1913.03,17068.2,4434.2,2286.78
1682.87,9741.21,1248.83,1272.46
1374.09,11834.7,1155.3,1229.69
1264.65,4484.04,1391.28,-184.477
1726.32,10344.1,1548.59,2010.08
1612.86,17150.9,666.35,1630.87
1122.53,14114.5,1063.04,1824.84
2634.79,27745.8,1917.7,2043.44
2059.58,15245.8,2989.78,1109.5
845.329,8190.57,1116.78,1343.08
1979.58,17534.6,2027.69,557.306
1955.55,21948.1,2103.69,1759.26
1389.44,9393.78,13266.1,970.225
1437.75,15669.6,1652.53,2381.34
1590.79,15078.4,2573.91,800.869
1753.97,43496.4,622.945,3777.36
1287.05,9118.08,563.147,938.66
1801.33,15977.1,1878.68,2764.57
1907.72,20560.6,528.19,2307.02
973.715,9289.96,4372.38,1680.45
1379.19,9757.24,2413.5,1841.93
1252.43,26177.3,317.999,2208.23
1459.65,34891.8,2530.06,2322.93
3263.59,17247.2,1724.15,1548.09
1869,10238,1211.12,1384.42
1289.28,7590.67,1627.24,456.612
580.077,14612.8,473.187,1112.04
3597.26,33477.7,15356.4,2252.44
1667.83,13180.1,239.393,1721.8
1976.78,10148.4,2149.61,1687.86
1772.24,18201.9,2122.22,757.287
2280.13,10711.9,1734.47,985.306
657.009,7907.48,1718.96,889.913
1363.62,12099.9,948.835,2133.84
957.199,11691.7,604.734,1231.37
1476.62,28315.6,465.336,549.327
1933.69,51075.5,-704.945,2149.52
1485.7,16799.6,-88.9281,823.995
1656.11,10797.6,1591.37,1623.05
1791.84,10796.2,2649.83,1954.22
1873.04,15995,1692.91,1628.96
1157.36,15929.7,2681.74,1942.94
2106.6,28627.2,378.493,700.969
