Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
15614.6,3570.08,1559.55,1011.67
63778,2867.54,2194.47,3644.96
12375.2,639.827,1052.68,1952.7
7385.94,1686.05,461.929,1331.96
21543.1,1501.34,2522.86,1013.56
11947.6,1094.56,1043.47,701.284
7630.51,2539.15,1460.33,1794.58
8453.24,2118.47,1204.94,811.422
8888.78,2174.45,1007.01,1848.56
11348.4,704.569,1221.11,1224.36
10300.9,1739.63,1003.5,896.252
16969.8,1848.14,1481.47,1112.01
10895.6,1351.91,1621.53,1757.18
9127.45,1301.83,712.552,923.833
9770.85,1698.52,980.324,1502.86
7592.42,1482.85,1161.4,1385.08
9620.16,955.09,1727.64,5168.42
8500.76,3298.35,1120.73,1943.36
7883.31,2261.81,533.284,503.346
7815.44,1554.17,679.666,718.442
8369.64,3603,1079.08,547.512
9629.1,1921.89,676.154,1693.93
12094,1804.98,716.959,685.252
46247.1,243.712,1545.91,2401.13
11935.7,1331.64,1389.37,1159.79
9131.78,2435.37,1086.93,947.311
8831.81,2141.56,1463.36,1654.77
9153.66,13177.5,2643,8312.06
8773.37,1370.5,795.598,1132.03
10171.5,2712.04,435.103,1006.91
11161.7,3843.51,1146.74,661.967
12104.1,1790.05,1486.11,1418.99
8483.56,1683.22,1300.75,1122.52
8814.18,1260.81,1074.27,1369.6
9170.54,2474.91,936.856,1620.72
22205.5,2952.45,1157.09,1074.93
28566.9,2604.81,2689.49,3085.45
10010.2,463.46,418.967,1231.95
14576.6,2208.16,1411.53,2890.39
7532.89,2140.69,442.724,1158.06
9670.65,1816.43,425.807,1365.05
9765.59,2120.52,1636.92,1886.05
7659.29,2296.2,1263.03,1458.5
39402,902.412,1191.98,1362.11
19204.8,703.129,1413.18,880.788
9492.26,2411.21,1178.41,788.883
6697.43,521.093,511.184,756.294
7710.67,2933.3,346.345,988.422
6222.52,1228.5,1158.48,1098.41
10776.7,1473.87,1027.2,1302.83
13073.1,1718.75,1429.62,1335.35
7043.84,1400.73,1237.43,1449.56
12769.2,588.88,1917.99,2174.18
4979.21,3749.03,689.912,716.019
11368.3,1920.49,903.45,413.123
9653.93,-785.379,864.893,1251.69
7281.97,944.026,727.737,1936.24
5507.63,2860.44,1160.14,1669.79
7265.54,875.492,1091.58,1168.4
8504.37,1512.23,499.331,1868.23
7732.43,1946.65,429.405,479.119
13379,3967.33,2580.04,4059.96
9670.73,140.581,636.434,1280.35
8654.55,1404.99,1238.87,875.039
9223.17,897.841,1673.68,5608.4
6197.89,-402.208,1048.12,536.478
29612.5,554.955,1336.42,1597.8
31872.2,103.961,1579.01,2727.36
71474.9,4900.08,2937.42,3714.4
6872.08,2674.62,637.341,2228.12
7573.56,971.879,1227.24,1391.48
7795.42,1026.47,631.973,1418.78
8975.75,1092.33,641.475,1006.15
25341,3436.49,1926.24,2220.34
10149.5,22.627,981.919,1199.37
9234.29,1729.53,1008.99,1574.22
33607.9,1805.79,1236.64,1807.12
14570,1117.27,1006.03,1070.47
12181.5,1502.04,1764.71,1553.12
8895.31,1311.1,903.105,1295.53
9860.7,1719.58,634.333,964.133
7252.56,1829.53,629.415,860.841
9338.42,1127.06,660.781,515.744
21299.5,590.918,1314.04,1282.66
7651.63,1115.42,193.862,948.073
25334.1,1415.62,1113.22,726.612
20768.5,989.709,1231.41,1044.24
8722.91,2050.94,1577.16,932.68
5825.99,1411.6,1929.75,2106.26
24438.9,2950.31,2078.49,1425.13
8520.04,578.896,882.311,688.472
15442.4,5216.44,2763.22,1453.81
6945.62,1624.96,1116.18,790.511
6566.98,561.786,1014.12,1070.53
11421.3,2304.88,742.331,1360.04
9669.14,237.689,763.145,1319.53
8491.98,371.115,1127.78,2133.06
13313.1,902.956,484.142,1312.81
26090.4,731.932,1116.16,1244.03
8397.47,1961.55,1517.24,940.593
39437.4,1466.16,1720.35,1817.56
7268.54,1717.96,918.7,1530.53
24525.3,5021.06,1271.13,1436.17
9844,135.481,536.265,1570.48
8012.9,4469.3,1266.33,812.691
13991.9,1710.6,925.651,1057.13
16025.1,1131.09,1462.49,1044.42
9265.95,456.265,704.781,1063.92
11303,-792.994,818.938,1285.93
5526.18,2158.55,1169.71,1170.45
11024.8,3334.31,751.978,981.754
11562.5,1485.43,1341.3,1066.89
19120.8,1821.11,674.63,1981.16
7728.88,2420.1,1862.46,1426.03
10035.3,1730.47,801.754,1681.27
7264.3,1901.46,1664.88,1770.58
32168,2065.47,986.431,1018.35
7975.36,-317.748,1152.56,1369.61
11607.3,1026,741.188,1063.99
12823,318.402,1057.28,956.568
27285.8,1523.13,1410.6,558.684
10867.4,1841.2,1126.37,1040.35
8963.5,1418.56,766.94,428.383
10352.2,1875.79,1445.16,971.45
21167.3,2188.4,2597.68,7850.99
11267.2,917.06,397.58,1644.87
6767.11,1089.61,739.086,1083.92
9511.28,1630.55,1089.43,943.462
10563.5,2283.67,389.345,653.024
20312.8,899.876,938.97,399.172
7881.93,982.809,643.245,1761.23
10602.7,2128.03,1930.02,1783.79
8548.01,2354.08,1784.42,6307.71
28846.3,2406.22,382.383,2156.15
8019.82,2457.63,1525.01,1564.76
10538.2,608.987,1190.78,158.209
26522.3,-160.505,1651.16,1125.1
7728.5,44.1091,1144.55,1166.4
7951.94,452.839,906.786,919.198
11118.6,2920.79,1044.21,897.415
11380.1,2627.84,1124.91,1486.79
14208,2387.33,1404.22,888.361
8774.96,2644.33,917.38,579.045
22248.8,850.354,635.792,1261.87
7115.95,1009.58,1466.22,621.401
9286.52,1993.87,671.4,858.604
9148.16,1115.28,980.399,784.691
7419.43,802.559,704.053,1112.94
20543,3255.08,993.365,1538.44
40564.4,1676.51,1017.6,2376.72
26017.4,1377.56,1177.21,525.917
7747.92,1362.27,1238.05,981.71
21085.3,7011.27,1561.68,1486.14
9137.78,1856.64,1226.25,686.492
26772.6,-642.473,856.982,1644.51
13010.2,902.45,1028.22,4210.82
10241,2771.12,903.335,1192.12
7554.28,2829.86,1216.42,5723.15
12566,1977.06,647.949,926.984
9109.25,771.75,279.572,200.076
11361.4,2660.73,1072.12,846.998
10719.1,1909.07,1216.67,1315.63
12480,1015.6,993.881,580.626
28199.3,454.681,1254.27,1093.35
7889.74,879.806,1226.31,2177.36
14421.5,1855.16,702.439,622.66
6966.82,-427.262,776.282,2144.82
8088.59,297.964,1415.41,1724.86
6217.85,-518.182,1128,1242.67
4939.95,755.236,675.703,1167.73
26861.4,2695.12,1937.76,1859.16
9841.52,333.602,321.665,1194.82
7790.06,970.554,1296.26,1277.06
9295.58,937.061,1099.46,980.656
13651.3,354.302,1326.92,1496.64
13568.6,2538.6,1376.93,1386.34
8446.8,3260.96,1990.16,1447.12
5500.64,131.584,564.077,1750.93
9241.62,2042.66,823.736,485.354
17850.6,2363.7,1380.61,799.976
16387.6,1525.18,1301.74,1229.23
11277.5,634.764,1035.26,1510.02
10074.2,2279.56,965.532,1178.25
6457.4,285.26,1325.39,959.945
35629.7,306.319,978.631,936.713
5736.53,852.912,658.668,1398.77
25670.2,2806.11,1718.21,1051.64
15816.7,1374.35,1651.34,689.591
9698.06,-79.4098,884.342,986.232
7857.42,160.828,798.605,2120.92
10875.3,2500.68,1238.4,825.266
7773.27,858.617,934.981,1359.81
19281.5,1161.31,896.694,1285.84
14232.8,1902.01,921.657,1097.57
5611.4,594.256,519.429,574.905
9773.21,2351.54,864.113,1047.41
6414.37,-146.104,1681.58,1321.07
12918.3,1620.95,800.943,707.743
14102.6,1158.45,1016.54,1241.89
22995.4,2310.39,1340.83,578.237
32919.6,-1776.47,917.526,1267.59
23237.2,1777.46,2382.76,2739.16
8599.6,1504.89,751.163,1702.87
16188.9,1609.59,2727.2,1366.53
8544.1,128.61,868.241,1371.49
7351.71,3038.21,930.411,1081.93
12354.6,-145.72,438.774,2778.76
8469.34,2167.46,1596.53,1400.98
8529.83,949.368,1641.61,1136.82
31560,670.878,1067.97,2286.69
5472.91,1556.67,600.882,730.277
11351.8,2450.31,1224.57,739.201
5350.62,1673.34,560.626,751.992
17731,4090.69,1193.93,1960.46
6671.42,1561.13,1163.19,1436.38
10772.6,1808.36,990.169,1354.98
16453.8,1218.62,1051.72,1975.49
9421.07,1477.73,846.811,1599.48
19540.5,2656.65,954.05,931.678
16327.2,1986.79,1881.77,1336.68
7242.58,855.686,676.16,1241.27
6593.42,297.98,393.496,537.81
10071.7,1711.11,489.28,2587.83
29009.2,881.988,1358.73,1277.3
6439.63,224.565,898.229,1093.87
37683,1907.74,1183.48,1542.32
14376.5,1367.8,581.678,1545.28
14236.7,2196.58,1273.17,834.901
37138.7,-469.068,1987.87,2614.5
12330.9,211.145,990.633,1357.68
20493.3,505.569,919.286,413.653
15397.4,982.856,853.585,1232.11
7489.31,788.536,1220.11,1762.17
39694.7,-15.7052,918.734,2109.44
8017.65,1719.52,1010.11,553.25
4572.92,779.051,1530.67,1473.56
17841.7,1383.76,879.548,949.925
12334.4,1792.26,537.615,1973.1
8453.33,929.115,485.825,631.948
11499.6,1998.1,995.092,1986.24
11374,1414.28,904.446,1246.76
7783.88,56.4378,1038.03,548.731
18992.8,-356.616,846.784,1777.76
9741.29,1069.76,564.636,1365.94
10567.2,-197.725,468.691,2199.35
8503.32,1653.36,602.916,1761.21
7800.52,842.096,873.892,1539.7
40682.6,1816.28,1111.04,1420.32
11574.8,1898.78,1419.36,1195.34
10401.4,284.926,1040.47,1332.83
31537.7,2895.72,1453.58,1904.01
6446.7,722.425,306.431,1157.14
10800.5,2105.71,1276.62,1022.1
15850.1,228.009,889.25,880.149
10166.8,2260.58,835.04,772.778
9673.44,2882.59,815.274,825.367
8884.88,2450.72,872.134,1448.71
9948.1,1374.09,517.172,1080.92
16485.5,489.373,1572.27,876.009
6704.51,1289.47,1170.24,4250.04
21108.8,1798.75,1539.02,787.891
6837.2,2093.55,2164.49,1289.73
8802.62,3326.81,1508.88,1045.26
11749,1326.16,1035.27,1023.61
7226.56,1545.3,629.13,1109.13
8359.98,1567.61,842.785,836.068
47862.4,4097.09,2588.35,1384.04
9130.51,829.405,946.117,909.753
6226.01,1006.99,958.745,446.252
42479.1,1576.02,1402.19,1334.23
12395.4,2882.9,1399.69,2641.44
9020.95,3223.21,1203.07,310.407
8259.27,405.745,1046.17,3062.27
20984.3,2357.17,851.115,1472.43
11327.4,830.133,935.115,1184.29
7169.37,2360.64,617.098,1343.18
9494.05,2926.59,1986.66,1449.86
15119.5,1740.78,409.053,1064.09
16708.2,1121.1,1774.62,627.224
6982.62,500.645,1080.17,887.43
13433.4,787.327,1406.96,1888.67
6472.87,1054.51,486.745,1386.8
7853.92,1716.99,1203.8,1776.88
26464.7,1280.8,943.364,2318.6
10509.4,528.649,769.113,1992.81
8089.66,1368.87,634.607,495.15
20952.1,899.698,1002.89,348.002
15409.3,964.865,915.721,361.227
4945.17,1975.42,1154.49,2505.91
8183.56,773.536,804.678,932.171
8990.74,195.586,1220.06,1541.35
8654.29,1596.23,972.723,1941.97
10900.9,2702.48,642.664,1399.24
8440.88,493.169,788.373,1650.59
6956.21,1635.85,870.542,916.081
6704.96,2437.13,367.208,1273.12
20751.6,7034.25,3240.02,10257.9
20765.9,1641.76,1030.94,1408.24
18528.4,509.422,898.669,782.32
46761.1,-1792.7,1124.68,1715.3
16348,-330.581,1338.99,1562.66
8566.8,1676.6,1580.31,1543.84
5977.08,975.914,138.212,207.075
20124.9,-1861.59,1085.56,-184.526
7805.24,1525.78,606.691,1306.08
12005.6,2283.05,1453.76,1850.08
14783.4,1011.68,1485.31,3118.33
13842.7,809.75,1382.17,1016.47
26832.8,5079.32,1861.14,1777.45
13040.1,1193.71,2010.8,4669.42
15212.1,325.713,832.987,2080.11
9875.67,779.452,800.095,2173.04
7857.58,1540.18,267.116,697.155
9018.99,2297.59,607.701,1411.06
7560.09,-84.3258,1006.11,1396.66
9204.83,302.036,774.892,1290.45
9240.92,1494.47,2108.18,1654.26
10344.4,1877.27,1074,1656.88
18391.3,8790.59,1518.27,1681.69
7365.64,231.831,289.043,1546.36
7097.39,2097.49,798.565,1339.44
6682.37,862.279,1645.47,1907.34
6007.75,293.289,487.193,1201.8
19388.5,2066.32,1241.9,1474.37
14560.5,2838.42,885.743,426.019
8159.61,3543.38,1101.19,1171.72
15238.6,619.38,1434.24,793.205
13708.7,2265.71,1406.96,903.657
8734.39,3055.05,740.811,1294.82
23232.4,1534.59,1536.48,1038.53
13876.6,1956.34,1362.57,1395.45
8988.34,2858.18,1094.82,963.73
10267.7,391.905,1467.82,826.717
14698.9,532.521,550.179,1080.4
12747.1,1565.46,1420.29,1578.93
6711.07,2095.16,911.431,1483.9
8299.87,2409.09,713.523,1289.35
9410.43,2227.12,926.198,1164.97
18847.1,2898.8,2045.51,4325.72
30745,2264.96,2281.41,1749.45
12280.4,1316.36,1425.22,3190.75
8491.24,1623.64,1118.78,1812.62
11710,1438.32,1440.54,1344.46
6616.66,2420.56,1294.28,1323.49
7261.86,1189.78,886.345,1714.48
12342.4,1151.54,1208.95,1370.98
14382.3,1821.86,594.798,694.654
10659.3,2110.48,970.424,2798.5
9748.73,531.249,1219.61,1639.39
33314.8,1141.2,1188.05,926.444
11286.3,3017.66,1072.67,909.751
10563.8,2122.58,1075.78,1093.42
26714.6,178.494,2545.96,1246.92
11413,1916.48,1019.28,1349.67
10393.8,1419.7,1048.13,1299.72
7414.61,357.944,851.048,1579.75
10183.9,2870.2,1258.59,1253.36
8545.37,196.283,793.509,893.398
9672.62,2722.29,1371.36,800.799
7756.19,1273.4,777.837,915.349
31180.7,2828.36,1732.14,1243.9
16225.6,476.031,1224.46,1008.49
10189.2,1867,1397.98,1724.58
9536.99,1801.3,1163.64,1766.12
7697.38,2520.36,779.303,1643.86
11581.5,2748.93,2163.01,2145.63
20448.4,635.35,1343.63,543.701
9190.49,1414.34,1013.27,2156.57
10165.6,1374.3,925.642,1671.4
9698.85,1533.81,391.071,669.645
8007.93,1945.18,606.115,2192.45
6430.21,840.424,1545.02,2165.29
7516.18,2577.39,1312.78,1049.52
8227.49,406.03,1058.35,3442.98
5018.32,2381.46,796.204,333.603
14472.8,580.889,1933.14,1988.74
13197.8,2205.74,1513.38,943.356
6985.76,-1227.43,294.922,830.314
21852.7,2680.45,2282.19,1794.47
7584.6,703.608,804.022,1455.08
6657.46,107.398,1579.96,867.829
13123.8,2816.19,1273.44,1186.63
9689.78,699.157,1374.19,2387.9
15063.6,1925.26,739.946,1292.96
11790.5,1226.32,1244.68,1322.14
11510.1,767.446,1170.04,1508.26
