"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
578.862,5356.94,500.773,1234.67
1428.41,17232.3,2252.72,989.015
1091.37,15114.2,1744.02,855.212
524.048,5367.67,1231.14,1221.15
1026.79,17256.5,1139.7,1444.67
662.617,7713.96,2365.82,1269.53
2074.64,24221.8,2567.21,629.823
1049.4,8881.87,1787.68,941.226
2592.12,20977.6,2932.7,2622.76
804.358,10603,1388.81,1089.55
412.177,7899.94,607.052,297.75
1231.27,11563.7,136.865,1150.51
1148.4,23081,-652.108,655.97
643.209,14524,1691.16,1412.11
947.394,8789.15,1781.66,650.175
825.795,8798.16,-432.765,995.764
1178.34,11005.3,2417.59,1535.4
1654.21,12675.1,2691.79,1333.7
740.628,29380.5,2503.19,1830.65
1117.4,9157.12,-212.063,1450.42
1365.06,10821.3,376.762,1735.94
1403.68,10258,1527.19,2016.32
646.591,6585.76,709.917,962.803
1354.54,34275.1,1075.97,1843.09
1481.5,35344.1,197.99,2021.62
2619.35,17655.1,2855.39,4120.22
851.441,8680.11,2187.46,1130.43
1316.68,46872.3,-352.677,2631.7
2387.14,21208.2,4999.13,2763.85
437.194,8293.4,507.44,834.429
1184.7,8082.84,2733.2,1633.78
1428.5,20785.9,1977.31,1159.12
1397.14,8830.93,2008.21,3332.78
1089.98,11794,564.284,1175.32
1591.16,7866.04,-1095.96,1601.6
1135.29,33503.9,1806.47,839.31
1260.13,38092.9,1487.01,2881.31
1239.59,37541,4115.64,868.477
1055.8,10378.5,485.02,1569.29
5959.19,23240.5,6437.14,8524.88
850.932,7616.46,719.838,1333.09
732.621,8167.21,1658.59,1006.33
234.287,7989.87,1426.01,594.004
722.014,31912.6,575.349,1123.03
4842.48,9810.13,7728.72,3298.61
1095.63,30744.6,2692.38,1367.48
307.163,10778.2,1641.59,839.076
1051.41,32324.7,2759.48,1622.51
227.537,3436.38,4357.68,344.213
1451.75,9543.36,1978.99,1585.01
778.763,9948.3,2491.55,832.578
990.519,9047.88,3463.14,289.189
1832.87,9684.79,2101.84,1938.08
1505.91,7107.32,2296.71,1261.07
1135.73,11312.7,2395.82,1210.66
608.166,9902.51,3083.51,1060
533.761,9110.19,227.853,1150.08
564.285,9502.19,802.795,816.445
1165.03,20685,1869.09,636.531
1035.33,10734.9,559.354,983.942
989.146,8975.73,1234.89,785.916
6180.24,65348.8,34492,3485.36
1034.54,8027.52,640.562,652.017
1183.19,6118.48,1126.78,582.127
923.157,9545.25,731.125,1354.38
1259.91,9370.33,1497.71,1205.53
1105.05,13302.2,2292.58,1475.96
713.823,11934.5,2047.14,1376.82
712.993,9136.98,1770.8,739.285
1100.92,8921.44,2936.19,1991.38
1024.67,11595.2,-810.704,1818.91
893.743,8073.23,3785.89,1109.48
2862.14,11674.7,3616.22,921.158
1286.17,18907.9,893.248,1178.76
946.059,6275.54,3048.88,800.121
2123.04,18678.3,2419.73,1095.67
1248.56,7567.69,1206.02,878.577
1792.35,11079.6,1014.2,1206.4
1152.63,13585.2,3176.35,1166.01
827.523,11836.5,1674.42,853.374
708.562,6415.51,363.777,651.96
1292.17,8097.69,1595.55,1260.09
880.768,15207.9,1375.47,1530.23
845.241,6486.16,1682.9,2011.67
1531.2,17787.5,1285.98,352.343
884.465,12028.2,316.593,1372.55
1870.05,12483.4,355.45,1452.39
858.354,8478.77,-848.841,998.02
932.081,8317.24,1302.2,1072.27
1154.11,11129.1,960.478,582.068
549.88,9915.54,1834.57,1018.54
1125.03,9519,2993.88,1037.97
861.033,8371.93,309.269,1343.6
1035.67,25522.2,998.376,478.234
832.547,11995,2385.13,1442.92
1386.35,11154.8,2532.48,1515
1113.61,8862.92,1389.15,1018.35
1071.9,33217.4,3751.62,2131.29
1925.34,19669.1,1993.64,1509.76
1204.88,30073.9,-467.421,695.642
651.618,12232.9,2124.25,1292.05
1759.75,14437.1,423.926,1513.95
1228.47,24546.3,678.126,1126.27
1171.99,10805.6,3076.17,1126.67
488.926,16344.8,2294.85,1068.35
1164.1,15646.4,3866.98,1994.91
1620.19,33505,7958.73,1289.78
2154.39,41792.1,3848.31,2444.51
629.166,8096.45,644.029,1241.6
714.864,7459.36,415.544,982.304
1043.08,8408.14,1834.27,1094.74
1439.69,16669.6,1177.12,573.745
903.785,7124.49,1336.05,2602.72
720.094,6902.88,882.516,1596.88
524.458,9397.6,380.613,609.192
2442.96,13072.2,239.289,279.498
1247.84,9786.87,1131.58,1651.2
159.074,6196.24,558.075,901.624
1011.25,19441.3,3225.47,1907.32
342.339,8034.89,966.421,1329.6
891.875,8702.27,974.013,1281.18
1762.38,6344.11,3140.83,1060.7
852.811,14940.2,2067.49,975.899
1564.35,10291.1,2702.45,1565.81
1548.17,9382.19,917.494,1051.07
1102.46,8699.14,1426.98,1660.34
936.74,6903.99,2843.94,1097.15
1011.31,10221.6,982.83,834.323
4653.43,31918.3,2126.54,3332.91
943.624,16320.3,-222.167,697.382
829.913,17102.3,975.335,2017.38
