Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
14109.2,2043.84,905.329,2008.77
7848.34,2736.32,680.139,1638.73
7890.08,970.159,918.13,1021.25
7098.88,1409.07,797.266,1132.88
7617.17,2223.73,853.299,713.808
10643,2087.07,1458.26,1228.55
24856.8,954.315,1993.31,2170.51
53602.7,2714.23,1271.71,660.803
11729.5,1412.13,985.939,1420.68
9334.47,2779.26,1259.32,2231.8
5974.87,-124.119,1136.64,1148.19
17911.4,2684.12,1457.14,1205.18
7584.08,2718.58,755.666,1389.81
8740.64,1894.72,848.911,1168
15693.8,1877.25,1368.02,1083.97
10439.9,2984.67,1478.89,968.923
9858.61,1686.84,1729.19,1779.68
9699.6,2515.75,1185.61,3819.01
11605.9,1276.81,1332.29,1096.22
11109.1,2215.56,1334.7,1257.51
10207.5,1288.36,1040.02,1199.78
9836.77,1225.25,1819.2,1037.57
9878.2,2417.4,1245.77,400.149
8422.02,1548.63,883.288,1783.21
12535.3,3782.61,1586.67,1846.04
11484.9,1824.1,1545.06,1810.43
12446.6,-36.7849,1542.89,1280.15
12003.5,1584.11,1679.09,2193.5
11077.5,477.47,990.237,1070.47
21979.1,5647.37,2436.16,1675.22
28356.9,1241.95,2079.66,788.649
52760.7,2738.46,1573.3,1073.1
11301.5,2066.77,1193.32,1664.47
30844.6,1241.85,1916.59,1053.61
11745.5,3372.89,1214.23,1420.83
17487.9,2136.64,1536.47,1044.23
7185.41,422.291,768.255,1568.86
8744.14,1072.15,573.408,1562.57
9648.13,2667.98,1232.84,1602.42
14080.4,3757.53,741.16,1377.33
12475,2907.24,1310.89,1160.78
8047.5,3177.88,1558.06,1634.51
12948.9,1961.26,1227.36,2556.6
19810.6,1880.49,2163.51,1831.65
21021.7,459.909,1361.82,889.857
14492.7,2140.71,1541.18,830.394
7200.72,286.15,1144.2,1225.13
7477.46,22.4107,1314.64,1291.43
11038.5,2053.53,1076.29,1117.47
9750.67,2153.41,1016.34,946.963
22381.7,4877.97,2772.69,1895.66
11404.8,2272.73,1532.54,1428.19
9064.7,1759.91,1311.93,786.472
10526.4,2892.87,1331.32,1822.89
7475.34,1293.22,1150.76,3390.07
10749.8,3259.08,1218.12,913.613
8693.35,2885.67,746.674,1964.54
10527.1,604.257,645.751,615.803
18055.8,3276.71,1323.37,1638.88
7830.58,2456.95,1028.17,1990.04
38430,1246.08,1551.04,2091.41
5747.64,791.267,1193.99,1055.14
7189,323.797,1378.91,147.656
26807.6,1982.24,1468.77,1489.76
17523,2556.48,2786.74,1490.21
9358.95,2168.55,1239.37,2416.42
8564.27,678.739,1176.59,1184.85
7959.34,3436.4,959.014,750.987
7691.19,597.148,1561.33,1532.27
11887,1034.46,1435.96,1819.56
16319.7,1810.24,1868.97,1927.43
19097,1430.23,1343.97,628.399
20806.7,7180.17,5139.7,3501.88
13205.1,1994.58,1276.86,499.609
36656.1,1832.05,1634.91,1710.69
7846.68,2263.64,1158.87,1616.65
15118.5,491.525,1718.28,536.377
8631.38,-480.14,1573.77,861.493
26970.2,3049.67,1955.16,1509.01
21538.4,4149.6,1716.04,1742.74
7659.17,783.935,1330.32,1136.81
13169.5,1392.01,1337.93,1635.02
8801.99,2209.56,1677.64,1777.9
8781.46,1277.2,1417.96,2001.79
16767.9,955.701,1880.87,1508.58
9822.37,2976.45,1236.7,1178.99
7971.95,1352.2,1695.84,2236.25
7654.26,485.545,1560.09,1389.41
21850.3,3305.09,1949.49,2077.01
7386.75,3959.2,1542.95,652.095
28422.6,3487.12,2355.76,2378.57
8698.59,141.304,870.447,2343.88
8211.99,1296.02,1162.06,1127.86
15139.3,2468.81,815.74,868.264
13358.1,526.021,1807.2,626.48
9679.59,1832.27,1458.21,1649.85
14349.9,216.156,845.67,1514.92
8605.3,655.473,1495.54,1038.44
15133.7,2902.54,2727.55,5454.61
9756.3,1588.88,1271.01,2885.67
19176.5,2051.99,764.51,2538.78
12329.7,24194.8,5711.56,16569.3
25308.4,2724.23,1639.17,471.059
9956.95,2030,1347.26,2464.43
9526.52,2436.36,977.151,2144.9
8633.51,3460.44,1860.62,1404.96
