"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1246.24,10390.7,1247.6,1553.28
2516.85,18530,1650.58,3200.99
1365.68,7298.2,3977.7,1721.29
1764.33,10078,5200.74,1563.5
1811.18,32561.6,3241.94,2313.77
1258.7,20559.4,4887.75,1289.91
1540.81,8852.88,4292.84,1417.17
792.188,10963.6,4204.2,1278.94
1395.48,7848.39,1927.98,1518.14
1057.92,9119.67,1864.07,4488.96
1755.32,8882.45,1681.47,1426.28
1128.06,8663.51,1525.44,932.853
1957.29,29989.2,1539.71,3707.55
1440.72,9944.48,1584.07,2279.74
663.045,12466.4,1147.82,1005.7
1451.66,7821.52,2554.46,1623.35
1048.07,5393.07,2843.62,1483.1
1223.7,15214.4,1130.55,1789.14
1483.83,7968.26,-127.691,1019.34
1283.84,7353.13,358.272,872.676
1319.73,7519.31,2431.22,2109.84
1745.98,10771.2,4108.87,1156.06
996.8,10481.3,817.052,1194.8
1599.43,9704.88,2999.2,1632.6
1816.35,11596.3,116.915,1171.66
1488.63,8425.39,1567.39,1667.28
1314.96,7445.2,349.063,2249.23
1777.13,17605.4,2671.75,2506.43
1143.36,10148,4702.34,1681.81
898.531,13414.2,1288.3,1057.17
1037.21,15711.7,2418.32,1409.47
1951.08,13018.4,281.449,911.467
3323.36,23007.4,2519.94,2405.3
1262.28,9333.13,2128.92,2023.84
1659.74,9661.56,1863.1,4386.49
949.69,9618.35,2649.56,1161.95
1058.04,12018.7,4026.45,851.137
1656.6,9781.81,4458.55,1419.46
1219.08,7458.79,42.0891,2942.1
1958.89,39357.1,2665.58,1069.4
1628.79,19787.8,847.522,1629.69
1715.39,17235.1,1826.91,1069.76
1347.51,8253.47,949.227,1217.99
1414.33,9377.41,2491.31,1620.24
1045.25,13522.9,2214.01,1565.38
1723.61,8933.59,5813.81,3725.14
846.211,9714.56,1999.73,2279.04
3102.93,27037.5,2378.37,2025.91
1499.14,5291.92,-14.1897,2602.52
1247.17,10274.2,1795.55,1522.32
1545.75,20166.2,3886.38,1145.44
1799.81,15062.2,1590.78,1705.73
1897.07,10335,2029.76,1257.08
1512.63,12369.5,1165.48,900.801
1946.95,11432.5,3887.39,1641.49
1314.17,10433.9,345.548,1419.24
1126.54,11481.7,852.606,1867.57
1232.59,9719.63,1178.44,1151.78
2021.04,19341.5,729.054,2710.83
1817.75,24287.9,2369.89,1462.79
689.848,9859.4,-782.891,2383.65
2132.68,45493.1,1597.01,5548.16
1433,9300.4,1959.78,933.999
1300.76,10711.9,3310.02,1492.65
799.349,8194.28,1401.72,1251.57
2174.94,29026.8,697.535,1173.13
1520.26,8708.57,1344.24,618.746
889.484,12425.9,1824.24,1502.92
841.836,9505.58,1452.13,1760.37
1216,8692.17,-821.805,2204.8
1603.21,11217.4,1359.21,1206.61
528.857,9125.43,1858.65,1192.99
