Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
17880,9018.16,3164.96,8730.72
10482.3,2875.72,1796.81,1797.68
9061.64,1651,1446.55,2862.01
13144.4,3770.68,2169.41,2170.13
14891.6,5820.87,2553.72,3156.35
15050.9,2927.89,1429.53,3847.18
14337.5,1026.59,1984.37,2494.93
17837.1,1932.86,2279.29,4002.76
10853.3,627.737,2436.48,2534.9
45811.3,6577.11,5570.44,6186.76
12094.1,1640.86,1276.5,3199.37
26503.1,5190.25,2213.22,5243.07
15355.3,3363.66,2203.53,4125.49
10055,1993.51,1809.42,2527.52
14634.2,5897.76,2851.93,6857.68
7476.55,1546.96,1472.63,2133.44
10189.8,-101.302,1631.46,2547.58
8553.88,333.783,1244.58,2454.44
11078.9,2668.88,1693.42,2191.55
16391.7,2747.24,2543.44,3791.38
12535.7,4264.34,3449.22,2774
12464.6,1900.85,2041.36,5627.4
14349.2,2506.34,1531.53,3471.28
41274.3,4774.63,1684.03,4746.21
9927.62,4043.44,2402.72,2307.21
14230.7,1354.55,1933.46,3641.41
16287.3,2832.44,2038.14,3342.03
18745,2999.97,2160.17,2950.46
15219.7,3258.89,2084.34,2308.91
10851.2,143.315,1345.6,2936.93
14382.5,2341.66,2315.63,2437.02
13427.3,1670.26,1911.29,3333.94
11851.3,4952.88,2460.74,2031.02
27135.5,7884.47,2403.5,4449.04
22119.4,18652.6,3255.72,8344.89
17590.8,1496.32,1783.81,2873.6
29751.9,7333.64,3476.88,6580.64
21564.2,3733.81,2219.72,7066.72
14385.6,1237.46,2573.53,3752.07
18641.2,3322.63,1849.08,3439.7
15407.9,939.587,1534.73,3886.82
35393.7,6242.15,7647.58,5824.81
12708.1,1875.6,2576.36,2908.48
16142.9,1566.21,1397.49,3658.03
10007.9,2658.67,1922.59,2717.99
23360,5731.24,2334.57,4044.79
11769.4,1949.66,2924.51,2775.86
11486.8,1630.97,2436.38,3770.38
8451.8,2068.98,2068.11,1981.93
16994.6,3153.29,1559.52,2849.93
37597.6,7095.65,4098.6,8022.71
17463.7,5808.07,2856.1,4125.44
29638.8,3082.21,2218.1,2148.45
11265.1,1032.93,1989.76,1723.7
15216.2,797.565,924.157,2274
12069.7,5589.48,3886.13,2323.38
14314.4,2499.05,2171.31,2574.34
29037,6067.99,1667.77,5310.92
11773.7,1218.86,2147.15,3047.01
22045.4,4954.98,1529.04,2913.96
13299.5,1297.36,2229.07,4918.09
13340.4,1555.53,1465.53,3166.69
17573.5,1547.36,1370.41,3154.64
15329.3,922.71,1617.13,3808.8
17733.2,1623.55,1395.06,2462.54
19186.5,5960.43,3320.21,4817.2
18181,2282.26,1672.87,3436.42
10415.2,3373.53,2174.55,1247.36
16974.4,4786.22,1719.65,1855.86
25475.1,2332.68,2291.68,4560.71
17041.6,2958.55,3114.96,9297.99
8569.33,1695.93,1383.73,1598.46
15826.2,4594.1,5378.81,8188.63
18755.6,2937.98,2548.84,3291.36
15376.4,1591.96,1175.85,2550.83
11144.1,2318.07,1437.1,3268.35
18574.8,6045.9,2482.49,3015.71
18131,5129.72,1734.03,2556.72
10278.9,2318.87,1992.54,2044.24
12389.4,4388.88,1911.59,3949.77
