"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
3883.48,17885.6,1779.7,4386.01
1705.84,12438.4,1093.36,3004.89
1172.91,6369.32,7573.77,-32.2928
2514.26,28644.3,6337.32,3885.73
2206,15040.7,3697.64,4381.26
2961.27,16587.8,3354.83,3647.23
2593.49,14699,1789.72,2809.72
1992.21,13563.7,2902.59,1968.9
1603.93,13440.3,1475.75,2369.23
2946.15,23883.4,3156.98,4047.81
2609.56,38390.2,6548.76,5073.26
1661.82,16623,2912.84,2972.73
2388.46,8824.17,4082.33,1144.97
1823.07,13713.5,2769.48,3642.94
2655.74,20683.6,3902.24,2176.37
1152.21,11521,1581.56,2651.94
3625.24,13510.1,4507.05,3454.09
6206.99,14683.5,7739.99,7620.22
1560.77,14243.6,1532.14,3708.28
2562.18,22925.9,2264.26,6448.66
7357.43,9880.24,5405.4,1816.3
2012.15,13044.9,3634.78,2440.31
3870.17,20311.1,3965.04,5962.62
2366.85,25855.1,4555.33,4459.92
1852.86,13593,3060.74,1978.81
2199.87,23274.7,1375.84,3693.33
1410.06,19702.3,4952.02,3111.62
1999.87,14087.8,3364.29,3361.76
1707.55,14872.2,2658.45,4282.82
2612.46,14762.5,2294.84,3313.11
3146.36,12539.5,2686.57,3005.61
6595.87,27027.3,5689.94,2579.34
2154.26,15929.2,1570.87,3140.27
2105.22,33726.9,3909.51,5021.34
3207.95,9524.72,1696.43,4989.59
1890.16,13726.8,1052.44,3011.5
2100,12538.9,1681.94,2895.74
1925.77,27673.2,4765.2,4442.18
2382.87,20645.8,4128.53,3648.26
2453.41,32170.9,7410.57,4834.74
1363.31,14446.9,1586.1,2500.52
3595.87,12729.7,2264.46,10093
2598.61,24807.5,6931.91,3552.54
1689.77,16208.7,2021.34,2567.3
1742.15,17736.4,3595.16,3544.17
2090.34,12488.5,2362.87,3673.08
2220.15,16333.7,7563.92,2311.63
2485.42,20057,3325.84,2789.8
915.064,9734.68,3655.09,1627.48
2245.6,13166,1742.42,3397.47
1687.59,12400.7,2992.26,2834.04
1440.93,11484,450.944,2155.85
1367.74,15824.3,2939.23,3659.94
2012.42,20936,672.608,4408.74
1744.77,24591.2,5694.05,5321.14
1297.7,13538.8,1432.38,2670.18
2426.3,25785.8,6808.09,3989.06
1416.23,15036.2,1287.03,3116.81
1559.39,18439.2,6776.64,2043.76
3158.16,10848.3,5904.68,1924.22
611.538,15246,2029.29,2420.73
3217.73,14602,6214.68,8805.01
3372.67,15328.6,8347.94,5400.9
2044.71,20538,3487.76,4278.31
3430.3,20868.3,5639.85,4244.69
2728.69,11007.4,2841.09,3574.1
5064.76,22243.4,5603.03,4436.73
2400.58,10774.1,908.789,3753.07
2647.03,23500.6,2012.6,4166.54
2592.98,17592.9,2922.46,4810.52
1785.79,12929.5,3356.47,3704.8
1968.97,13626.2,4184.21,1993.03
1571.49,16881.6,2158.8,3040.79
1480.18,10940.2,767.256,2126.11
1966.81,17569.1,4431.22,3405.37
1850.56,19145.4,3092.59,3070.9
2755.41,17349.7,1975.58,4552.42
1758.26,9828.78,933.333,1229.29
3050.78,15975.2,2680.53,3749.47
1794.46,13241.8,2339.35,3465
1595.08,10855.6,2076.32,2462.76
2034.53,13126.6,-106.216,2968.06
3138.35,28888.6,5438.35,4953.97
1843.27,30487.4,2965.62,2808.52
2489.72,28573.9,3226.99,3324.65
1853.45,13474.7,535.055,2809.86
1546.22,13741.7,2770.85,3424.83
1769.28,11782.9,1497.79,2609.78
3729.2,16739.5,4062.78,2970.41
4102.36,9730.37,5639.05,716.8
2532.1,10350.9,2273.61,2984.41
1932.96,16831.7,2885.49,2618.01
2184.6,15748.7,2005.31,3277.67
1612.73,9192.57,841.553,1593.38
1927.64,9534.22,2496.31,1251.56
2740.55,20631.6,7482.63,3066.47
2092.72,13700.6,2412.36,2429.45
2180.38,12390.7,2174.42,4140.59
4625.81,28529.2,55865.3,18710.3
1091.36,8131.25,1575.81,1293.81
7760.96,27174.7,4188.61,4581.33
2195.47,14012.7,238.814,2581.13
1513.56,10432.4,1144.42,2291.35
2487.16,14811.6,4947.82,3078.1
1022.18,10651.3,1322.54,2715.56
1600.79,15913.5,5995.45,3035.85
2883.78,13158.2,6932.51,2591.53
2817.6,10766.1,4106.94,4065.21
2589.16,21261.9,3723.7,3597.73
2047.02,15991.3,2273.83,3272.3
1749.66,9459.03,1913.56,1814.97
2707.73,34103.1,6357.76,6920
2650.1,14571.4,1567.48,1655.15
1982.99,16337.3,2100.91,3587.65
1922.07,11237.2,1369.73,3085.92
1183.95,15467.4,1619.38,2755.78
2838.53,24926.4,7415.56,4601.61
2001.7,11990.4,1173.74,2933.29
2737.77,20707.2,4682.57,2627.9
1012.69,9319.15,1540.66,1742.01
1750.84,16337.3,1942.91,3608.46
1910.93,15257.7,2038.91,2980.85
2544.57,10770.5,1886.41,3186.32
2186.81,9906.33,-1414.57,1441.52
2379.2,16260.1,-48.6223,4798.69
1586.6,9849.51,419.407,2130.15
1799.58,16574.6,2582.54,3438.18
1399,14711.1,2617.45,2877.8
1789.63,16521.9,4124.67,2394.64
1533.08,10941.4,1886.99,2772.21
