Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
10047.2,2174.67,3993.72,1416.94
14445.5,7912.06,7905.03,1030.17
8776.32,2965.6,2631.66,1204.59
5726.09,7768.69,913.597,690.443
3173.7,1957.27,667.577,67.8038
13119.2,3872.5,5482.43,19764.7
9090.58,3040.74,7253.98,1962.25
39785,4773.14,3681.19,5474.45
18533.7,208.404,4771.58,1959.25
15157.6,3461.16,3888.17,2292.54
4383.42,2221.35,2290.2,123.77
3283.09,2920.88,803.54,132.532
11306.6,1246.26,2398.66,2743.41
11671.3,2091.34,2393.4,923.923
6205.77,3599.54,2688.12,98.9911
17008.4,4477.46,4966.37,2717.62
4025.35,2640.92,2111.79,456.668
19801.3,4001.13,3527.25,6329.38
2856.66,5669.89,2253.31,293.991
5213.64,1553.09,3045.6,842.442
4485.53,1956.42,2009.86,230.24
6155.11,3768.31,2993.12,827.412
14990.6,7516.15,7603.76,990.61
13315.1,3289.84,4458.74,1347.56
16987.4,28166.2,7848.92,2534.46
9119.86,443.08,2513.94,2449.31
2243.27,2625.38,925.001,-142.882
3000.03,2058.31,1407.45,543.334
3235.01,1429.98,1237.38,-37.0513
3927.41,2630.79,2309.38,489.699
9810.81,20789.3,6805.87,3209.19
13096.5,2805.14,2880.31,3641
7094.94,1957.93,2901.68,1719.75
4188.3,2835.07,3137.54,650.284
15785.9,7900.78,4169.53,2361.44
4208.43,2676.7,1861.57,426.896
2215.2,519.529,411.997,-50.1976
8890.52,2815.34,4762.7,660.352
11182.1,1027.87,3179.57,3854.75
9519.55,-140.394,1816.06,2487.64
11976,3021.91,3040.35,2976.17
3080.61,2275.34,2052.39,541.484
9363.12,54.1085,3455.34,780.012
8457.41,2052.63,2740.48,788.193
3596.21,1730.43,1843.07,435.907
5441.67,4982.33,3007.87,365.5
4911.1,2612.74,2098.95,213.539
2737.39,2413.63,1515.06,891.251
6481.93,5016.13,3504.11,152.486
12038.4,2828.27,3171.16,3941.28
5775.25,8233.8,3637.59,876.97
19767.2,2713.51,3198.5,3862.12
7699.37,4269.12,2908.78,3242.69
18738.1,800.607,3678.85,6397.24
1736.57,851.535,2736.61,180.541
10877.6,882.947,4219.96,1611.8
