"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
2194.51,5958.92,3146.81,146.485
1226.04,3834.33,1595.92,186.867
2109.58,4394.03,4400.82,459.91
4588.86,6199.54,578.815,568.418
3082.99,7538.93,3838.93,404.149
2828.86,5564.16,-46.8048,1819.97
6146.2,41565.1,832.634,3902.53
536.977,1790.57,2033.85,21.4989
1117.07,2965.8,2724.9,433.489
3942.55,19947.8,3669.04,1319.74
3852.9,1600.79,3778.16,412.711
3069.67,9528.63,4465.76,2431.59
1129.99,3557.58,3557.47,138.77
2451.34,4035.95,4238.71,-416.4
5409.17,10694.1,3671.68,940.944
4561.03,19457.5,2412.8,3169.72
3336.25,5203.21,1558.15,1076.76
1844.29,6965.51,7200.83,1010.98
1496.96,1864.26,2060.84,589.226
4121.44,2986.32,974.592,1199.24
5073.42,14270.7,3413.57,1948.54
1106.96,2752.44,4700.24,381.489
2510.09,39816.3,4052.13,5391.97
2575.18,6864.67,6184.09,840.25
2315.69,6185.11,1026.04,637.31
2723.45,14936.3,2637.76,3690.33
40.4251,3973.5,4317.07,-384.7
2137.91,4838.48,1928.36,110.711
2185.83,17008.9,2601.8,5854.54
4155.56,7439.29,2273.57,577.911
2019.6,7824.2,736.85,2761.5
3105.03,7923.21,1235.53,2487.27
2030.1,9023.47,11875.2,721.773
5150.99,20205.3,1799.18,1280.59
1766.62,1579.66,111.31,87.0368
2515.2,2967.8,5802.16,-9.26566
1957.28,5944.44,2945.42,806.739
2834.5,3689.67,2660.87,10.6035
1738.79,3102.51,3270.31,-240.118
2778.44,5930.26,2101.45,471.761
700.948,1314.36,2931.68,152.445
19023.8,65981,10172.9,10510.2
3375.35,5208.74,3680.42,518.026
2014.8,2809.81,1713.69,167.612
7407.93,28490.7,6863.15,1352.02
4167.34,13319.4,4816.37,1342.59
2129.1,12604.6,3989.38,2488.51
8867.65,11663.5,17713.3,1406.69
1737.93,2194.43,3138.78,634.255
3423.51,11390,2934.43,2725.67
4689.65,12814.3,3402.34,3636.18
10083.2,24665.3,3523.67,5569.7
1553.1,2240.04,2618.15,336.362
1879.25,5008.69,3119.4,316.658
3433.78,22304.2,3032.14,3504.87
3254.92,9140.44,4647.23,1430.75
464.764,1007.74,1361.39,-159.258
2630.05,8301.79,4239.73,2973.12
1636.37,7567.93,1214.56,2093.79
6623.48,2424.27,7387.95,507.056
3514.66,8977.51,1299.99,1433.62
178.425,1339.95,-582.235,-19.2796
622.502,2214.18,275.707,369.312
5026.25,7805.25,21680.7,2181.25
1911.98,10549.6,326.984,2852.33
2876.57,12616.3,2354.87,3783.8
1454.21,5598.79,1139.83,697.964
1072.37,17460.9,1288.38,822.551
1914.46,3058.62,2304.59,404.958
3404.59,8398.84,1765.14,652.684
1162.17,2667.6,1816.31,156.914
3622.02,22851.5,2274.78,5915.85
344.855,1263,880.451,75.291
580.689,2012.78,-389.025,-399.707
1115.11,1932.81,155.911,-333.222
2327.42,2707.86,2338.89,1249.43
1447.98,3444.59,3183.24,210.534
1791.72,4136.14,3752.91,-95.7457
2397.23,5828.66,3265.15,486.874
2336.42,18318.9,1693.38,3071.04
464.55,1446.33,552.932,-255.046
280.065,2246.6,426.664,293.31
1988.34,1619.35,3683.44,471.806
855.077,2057.61,2693.74,209.909
2079.22,8697.72,3196.64,1737.02
-14.1628,1700.56,668.96,-225.345
3296.79,21164.4,10.2907,1914.14
2155.35,15561.1,1909.7,2672.55
498.309,2191.43,2998.06,64.7879
1430.29,3947.81,3506.83,250.251
4444.7,3934.02,2139.46,304.606
2881.6,4458.85,4551.78,239.247
4110.16,7092.81,986.241,690.181
4825.87,10004.9,2972.24,616.19
2218.91,13073.1,1825.62,2067.12
2707.72,8475.86,902.67,1980.97
701.842,2074.4,1427.79,-202.803
967.063,1250.63,317.772,-358.023
4311.27,13537.1,3750.65,15733.8
1607.58,5062.18,3040.52,414.624
2950.37,7420.28,3723.18,754.021
4036.99,12034.9,979.487,1334.29
4026.51,21522,2182.39,2249.99
2018.16,3054.1,3688.2,52.228
2339.61,5225.79,1161.15,2814.26
1838.45,6043.2,7243.43,601.602
