Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
11029.1,4195.35,3482.78,1061.85
11794.7,1491.67,3243.71,1013.86
14688.4,1550.46,2026.33,3301.71
13664.6,2912.72,1913.59,1513.69
11640.4,2941.88,2006.94,2111.32
15680.6,2001.92,2377.88,2949.97
8625.65,4659.2,2206.48,1093.63
14502.5,2440.5,1855.04,2379.53
7775.54,1681.75,1730.13,1035.23
11558.8,-590.337,1992.67,1931.54
16465,2558.1,3031.24,3171.74
14189.3,2404.16,2790.4,2124.72
13174.3,386.472,2409.76,3077.25
18921,1773.75,2772.91,3341.3
16929.1,1956.39,2409.27,2995.39
9631.73,3120.65,1643.74,1197.66
9641.24,791.346,2156.6,1238.7
13172.4,2555.19,1602.92,2758.34
13294.3,1518.8,2470.36,2248.42
14143,2016.34,2599.42,2322.16
13187.3,2233.99,2107.8,2730.43
17944.9,2076.99,3627.09,2464.02
12675.6,2276.3,1625.25,2562.81
15872.5,3724.04,2360.46,3484.75
12936.2,3572.33,1865.49,2350.94
15460.7,1645.87,1495.83,3311.05
12024.3,2861.04,1962.9,2130.66
13097,1187.57,1883.52,2249.05
6861.93,949.053,1378.08,1010.6
11348.5,1470.48,2347.38,1794.56
12090.8,1671.11,2020.48,1931.86
19940.6,1525.57,2280.66,3381.45
18173.7,1343.5,2399.81,2329.31
13101.1,2364.37,2455.96,2307.88
16760.3,6767.53,7283.27,1545.14
12255,2242.02,1496.38,1369.32
13050.6,4138.31,3353.27,1915.49
14429.6,3073.86,2272.84,2973.86
11395.1,2425.34,2190.14,1810.25
15062,3418.03,2361.72,2084.26
17352.1,4588.66,4686.46,2874.7
12303.8,2087.89,2434.68,2411.99
13088.6,2025.73,1731.38,2876.71
16953.3,2960.43,2006.78,3125.15
11238.2,1105.36,1515.67,2772.13
15587.4,2340.41,2591.62,2642.5
10811.2,1329.16,3426.37,1323.87
11354.3,2583.55,1710.4,1999.67
15475.6,2810.74,2114.42,2268.49
14579.1,2853.64,1784.83,2942.87
13002.1,827.157,992.674,871.198
10954.8,1225.38,2561.32,1778.08
10146.5,2714.6,2615.78,1804.99
12405,998.531,2549.07,1841.03
13199.1,2840.67,2016.62,2576.29
14783.2,2579.05,1662.53,2805.9
13982,2105.3,1689.11,2485.71
16216.8,2699.89,2238.33,3513.65
10863.2,2583.15,1590.5,2184.94
12801.9,1095.54,1653.72,2506.17
14858.1,272.532,1828.45,3206.46
9022.3,647.043,1924.53,1348
8233.02,775.98,1400.06,702.402
9436.77,3769.6,3240.83,1916.27
15206.4,1955.2,1513.53,2813.36
12534.1,1924.99,1734.02,2215.16
16592.9,2063.44,1984.2,2524.28
13603.5,1965.91,2027.16,1967.94
9826.75,1774.13,2843.07,1685.11
12911.8,2643.17,1760.7,2026.9
15625.2,1513.94,2127.43,3537.76
10266.1,1663.42,2422.45,1634.89
9542.77,1880.86,2566.5,1081.77
8053.89,1048.87,1742.11,719.604
28625.5,8947.68,6510.64,4537.16
7445.27,278.301,2397.15,1185.64
14283.2,3205.73,1739.77,3041.62
13578.2,2615.65,1994.38,2247.08
15330.3,2125.21,1870.04,2731.17
21513.3,3574.99,1325.35,1535.71
32060.3,9260.24,8653.72,4290.36
14109.5,1211.02,1014.03,3010.05
22101.4,976.09,2140.87,3042.12
10288.5,2375.16,1851.18,1564.61
12775.6,-605.621,2623.85,3220.43
9476.69,-749.984,2380.59,2555.06
10525.7,294.94,2019.32,1930.95
14608.7,1148.5,2385.52,2024.45
12212,1266.34,1803.14,2246.49
9242.02,1691.41,2203.6,999.575
10378.7,479.348,1218.88,1565.24
15930.1,3211.55,2371.28,2396.9
16148.4,2034.11,1990.13,2223.24
18926.5,5375.89,4931.52,6240.28
12473.3,1052.43,2025.11,1349.5
14690.1,797.115,1583.44,2495.84
15113.1,3475.47,1755.8,2712.78
13550.4,4084.55,2017.21,2926.34
8199.11,930.405,2310.32,1179.01
28761.5,4378.11,3374.69,3731.58
16418.9,2290.93,1978.96,2007.56
13211.1,3534.64,3752.18,5203.4
14369.1,2189.41,2478.46,2768.22
10956.8,1189.12,1685.91,1940.87
9265.61,1021.65,1804.32,1369.36
14008.2,1646.09,3312.14,1999.12
13427.9,1816.09,1125.29,506.285
13083,1246.37,1810.94,2027.66
13646.7,2251.24,2385.87,2998.53
9388.36,869.202,1759.61,2412.17
10163.5,2502.98,1240.64,1558.37
14698.9,1825.92,2002.07,2197.01
8417.55,667.78,2130.52,1871.79
12635.8,4163.04,6188.46,2991.95
11312.7,2086.53,1454.56,2605.63
14792.2,1165.79,1887.53,1925.4
13410.8,673.59,1667.51,2175.79
13671.2,367.495,2644.94,1855.72
13790.5,1262.9,1924.93,2327.31
12472,-332.822,1057.82,1966.61
12293.8,3034.49,2587.49,2246.77
9215.57,2039,1588.25,995.772
10339,824.872,1720.76,898.682
10702.8,2228.68,2240.1,1474.38
12049.7,1350.13,2680.66,2576.7
9314.22,2060.74,1357.89,395.999
10996.4,2259.96,2491.91,1662.05
11385.7,1976.24,2896.48,1456.04
10100.8,1567.82,2413.07,1336.33
12384.6,1693.85,2110.83,2226.2
13458.2,2229.7,1917.15,1716.28
13858.5,2578.91,2263.27,2120.07
7246.06,780.948,2019.93,1494.42
12100.9,2941.27,2110.21,1448.62
11151.6,1143.32,1681.24,2253.88
9721.43,3131.07,1853.02,1977.38
15691.1,1272.73,2167.18,3260.13
12761.6,606.932,1372.43,2465.8
8565.12,1474.01,1903.46,1825.05
14786.7,5124.63,3959.46,1846.09
34085.4,3406.61,2552.9,4020
9592.15,2151.84,1827.53,1388.56
16662.4,2376.78,3516.66,2972.86
12579.1,5500.81,1539.9,458.562
11352.3,913.763,1835.04,3615.39
17327.3,4227.74,1459.16,2033
12607.4,2356.88,1557,2260.72
13949.3,1928.3,2198.47,2907.93
14359.2,1017.21,2871.37,3236.4
10173.8,820.576,1287.04,1620.22
15225,1056.98,2069.83,2785.34
6100.7,670.214,1769.26,1453.9
15033.7,1003.94,1599.07,1952.91
15163,2174.29,1240.3,1898.87
16953.9,1966.16,3768.13,2506.34
12349.6,1847.37,1822.52,2438.22
14611.7,2762.48,1718.85,2062.93
11687.4,1661.09,2236.29,2268.13
21948,2748,2417.89,3087.95
14195.3,1417.85,1655.82,1843.04
10295.6,2190.3,1438.26,1901.39
8581.19,3531.23,1387.74,1273.34
8687.99,1921.88,2581.31,1862.9
10052.5,2416.02,2160.69,1660.15
10426.5,1590.09,1246.22,2258.95
8759.3,2154.45,1256.03,1688.28
8907.23,1474.61,2057.95,1319.35
8814.26,1903.15,2686.36,2058.67
9802.79,863.566,2092.97,1862.45
14358.7,3699.83,2434.8,2186.05
8788.88,1298.9,1804.25,1537.24
9545.21,1946.34,2070.8,1133.52
9174.54,1522.07,995.621,4276.2
16343,2212.25,2233.73,1891.19
8667.17,1985.9,1088.74,1736.94
15630.6,1374.23,2153.64,2084.89
7911.69,954.884,2229.31,1461.67
9471.37,1394.5,1437.98,674.849
11455.8,1804.06,1518.26,1244.58
7321.09,2290.03,1566.22,1132.65
16853.9,3780.83,2118.33,2542.15
12775.8,1933.59,2842.06,2548.46
11292.9,315.38,2608.26,1793.82
15260.4,2616.7,2104.94,2270.7
19033.5,2593.78,1954.67,3075.6
13672.8,1730.26,1995.24,2376.37
9950.82,-12.464,2032.72,2018.49
8827.95,1680.01,1564.25,743.544
12950.7,2633.52,1384.75,1905.06
10913.4,1390.45,2316.7,1675.48
12516.2,1536.17,2715.46,3209.75
12892.8,919.363,1384.47,2497.37
22259.5,3839.44,2712.61,3642.63
12857.4,1710.49,1643.8,3266.27
11932,2558.95,2408,1928.87
15725.8,1765.07,2179.88,4045.07
12890.4,2975.62,1462.23,2385.81
11909.2,179.014,2295.77,1756.01
36805,5336.2,2726.95,6775.25
12242.8,1898.79,1880.83,2393.79
14747.4,1225.55,2031.45,2317.93
14984.8,2605.13,2120.74,2260.25
10891.2,3453.03,1684.71,1595.83
13938,952.243,1810.25,2938.52
15237.1,1130.08,2194.89,4115.85
7078.97,1699.36,3681.15,1328.59
10570.5,593.178,1988.43,1104.49
7845.85,1772.91,2515.41,1638.97
8459.61,2243.5,1189.16,1416.68
6052.12,557.982,2065.51,1295.68
13800.7,2237.45,1769.77,3095.48
11018.4,3438.28,1749.27,2416.23
25173.2,10092.3,3863.33,3343.17
11360,2797.51,2017.91,3254.79
11645.4,2227.53,2409.73,2071.2
9165.71,1586.41,1843.82,1723.6
10547.5,2171.96,1810.78,2049.09
17817.4,8651.22,4657.25,2817.03
5991.06,1787.61,1605.68,953.968
14632.9,3416.54,3207.23,2535.14
8624.33,1173.57,2212.73,1873.05
7956.32,2271.94,5647.51,-165.239
8973.4,384.907,1747.42,1101.9
23286,1384.37,1221.66,1937.4
10829.8,1949.14,1322.95,1257.97
10538.5,949.031,1245.13,2385.1
14785.1,-270.695,4554.75,2406.59
12706.9,2530.31,1220.07,1377.73
28842.4,4293.05,1378.48,2815.2
8579.86,2082.03,1790.17,1360.89
13878.8,3037.07,2858.93,2493.99
9444.59,2351.94,2654.99,1426.04
11912.5,2155.64,2036.66,1846.67
10319.1,2322.23,736.804,739.722
12142.3,1763.16,1044.85,2285.6
9914.73,899.857,1045.64,1894.6
12830.5,2557.38,2645.37,1752.87
11964.8,-622.629,3571.62,2108.92
5427.49,552.541,835.937,1308.71
16021.1,8448.83,2418.29,3198.36
10662.1,1261.85,724.444,1215.83
15532.5,1458.27,1977.43,2372.8
9436.58,2519.59,1432.04,1334.46
7115.66,1464.67,1439.18,1757.81
18901.2,3127.74,1119.98,2047.58
9641.11,2748.85,2038.81,1898.36
11412,1095.07,2430.8,1940.98
14632.2,6768.54,3433.73,8647.67
23628.9,5070.52,1813.3,2652.68
