"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
2671.85,12668.9,2246.74,1589.43
2744.16,17375.3,794.966,2477.9
1895.95,11832.5,2235.81,1694.28
2215.04,15158.5,2307.9,2083.41
2695.7,14065.3,2673.66,2153.08
3120.93,18869.6,2208.42,3686.87
1508.02,16470.9,2872.24,2468.62
2141.21,18266.6,2022.59,2023.22
3960.54,14731.1,5393.25,2745.79
1432.22,10319,1470.14,1380.86
2147.51,18675.4,1324.85,3370.56
1989.86,11858.4,2114.27,2230.18
2303.82,16418.8,2637.21,2983.22
1213.49,10101.6,959.823,430.468
1785.21,13173.4,3674.07,1562.8
1662.09,19432,2842.9,3192.23
1627.09,11151.7,1440.38,1322.26
1989.7,13561.4,3247.51,2016.14
1837.48,31520.4,2920.34,2649.46
1850.66,13443.8,2112.27,1724.26
1465.15,18604.5,606.355,2919.02
3279.1,12352.3,2563.28,1650.84
2069.47,12548.2,480.158,2872.56
2083.46,13891.7,3478.69,2382.66
1252.58,11226.1,1902.42,2949.12
1319.81,16705.5,1793.03,1132.66
2178.01,13948.6,2530.14,3152.39
1883.39,11089.9,1059.62,2821.89
2926.92,11128.6,1704.03,1269.29
2011.91,13632.2,3537.44,2190.09
2112.06,9036.18,2510.75,1771.21
4850.66,16761.5,2936.53,3176.58
2134.59,10558.2,2525.03,1643.81
3231.91,10702.5,680.386,5307.28
2031.2,12153.7,2777.78,1711.46
3478.56,16688.6,2488.25,2756.42
2858,14907.1,3455.01,4660.46
1943.62,14089.6,1695.2,2527.91
1955.65,15230.9,1178.11,2797.72
2469.55,11220.1,3354.96,1505.93
1471.03,9163.53,1962.63,1527.01
3003.34,16913.9,1731.97,1805.9
2661.74,14733.6,1802.96,2393.62
2780.19,13201.5,3415.66,1201.88
2179.11,12428.8,1734.59,1398.41
1455.68,14165.9,1858.77,2468.85
2632.27,14444.3,1733.33,2919.97
3555.69,18693.2,3228.91,2401.25
1687.1,12823.3,3229.68,1650.12
2335.43,13343.2,887.637,2003.73
1657.69,9647.36,1985.72,1678.39
2789.97,11489.2,2187.99,2934.12
3622.49,25215.2,3170.66,5045.32
1605.48,8008.67,1145.33,711.208
1839.65,11922.2,2124.57,2183.02
2195.28,19140.9,3156.14,2409.81
1961.18,10247.1,2883.49,2407.66
3400.05,17650.5,1972.44,2336.39
1183.97,13814.2,1530.8,2092.88
2261.37,12252.3,1373.32,1902.36
2189.58,12043.8,644.155,2130.24
1622.76,13526.1,2868.24,2341.45
4526.83,14169,2559.8,2295.3
3778.51,18676.4,5680.82,4871.99
1623.86,15860.9,3448.73,1746.02
2985.08,12673.2,1528.99,1024.38
2293.74,16815.6,701.45,2633.06
1377.4,16573.3,3283.41,3658.57
2334.23,15403.5,1167.25,3178.33
2705.22,11068.4,1590.67,1609.28
2433.38,10258.1,2646.23,2187.66
2030.51,20526.6,1913.47,3242.6
1498.56,11858.6,2389.53,1880.58
3132.12,18553.7,3874.37,2025.03
2100.24,12958.9,1205.38,1781
3226.34,17202.4,2079.86,3391.39
3355.52,13910.8,1753.87,2075.24
1496.73,11793.4,2259.36,2823.16
1854.11,13808.9,1398.81,1667.48
1476.41,8038.92,352.685,1256.9
1618.03,8714.36,-156.91,1310.82
2513.49,18923.9,3049.44,3126.91
3037.62,14321.5,2175.62,2537.78
1450.28,17815.1,-154.943,2402.94
1815.24,18181.7,1119.94,2984.79
2043.29,10705.9,2649.93,1446.03
2729.33,13105.5,1208.24,3025.27
2631.59,15094.5,2965.46,2080.18
3153.75,17359.9,1384.84,2156.5
3002.04,15717.8,5557.9,1525.31
1660.95,17196,1833.47,3397.49
2140.6,13804.4,3781.86,2069.4
2150.76,8404.27,997.573,1233.29
1315.98,15183.9,2471.9,1978.08
2448.01,12038.7,3645.17,995.121
1257.58,16776.1,1309.54,2423.62
1916.23,13423.1,1095.86,1310.09
1653.52,13896,1278.75,2187.56
2490.71,10581,1750.87,2079.1
2057.41,10424.7,2589.7,1862.45
2538.32,15128.3,3471.68,1749.98
1670.44,14438.8,2242.92,1648.77
3998.95,20717.4,3122.38,2257.01
2151.2,12704.4,2551.47,1835.62
2253.25,13559.5,1665.66,1935.55
1769.39,7513.09,1626.5,1033.21
1827.47,16367.8,2385.58,2633.61
1169.9,16666.7,2212.74,1462.89
2339.64,17369.2,1259.01,1995.23
2127.75,15847.8,608.261,2980.13
2005.94,14032.8,1492.12,2337.48
3574.05,17221.3,3981.92,3584.53
1404.2,12800.1,1215.95,828.936
1646.82,10169.7,1535.19,932.365
1799.67,9665.84,1760.38,1817.63
1686.27,14707.4,2548.71,2847.66
2615.92,9171.34,2264.41,1194.67
1474.14,10340.1,647.429,1245.84
2486.7,15852.8,2302.18,1959.78
1902.54,9461.94,2072.39,1408.31
1673.69,11506.1,313.581,1157.96
2751.36,15071.4,3272.57,2527.6
3893.24,13558.1,3055.81,2082.35
1429.68,15878.4,1712.27,1337.43
1714.65,17587.7,1824.93,3142.79
1872.9,7279.47,-84.9907,1078.97
2167.97,15083.5,3034.06,3175.24
2122.96,13377.1,2656.07,1740.42
2946.84,12375.2,1609.81,1404.81
2401.63,17684.5,1857.71,2105.67
1999.75,30641.7,1121.52,3146.33
2908.25,20684.2,4560.75,3073.77
2611.6,10181.3,4706.33,3355.29
1673.76,9769.05,835.208,1379.99
1680.49,15745.6,3011.43,2836.59
4583.82,29230.4,7575.74,4491.74
1519.83,13901.8,3354.19,3551.67
1106.51,22257.4,1073.41,1508.87
2014.3,14224.6,2434.31,2419.22
1856.4,10159.7,2840.47,1452.05
3756.96,14846.8,3594.82,2936.1
2250.98,24519,1657.57,2922.9
2111.35,10904.8,2413.63,1976.93
705.211,4059.1,3220.32,-125.542
2409.3,14670.4,2432.72,3722.71
2323.02,25462,1752.67,4829.27
1864.56,11910.2,1592.43,1481.58
847.121,10036,872.883,1174.3
1518.39,9708.94,1127.33,2467.05
1061.39,17952.8,643.726,509.967
2198.07,14361.6,2149.94,2558.02
2947.75,22455.4,1774.32,2503.55
3011.56,17785.1,3764.04,3767.89
2109.83,13577.3,2638.53,3238.15
1522.1,8853.24,2262.28,1419.11
1912.02,8564.06,1491.23,1284.04
1554.45,13429.5,1792.11,1926.04
1550.88,12226.7,1442.14,3093.8
2579.19,12095.9,439.519,2092.65
2118.44,12857.5,1300.79,5691.96
1628.37,8895.83,1545.96,1578.33
1499.29,7100.41,2086.26,1300.1
1621.26,13007.4,2430.34,3673.31
1373.38,19188,4052.86,2859.61
1675.08,10709.7,2752.27,2118.45
1765.21,14334.9,1275.95,1246.88
952.374,8800.87,991.545,1444.68
1841.71,18831.9,2519.96,5380.44
3413.76,14413.9,4343.21,5120.05
1483.36,13381.2,1861.98,1496.85
1628.79,13548.1,2847.01,1136.53
2108.88,17593.4,3748.98,3149.28
1365.03,17447,5213.15,2031.48
1704.3,12162,1093.05,2230
1111.91,10664.2,871.171,1670.53
1790.78,6919.65,1500.9,721.893
1447.28,5637.37,324.256,1317.13
1142.61,8371.8,1218.31,1582.32
3572.76,12508.8,2166.65,1223
2815.96,15305,2425.09,3027.84
1904.41,12676.8,2931.63,2258
2577.03,15172.2,1850.97,2952.2
4672.69,15191.7,2380.51,3402.21
4652.21,20743.3,4124.28,3536.22
1806.19,11371.1,-658.055,2518.6
1586.53,10344.6,2306.14,2756.01
1947.29,15826.5,3589.94,2487.6
2104.45,10710.6,1332.24,3068.34
1601.68,13793,1814.15,2425.35
1597.09,15338.1,2588.64,1520.36
1132.46,9300.54,925.176,768.864
1760.27,13350.8,1602.66,2860.28
2171.45,14819.9,1928.14,3311.34
1227.56,15054.5,3629.28,2380.32
2041.59,15154.3,2339.22,1308.92
2023.6,15514.4,2782.94,1946.43
1777.43,13126.3,2115.92,2415.66
1501.17,17731.2,3607.1,1933.69
818.301,12696.2,2832.12,1067.52
523.966,13418.7,1906.41,1512.46
1134.97,13268.1,4407.85,2364.54
1484.44,9773.1,2553.08,2050.04
2140.56,10901.2,-305.348,2161.82
2103.87,14482.7,2473.95,2833.3
1212.44,8406.55,653.23,1777.41
2109.28,12234.9,2997.66,2936.62
1684.18,10900.2,1933.2,1410.62
1269.66,15063.3,2039.07,1620.7
2843.11,18890.2,2564.84,3226.52
987.393,11270.2,486.206,1320.4
1520.25,15030.4,1945.89,1932.29
2015.37,14538,-6.87274,2392.76
2449.78,8474.06,3329.9,1482.25
1354.07,17898.2,2209.49,1343.45
