Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
16537.6,3326.59,2635.66,4455.01
11339.6,3506.51,2521.21,3942.34
14732.3,797.239,1733.49,3310.63
15284.7,3317.51,2430.23,3679.92
14723.9,1192.01,2774.9,5944.09
11623.4,2516.75,2148.67,2757.98
14819.8,3556.53,1986.38,6831.37
19212.8,2568.66,2984.55,3836.16
11076.4,2708.31,1598.08,2800.69
11964.6,3881.84,2222.17,2534.78
14667,3482.54,1791.86,3586.59
14104.3,2121.64,2910.68,3268.39
10365.9,1670.24,1771.05,2778.11
16488.6,1666.58,3061.94,7223.28
18811,1502.78,3684.38,7581.27
30310.1,14242.2,7695.98,28569.7
14766.5,3588.71,2647.01,3083.79
14433.6,2924.61,3075.26,9998.05
13752.2,2797.51,2998.24,3898.53
15012.9,821.498,2488.74,4595.51
10310.4,3133.3,3286.59,1701.79
19291.3,4013.19,3311.27,4051.82
16816,2511.91,2971.98,3026.13
16662.7,5082.73,4107.81,7097.25
22222.8,1262.12,1412.59,3479.54
14264.8,2088,613.013,1191.46
15365.9,3304.56,3150.52,2599.63
9671.44,2077.59,1902.7,1404.51
15767.4,1890.15,2454.98,4245.55
13087.6,1181.16,1805.58,2025.31
13794.2,7128.01,4211.7,3830.37
12499.2,3028.2,2636.85,2532.49
12504.2,1244.58,2200.33,3296.31
13404.4,2230.39,2428.42,3490.29
13435.7,2070.22,2753.26,3168.32
37968.1,3907.19,5291.86,5962.31
13332.5,1805.38,2841.26,2254.66
17330.9,3993.27,1782.33,2711.75
12621.4,691.849,3048.19,3688.95
16137.1,3807.94,1856.1,3357.31
13537.1,2827.67,1985.67,4227.13
15106.8,1151.11,1853.34,2994.49
13756.4,732.871,2176.66,3036.82
16295.7,5155.65,2362.16,4188.67
14147.4,2417.26,2969.75,3897.68
11961.2,926.428,2598.53,2074.89
18652.1,4278.1,2273.59,4674.25
12850.2,-909.32,3306.95,1435.16
14944.1,3723.3,2486.25,3454.75
16380,1823.54,2877.26,8232.73
12873.7,4965.37,2577.41,2723.73
12800.1,1232.9,2199.23,2733.04
16520.3,2999.71,2466.47,4224.15
19063.3,1260.61,2409.04,4320.28
14836.1,2167.74,2086.96,3883.61
14534.2,2428.75,2715.05,2276.57
17377.8,2078.16,2504.22,4841.97
14432.7,3238.51,2566.38,2273.35
16745.2,2801.69,2548.5,2919.17
19307.2,2460.4,2850.91,3756.18
8669.29,2019.33,2611.61,3580.52
14031.5,2513.38,1600.78,1835.04
13783.1,1634.66,2765.12,2239.97
15194,4502.77,2542.02,3297.92
15344.2,3813.97,2530.38,4265.8
3808.03,1390.45,762.324,894.234
19236.5,4562.02,2101.08,2488.34
14148.6,859.567,2338.49,2865.83
11659.3,1862.52,1711.66,3448.67
14259.3,1777,2868.3,3850.22
10541.2,460.733,2604.71,2935.3
34844.3,4082.47,1777.97,5183.47
12147.5,2333.28,1614.08,3002.79
16932.7,7480.93,1988,4475.99
11138.1,-784.683,1884.99,1870.97
11723.5,2862.71,2563.09,2668
12682,1612.29,1913.25,2873.65
14009.8,1796.28,2962.72,3114.04
11146,2546.88,2035.17,3371.85
8701.52,1413.64,2184.71,2095.59
15781.6,1007.21,2187.78,3989.44
14173.6,2996.67,2886.59,5657.68
15114.5,2849.36,2435.32,2665.53
12792.2,4809.95,2840.38,4482.87
