"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1737.14,31173.4,3082.85,5120.72
3051.11,12491.3,3051.33,2696.96
1376.69,12329.3,2254.75,2658.18
3876.29,17171.2,2442.75,3260.44
3529.25,15371.2,4035.88,4589
2459.61,14856.6,1828.52,1248.63
1479.65,15454.9,2169.46,1634.3
1643.63,13783.8,4176.07,4057.18
3312.89,17925.2,2982.17,7158.72
1868.6,12472.4,2843.55,2253.45
5158.7,17791.2,6373.47,18915.1
2224.28,12973.8,766.747,3432.27
2849.43,13705.9,4413.75,2333.22
4872.52,14503.3,3048.86,3158.98
2115.82,14577,2276.63,2787.59
2351.14,17335.2,2631.83,1925.16
3056.13,20766.9,1413.56,4714.43
2185.78,17439.3,426.467,3721.4
2260.45,5236.46,4873.67,27.8295
3350.45,15494.9,2629.54,3767.41
2906.21,14939.8,1987.4,2658.52
1934.92,12286.7,2455.71,2478.88
2244.84,13969.6,2945.07,2619.51
1985.6,10327.2,2454.62,2441.17
1775.92,13786,1226.39,2876.01
1479.74,16537.2,1569.41,2678.05
2366.98,17427.8,3326.48,2320.13
2177.61,11963.9,1842.37,2541.62
3992.68,21017.6,5005.55,2994.93
1919.82,13798.4,2887.13,2915.43
2157.02,13302.1,1702.12,2363.67
2063.2,26152.6,4957.25,4740.07
1244.64,11571.2,1134.39,2428.05
1927.22,14560.1,2549.38,3837.1
1973.06,14576.5,2334.67,2077.03
1634.15,29168.9,3313.83,3615.66
1794.83,14210.5,1489.05,3341.21
1575.29,14020.6,1569.26,3490.29
3412.13,18944.4,1725.6,3283.63
1592.16,16660.4,1799.64,1680.2
1500.53,17289.2,2258.99,3187.74
2646.21,14042.2,859.669,3391.96
3216.02,14042.2,1482.78,2607.41
1699.05,15966.5,189.044,2632.11
2263.84,14950.7,1414.73,3616.18
1974.81,18071.3,2469.85,2039.21
1767.4,17267.7,1771.79,4176.8
1855.45,12734,3023.23,1929.72
8639.25,27649.6,4595.85,6406.42
2401.58,15154.9,3608.33,1913.91
1511.73,12131.8,2595.28,3393.63
2579.2,13918.6,2786.96,2831.99
2051.3,13741.8,2337.38,2698.09
1821.85,13645.9,2855.96,2362.25
3410.49,16958.5,5817.02,14643.2
1886.66,11510.7,1970.98,3959.41
2626.78,14911.5,680.733,3418.88
2841.29,10543.5,-751.722,4208.64
2360.44,15052.5,4313.68,2159.75
2479.75,15336.4,3680.44,2038.24
2284.56,13182.1,1541.62,2655.51
3073.47,12561.3,3125.76,3081.24
1933.09,13710,3257.39,2984.64
3587.71,15918.6,4170.07,13061.4
2766.22,19986,6138.19,2436.85
2178.89,12970.3,1619.97,3358.4
1065.39,10273.8,1918.34,1492.84
2292.9,19848.9,3608.87,4652.1
1750.22,21906,2401.44,3611.57
2423.43,14323.4,1823.81,2330.24
2398.25,15268.4,3568.2,2383.73
5391.62,16953.5,6894.71,21912.5
2133.57,11375.8,697.859,2279.36
2105.07,16472.8,478.009,3384.86
921.127,12364.9,3201.94,2701.18
1801.66,15331,4726.03,4800.28
2191.65,11647,1590.11,2494.01
1485.77,14344.6,3606.16,2736.07
2967.26,15152.7,5213.3,2493.57
1791.05,12059,1314.42,2774.54
1612.74,12741.6,908.337,1865.04
2102.97,12909.8,3358.28,3080.93
2059.32,11409.2,1331.76,2180.08
1609.67,35322.9,5949.53,5155.82
2557.68,14006.4,2476.92,2354.99
1264.22,13349.8,3466.99,3144.39
1826.77,26201.2,3240.49,5116.74
2134.5,10591.2,6721.85,9569.2
2067.08,13374.6,1901.6,11090.5
2675.2,11987.1,1977.7,3268.12
2140.5,12857.8,1460.54,3294.64
1232.94,12302.1,1595.19,1723.07
1868.18,13502.3,3096.66,2521.79
1555.31,12969.4,-114.992,2210.14
1654.99,13297.2,2702.24,2446.49
1593.47,14083.7,668.193,2416.32
2765.16,12711.5,-437.833,3195.62
2460.86,16027.6,1315.1,3723.32
1551.16,8449.25,2539.01,2330.62
2014.46,12630.7,1704.34,3036.39
1099.77,9466.01,1865.58,2264.41
1326.78,14849.6,102.274,3512.86
1869.22,13073.4,1663.19,2528.12
1054.43,13339.9,2042.74,1922.74
2023.29,10039.9,1830.1,1360.03
4285.35,25967.3,8294.85,19844.1
1526.54,31884.2,4688.29,9145.6
1782.81,15966.4,1727.1,3294.91
1441.22,13328.4,1299.1,2122.84
2303.52,18128.4,2301.2,3357.95
1474.33,8915.62,2112.24,2262.47
2348.32,14252.4,2135.99,5218.78
2535.61,19725.9,813.398,4853.48
2249.58,15111.6,2168.17,4718.67
2052.34,12591,2099.76,2873.31
1268.83,9275.91,852.966,2416.59
1904.09,17178.5,881.448,4314.56
1603.84,8866.02,1326.35,1921.9
1813.88,10294.6,1927.58,1231.6
1858.65,10869.9,1293.11,2751.24
1602.2,22339.3,3471.02,2300.56
1461.97,10452.3,315.366,2450.21
2632.66,16402.9,2630.34,4735.61
1761.86,19866.2,1870.58,1837.5
2282.52,11349.4,2826.89,2692.47
2017,30509,3101.83,5565.14
1620.82,15633,2719.01,2422.7
1728.71,13495.7,2833.01,2645.46
2260.27,15155.2,958.279,3237.9
2508.74,12514.4,9123.49,5791.33
1958.54,41659,2916.68,7227
1883.75,10592,2824.33,1185.54
2246.85,11693.1,1993.86,1628.64
2217.89,15223.5,1174.15,2762.72
2552.69,12182.4,-40.8081,2524.18
2466.25,13890.8,1910.42,2315.62
1312.97,16064.7,3510.73,2083.99
1324.39,6340.54,2175.57,858.295
1372.72,12159.4,4372.44,2918.37
1587.36,17648.9,1973.39,5661.86
2400.95,21975.5,2414.39,4048.86
2470.98,13401.7,2927.73,2309.12
1316.61,16295.3,2308.64,3461.71
2055.29,15186.5,2154.46,3471.17
2551.82,14030.6,2542.52,2573.06
1275.43,8484.49,722.732,1545.18
1870.44,10851.9,1639.22,2045.38
3843.73,18196.6,2265.23,3806.46
1570.3,14017.8,3480.72,1856.72
3834.71,18352.9,2728.26,4224.64
2522.68,18608.4,2982.7,4307.96
2690.54,16466.5,3960.49,2352.61
2788.99,14664.2,2596.72,4720.97
1601.93,11958.9,2144.62,1488.31
2118.04,14976.1,1225.37,3788.45
1891.2,22732.8,2552.45,2840.26
1022.91,15311.7,1955.03,1464.39
1841.37,9991.76,1187.5,2189.35
2336.58,14577.1,3070.28,2781.54
1963.2,12336.7,2513.57,1969.6
3204.54,11601.1,2785.99,2751.74
1595.69,11676.2,3338.47,2794.03
1606.11,11586.4,2611.1,2156.57
2118.38,14148,2059.25,2979.24
2654.05,13196.6,1995.04,4047.35
2442.66,12163.7,3199.1,1480.47
1809.08,12343,3635.64,2952.51
2088.2,14207.4,1075.38,2134.32
2426.01,16344.6,1734.11,4456.78
2278.43,17839.1,1814.88,1897.89
2630.39,14041.8,1389.55,2525.35
1528.14,13321.2,3686.94,1450.81
1859.74,13822,2294.15,2442.96
1772.56,14681.1,1751.13,2809.2
4198.1,19069.2,7507.99,2532.4
3258.41,14603,2785.59,4323.52
2104.31,15322,1846.87,3140.12
1139.22,11347.9,1828.86,1945.9
1355.98,11845,1504.44,2066.31
3109.89,14404.5,3171.75,3539.98
1634.87,12479.5,539.99,2779.98
1762.51,11418.2,961.198,2270.31
2145.88,13185,1917.82,2361.33
2132.61,12591.7,2672.66,1992.26
3827.86,17644.8,2335.52,2061.12
1248.27,10504.5,-1279.65,1745.46
1518.32,13673.1,2059.41,2311.85
2767.66,18386.9,4104.7,3474.29
1983.71,14956.8,2720.54,2523.82
2536.77,14348.3,4007.01,3588.49
2016.54,11212.7,3347.83,2643.79
2732.09,14117,3900.38,3972.34
3259.2,16458.5,2670.66,2405.67
859.867,12976,722.172,1881.39
1763.31,19239.2,4987.45,3374.46
1473.09,12313.8,331.801,2844.74
1817.65,14171.1,1424.54,4657.69
2110.75,10124.8,-1167.94,2487.73
1700.77,11979.9,2473.33,3547.2
1945.07,18493.4,1419.05,5010.69
2613.34,16405.1,2179.85,4221.8
1523.13,11480.6,-81.3139,3226.46
2746.49,14008.1,1217.47,3256.7
1550.46,11886.9,532.293,3059.67
2402.23,9488.36,853.729,2482.2
2174.24,11081.6,1811.43,2834.21
3185.87,25431.4,1865.93,3072.97
1639.71,13123.4,2992.5,3470.9
1686.81,10600.9,2982.78,3075.64
1973.33,17103.5,1744.29,3165.09
2443.36,15179.8,3615.48,3279.55
2976.41,13788.4,1290.66,3624.33
2344.59,15455.6,1743.12,2776.18
2152.41,15525.2,722.902,3702.54
3842.04,25341.1,6926.95,3256.8
2409.1,12892.2,2301.27,2399.2
1936.74,9917.45,1263.29,2367.43
1807.01,8674.84,1983.78,4710.49
2478.46,8939.91,3442.01,1422.91
2697.89,16949.3,1746.27,6064.47
4286.49,19482.1,2954.94,3130.86
2136.48,9740,5036.25,2564.94
1937.67,13622.5,1463.58,2559.79
2230.57,16411.5,3026.71,5279.8
1317.99,12972.4,1589.69,2451.35
2279.77,12258.2,2971.15,3731.04
2211.53,14604.5,2297.9,1918.83
1560.11,16722,854.238,3372.88
2445.22,16348.3,2782.1,5793.54
1983.93,14538.7,491.368,2632.84
1418.91,11477.6,2052.81,2659.02
3842.67,16262.1,4110.13,2604.32
1693.47,17060.3,1868.61,3587.32
1413.26,18355.2,2529.26,1890.53
2160.31,15123.8,5117.93,3471.41
1238.32,9580.65,10750.9,1672.97
2960.15,12939.7,1178.52,3287.96
1360.02,16472.5,-215.871,1890.55
2156.82,14725.5,2195.02,3475.82
1565.69,12437.6,3937.49,2487.82
746.218,23781.7,1233.72,2601.73
2318.87,13594.9,1752.5,3316.74
3583.29,10512.3,480.566,3628.42
2557.29,16161,1818.77,7808.22
3024.37,12180,1807.58,3675.07
2114.41,13222.8,2894.06,1699.18
1772.52,11273.4,1933.41,2837.73
4390.19,24245.9,6995.98,5068.58
1222.83,10233,124.918,1814.01
950.152,8453.92,1979.01,1746.7
1016.87,10624.4,1623.83,2165.31
1860.94,19235.5,750.885,5564.31
2255.55,12678.9,4443.45,3902.09
1581.49,20903.2,1432.53,2782
3223.29,14498.4,1714.22,2964.89
894.008,15822.5,1646.18,2702.4
1029.72,14076.6,2070.58,3028.41
