Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
12642.9,1458.38,2018.57,1919.92
14564.8,2252.4,2217.38,2302.65
11948.5,2539.6,1959.74,2450.98
12582.6,1003.99,2009.02,3014.25
11237.6,2056.96,1755.45,1959.89
13657.5,1399.77,1722.45,2506.74
12301.1,1668.9,1314.91,2463.76
10058.7,2765.86,3615.74,3742.66
16903.8,892.251,2068.97,2370.49
14895.3,1053.82,1734.45,3648.98
20093.1,2722.46,2085.27,6832.58
13785.1,1379.41,1508.5,3053.68
10214.4,2073.89,1886.76,1402.33
12962.1,2995.3,2024.48,2443.64
14250.6,1682.53,2267.97,2229.83
10608.2,2497.62,2022.88,5715.01
11261.9,1107.31,1859.34,2570.43
11397.5,839.668,2258.11,3649.29
19486.8,2768.21,2847.51,3585.7
9078.14,1318.74,1496.93,1991.52
10919.3,1072.9,1640.8,1517.22
24346.5,4802.15,3793.26,4260.74
14613.3,1124.66,1619.33,2879.22
15376.8,1937.79,1753.92,2633.56
9685.53,905.46,1706.21,2023.4
10070,3175.84,3179.47,10784.4
14061.1,3406.07,1749.77,2711.53
10744.2,763.054,2426.23,2887.94
12489.8,1898.25,1384.32,2027.5
14344.9,6363.98,3142.23,5914.53
16427,1983.96,1634,3042.68
15586.7,187.057,2323.17,2779.32
8527.17,2277.4,1658.39,816.934
16825.6,2873.07,2262.67,2968.19
16915.2,1518.45,2386.01,4759.34
11363,612.183,1945.57,1971.36
16931.5,2419.9,1534.32,3237.8
11861.8,1465.17,1944.51,2318.2
11917,4027.54,2618.53,6780.79
9617.41,1337.3,2432.46,2169.8
11467.7,2645.69,1386.26,2372.26
21931.6,3515.36,3203.58,3673.3
15191.9,1619.79,1907.42,2207.05
6463.61,3115.1,1983.94,2133.4
10354,2133.74,1873.61,1652.83
13704.4,6809.01,3588.98,10334.5
11172.8,2934.63,2064.02,3348.34
9374.88,2259.47,1953.95,1694.05
13777.3,1364.05,1811.52,2288.55
12201.9,634.686,1459.33,2584.79
11158.2,1414.37,2112.52,2465.55
12504,2051.33,1921.49,3069.33
12209.5,1360.27,2252.93,2842.62
11113.2,2307.14,2357.23,2508.45
12310.7,2054.45,1516.01,1822.22
10229.5,1351.73,1290.38,1811.47
66783.1,19814.6,9404.99,8089
10427,1219.11,1054.36,1812.72
22411,3176.37,2961.46,2865.29
9941.96,1352.09,1846.58,2048.3
14773.7,3561.46,2522.97,2149.32
7305.53,927.943,1433.28,2485.9
30594.8,9666.44,8120.62,6123.51
12072.4,687.166,1652.68,5209.98
12307.7,2459.41,1093.95,1939.47
8986.59,1610.47,3062.84,2545.62
12474.8,196.351,1827.43,2426.43
13003.7,3878.48,2344.58,2560.11
12608.5,1110.36,1828.51,2533.89
14521.2,2196.37,2135.23,2638.57
16446.8,1071.28,1114.63,2447.8
8243.52,365.453,1102.69,2506.8
15638.9,3287.51,1985.04,2696.15
11161.6,1734.69,2440.84,2861.17
15504.3,2634.83,1924.36,2147.38
9862.91,1549.43,550.977,1859.99
14894.3,892.919,1535.2,2596.07
11068.6,2122.65,1704.11,2486.91
10252.9,2665.36,2027.91,1690.82
8786.13,1291.61,1791.52,865.439
10413,1333.12,2073.75,1073.59
9035.08,2499.23,1664.26,1717.78
9006.28,4928.93,2076.88,1522.54
9808.85,2496.71,1380.28,1503.63
14829.5,-421.397,2669.77,3355.59
13676.2,1793.16,1391.77,2723.49
11585.9,2718.21,998.85,1731.53
11683.8,2047.08,1197.33,2753.63
4125.28,5884.48,2648.42,376.891
15944.7,1473.54,1674.39,1969.08
12027.2,1639.84,1603.9,2513.02
15111.3,1390.56,1677.85,2988.42
12045.4,3290.87,1955.58,2742.06
12790.3,2348.78,2410.97,1936.19
11260.5,1396.92,1515.53,1681.03
12715.9,2216.89,1831.74,2483.37
11125.3,1335.36,1955.08,4809.77
9062.34,3382.61,2733.34,2944.37
15006.1,2658.66,1935.28,3126.79
14682.8,1923.98,953.222,1748.39
11244.8,280.906,1596.99,2819.71
11871,1941.99,1916.58,4006.98
12341.7,1064.99,1485.13,1916.2
11266.7,2634.22,1955.68,2357.28
11792.9,2899.26,1751.05,1951.14
12181,1599.66,2168.95,3251.83
8043.32,2297.6,828.638,1561.94
7991.95,3181.03,1714.44,2381.28
12671.8,1098.33,1088.06,1749.61
15655.7,6680.9,3371.88,7308.67
24744,3357.41,3635.44,3610.18
11925.3,2721.85,1586.61,2610.5
16282.3,1076.28,910.206,2751.17
11354.1,1719.27,2522.94,2492.39
14445.8,5746.46,3469.19,6989.58
9916.71,1566.13,1223.86,1916.14
16848.3,3964.26,3173.57,2679.18
18158.9,8450.88,2866.76,3691.27
13924.9,3049.43,1852.78,1837.23
25391.9,538.516,1769.89,2420.06
18942.1,2149.65,2433.39,1976.31
13220,5709.12,1934.36,2365.06
14404,3297.49,1475.33,2018.94
14765.3,737.504,1303.07,2399.42
10100.5,2642.1,1877.2,2593.41
10066.1,1875.26,1734.45,2103.88
9392.34,1666.41,1576.09,2714
13152.8,1980.12,2488.66,2086.95
22146.7,6102.03,8333.64,5368.53
12159.9,-196.32,1902.26,2223.43
11239.2,1827.62,2906.28,2977.46
13191.4,2035.8,2730.96,3035.98
22741,712.073,3046.04,4311.56
19776,5278.55,1917.66,2893.88
14569.1,3559.59,2502.07,2437.54
11313.2,1122.31,1364.58,2817.35
33065.1,6875.01,4765.12,5234.58
12814.1,1224.88,2288.47,2097.7
9979.21,326.661,2188.65,2370.35
10426,494.307,1418.7,1761.84
10250.4,2558.82,1577.94,2535.35
15404.5,3752.21,1305.74,2221.98
11748.8,1425.77,1344.48,1470.76
12419.2,2498.4,1587.74,2145.4
12039.1,6449.73,3031.29,12105.7
12638.4,3004.46,1831.99,2850.5
13082.1,5453.54,3108.97,2530.05
13271.2,2255.65,2335.6,7725.14
26338.4,2985.81,2630.39,4615.2
14132.1,-18.0591,2007.79,3310.73
14556.8,567.744,1458.06,1790.88
15617.8,7556.48,3504.6,8018.02
9085.29,1288.52,2071.39,2024.43
15427.8,3023.56,1367.76,2748.54
13020.4,1313.26,2149.35,3390.22
11046.7,1679.01,1809.5,2050.8
14328.4,1669.07,1631.78,2932.12
16583.1,3253.45,3163.91,2885.73
14716.6,2781.7,2800.37,3832.02
13380.6,2218.82,1603.28,2764.75
22398.2,26728.2,11349.8,18370
20745.6,6197.29,3493.08,4185.04
10168.2,4005.62,1952.63,2329.57
12986.9,3079.6,1590.51,2839.31
13922.2,757.073,2175.49,3057.39
26513.6,2405.72,1828.85,4701.58
11150.4,1366.98,2388.47,2774.73
9602.09,2806.29,1996.29,1105.69
16171.8,6277.39,2015.34,2873.62
11645.6,-132.618,1807.53,1292.88
13983.1,6751.29,3857.57,2822.39
12064,1412.49,1486.26,2291.81
9198.44,2680.21,1763.89,1840.72
12173.5,2565.8,1834.78,3057.1
12441.5,957.115,1656.84,1004.98
11905.7,4405.68,2895.76,1648.45
12011.4,1242.11,2272.37,2804.36
9861.91,896.202,1629.26,1915.06
11949.6,2121.23,2507.56,2392.75
13846.6,866.98,2644.55,2448.56
20783.5,7266.21,3952.09,4715.15
8611.05,2008.83,1975.08,2288.11
16645.7,1878.29,3414.67,2566.26
15387,2420.16,2269.41,2498.56
9814.85,-178.892,1438.86,1463.45
12522.3,2632.94,1811.34,1574.06
13427.9,1748.67,2329.62,3049.76
12698.6,1805.99,1879.62,2074.34
6789.42,899.536,1528.4,1178.15
13851.7,589.254,1792.77,2296.23
12641.9,858.013,2578.04,2875.76
17998.6,2521.14,1485.74,2334.14
10034.7,-35.1235,1645.59,1867.3
12657.9,2237.75,1098.74,2710.63
7812.94,-173.22,1973.19,1179.28
7930.96,113.62,1056.74,1812.92
13305.1,1126.39,1705.48,2473.3
13109.2,2168.25,1558.38,1939.78
10427.6,2270.51,1989.58,1113.86
13409.1,811.333,1757.62,1388.22
9247.29,1321.37,1502.78,1556.77
10933.7,1582.97,1035.2,1212.68
14015.6,2212.79,1924.26,2525.37
10379.2,609.749,1664.22,2168.55
10501.2,2449.56,1351.69,2704.89
15000.2,1572.14,2187.66,2633.35
12828.2,1426.46,1431.45,3042.29
8066.65,614.973,1947.56,2542.04
12265.8,2072.61,1596.06,2095.52
11756.3,482.72,1825.08,1851.25
10984.9,1753.46,2141.08,1135.95
21412.8,3439.97,2759.9,3273.23
11827.3,1787.34,1604.9,3594.92
14637.7,752.06,1898.61,3232.69
11956.7,2249.16,2031.63,1781.99
12038.8,826.138,1959.38,2059.53
12565.9,1056.73,1568.21,3428.21
11654.6,1916.35,2174.54,3112.26
12772.7,1459.23,2305.96,5172.33
12776.7,3164.02,2139.69,1954.03
13929.6,188.325,1733.31,3811.35
22964.3,695.498,1710.32,3000.64
15072.3,2940.64,1806.75,1943.56
13434.3,2895.39,2095.91,3471.2
10214.3,1024.75,1875.17,2729.11
20960.1,61.7608,858.706,2118.92
12977,2207.14,1169.83,1713.71
12500.5,2289.14,1832.15,2748.59
9610.64,741.975,1574.44,1945.96
12571.9,868.186,1380.55,2100.19
11278,2132.47,1408.56,3053.01
15928.7,755.943,2355.86,2684.27
13492.2,1635.93,1877.73,2015.89
22464.1,4022.49,2201.69,4226.26
10114.4,2025.95,1958.93,2509.66
9233.73,2338.87,1053.34,2097.73
10929.8,1869.15,2044.18,2770.7
12930.1,2766.21,3128.81,2296.58
15672.8,4725.16,9010.84,991.49
12947.3,1174.63,2285.73,2170.64
12490.8,1364.38,1746.51,3316.63
9384.18,2236.18,1440.66,2583.12
12038.3,-137.35,2062.12,1496.6
8906.97,1417.55,1405.93,1470.86
12913.3,2009.7,2806.5,4649.09
11610.1,3934.27,1865.34,1727.19
12959.3,2245.15,2346.36,2331.34
8941.66,2211.54,1550.84,1310.73
13526.2,1417.62,1752.19,3085.13
10071.2,2726.13,2780.27,4790.03
14678.2,1367.95,1807.06,4278.23
16351.5,2708.99,1718.12,2391.85
10433.2,2280.67,662.374,1232.85
11899.7,1439.15,2265.79,3598.83
15644.9,1556.43,2015.03,2691.72
13424,1193.73,2196.73,2735.2
10432.4,978.218,1924.98,1936.43
12031.5,940.834,2361.06,2727.7
11646.9,3496.26,1984.77,4368.52
15678.3,4118,2223.67,3154.43
10321.3,1886.52,1808.34,2094.36
10536.5,2510.04,1880.43,1379.77
13659,12368.8,5625.09,16511.8
12592.4,2473.19,2601.29,2875.22
11750,2506.51,1614.88,1846.05
14297.6,2108.6,2505.11,3374.04
9869.88,2450.88,2211.42,1903.1
14582.5,3541.51,1377.62,2295.03
13362,3112.43,1834.94,2116.35
11888.1,2166.31,1908.66,2021.68
16326,1467.9,2707.32,5815.48
16984,796.855,1736.66,2196.25
12464,1141.92,3181.26,2025.48
11397.9,5536.69,3629.7,8408.05
12750.8,2746.43,1297.69,2300.62
11340.1,744.088,1931.14,1365.54
10590.3,1818.51,1820.21,1826.83
11006,2104.23,2051.18,3194.99
13330.5,3491.84,2457.1,2765.93
16782.7,13327.3,4474.02,11785.3
9372.7,1360.95,1086.12,1640.06
15398.4,1488.69,2021.14,3016.35
12980.4,2201.87,2585.6,4503.79
7421.51,429.056,1767.13,1807.72
12867.7,1522.7,2157.99,3276.2
8657.8,1341.33,1665.52,1542.31
24320.2,1755.32,1017.05,3592.84
12257.6,3756.35,2172.11,2825.7
14394.1,-1225.85,1871.55,3413.1
13164.5,455.707,1469.11,2097.4
7268.2,-1647.14,1190.17,2400.07
7235.2,1069.24,1528.89,1600.74
12408.1,3217.63,2450.83,2652.02
10913.8,1337.01,3097.42,2036.92
20236.7,2858.69,2205.36,2758.68
9161.03,752.124,1639.49,2078.53
13039,197.871,2314.6,2723.21
7568.75,3081.02,1918.88,2235.75
7881.54,2012.93,2006.51,1139.57
12849.8,604.555,1803.49,2608.37
15669.3,1183.57,1220.58,2427.26
9838.22,2663.32,1861.58,5553.67
11362.1,3113.57,2006.85,1756.63
13580.5,1719.86,1768.25,2265.18
10941.6,1583.43,1863.77,2739.15
18145.2,3220.14,2049.28,3305.15
15386.3,1902.07,2030.6,3015.66
10823,1812.57,2440.19,1931.2
11794.9,2313.98,2068.33,1997.96
12868.8,180.929,1749.01,1935.83
15544.8,3954.84,1311.27,1414.64
11392,958.825,1439.51,1695.99
13511.6,932.115,3288.13,3136.57
8198.43,435.435,1597.06,1114.94
12235.2,4781.87,1422.3,2307.2
7319.8,933.356,1259.54,1365.23
12848.4,4749.94,2520.66,2813.02
7948.05,896.226,849.013,1525.17
11311.7,839.359,1420.91,2342.29
13032.7,1962.22,1838.82,3270.18
12259.8,547.463,1279.78,1486.51
7214.87,2133.31,369.679,134.746
13415.6,6934.28,2369.31,5524.72
12060.5,2160.87,1004.05,1771.97
9046,1973.37,1092.03,993.603
14699,3087.02,1559.96,1438.57
11715.4,1636.94,2531.81,2613.24
13822.4,170.83,1397.93,3707.56
9147.67,957.076,1629.29,2815.24
17303.3,3247.94,2806.89,3842.47
11869.9,2201.56,2670,5554.98
11777.5,773.224,1849.31,1525.29
13983.5,1389.02,1370.95,1885.31
11750.8,2639.39,1520.67,1880.52
11151.5,2592.32,1858.35,2375.8
12844.8,2323.88,1752.83,1762.72
13129.9,2627.72,1872.85,3361.55
18371.5,586.999,1811.03,2632.85
15311.1,3648.35,2411.84,2548.4
11695.2,4209.35,1502.8,3259.22
11210.9,1533.81,1789.46,2515.73
13197.2,4508.82,2878.42,10942
12946.9,3005.68,1593.52,2779.7
13428,2628.56,2363.13,3654.35
10775.9,6969.12,2594.57,6617.19
8009.47,1915.31,2227.18,1664.42
12137.9,2009.24,1401.46,2888.43
9840.11,2601.3,1443.77,2173.68
8330.74,718.653,1179.4,912.734
13326.2,2383.42,2390.78,2861
9939.58,-466.71,2008.79,2450.36
15624.2,1761.75,1940.19,3206.73
14944.8,9952.86,3633.76,7993.08
11132.9,2426.96,1523.99,1718.59
15051.1,1328.48,2092.05,1199.57
11252.6,2839.15,2173.99,1440.27
9129.04,2910.34,1738.39,1013.57
22092,4602.57,2687.22,3135.7
13223,694.384,1971.11,2718.11
11049.1,2176.77,1595.5,2999.95
17027,2200.19,1591.44,3069.23
5912.52,857.442,579.433,1474.11
16608.4,2118.12,1619.62,2573.34
11408.3,1837.58,1549.72,2212.19
15542.9,1068.33,1753.91,2523.38
16379.9,1144.07,1957.18,3151.44
13364.3,2127.51,2621.34,3667.51
22964.9,2406.39,2054.97,3994.12
14187.3,-499.072,1597.49,2244.74
10882.8,3039.04,1361.83,1649.23
9777.69,3697.97,1851.14,2767.84
11820,1931.91,3584.56,3091.24
10306.3,2325.43,1619.57,1993.12
32912.8,4030.03,3312.46,4386.16
8811.8,2061.81,1095.76,2027.95
11055.7,3467.39,2519.55,2606.12
11151.4,4179.5,1352.74,3200.36
11226.8,2569,2027.94,1944.58
13882.6,2464.3,1953.62,3343.18
12900.5,1436.92,1746.27,1908.11
10668.4,2095.27,2430.31,1950.87
11927.3,1076.83,1811.11,2460.15
9967.15,2841.83,2001.7,1072.21
15012.7,2125.81,2108.97,3503.93
9193.1,1794.8,1048.95,1338.6
8579.35,1752.41,1027.45,1532.44
16546.5,866.562,1201.72,1390.29
9988.53,-744.414,955.57,1895.1
