"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
769.245,9860.9,765.36,2469.44
2501.64,9436.71,2737.73,1772.63
2083.05,11802.4,3384.9,2189.38
2015.41,17964.7,1532.8,2012.3
2647.77,11993.5,2870.33,3166.87
2380.96,12634,2438.23,2454.14
1851.02,15411.5,1499.53,3589.81
1414.05,26718.7,2934.66,3122.09
954.014,9989.58,1968.03,1022.19
1759.51,10048.8,1477.56,2681.73
1483.88,16197.5,1546.98,1978.38
2585.46,15031.8,1385.73,2575.4
2173.81,15633.9,3284.58,2967.84
1831.86,8832.98,111.623,2129.94
1959.86,11377.4,1564.01,2039.54
1879.27,15098.2,2895.78,2484.45
1319.36,10565.1,1658.5,906.123
2314.23,9346.92,2406.43,2184.68
1602.89,13033.8,820.239,2654.9
1617.82,9765.76,1863.08,1650.05
1544.87,13895.9,2173.41,2312.15
1542.42,11151.3,1423.89,1609.93
1704.15,11206.6,1550.15,2040.12
1520.5,14516.4,1843.66,2245.26
1533.07,10593.7,2106.12,1888.45
1742.13,11612.5,432.586,2562.9
1597.82,15009.8,1048.89,2273.88
1952.64,13692.4,263.88,2303.31
1726.47,11497.2,1746.43,2485.83
1240.31,9286.86,1063.9,1526.52
1533.93,15386.1,1694.68,1998.21
2477.32,12198.9,1176.47,2095.07
1641.2,12990.3,1473.71,2947.49
1370.67,11520.1,1974.7,2701.15
2288.94,11760.4,2201.28,2437.48
1379.1,11122.1,1570.89,2287.45
1066.3,10259.3,1550.03,1658.56
1927.44,9143.21,2499.57,1144.11
1451.08,21695.3,2589.31,3089.95
1117.7,11436.6,-880.195,1071.12
3156.11,9815.1,2825.82,2960.64
1719.87,10740.5,-86.6512,2348.97
1759.87,9742.38,2080.67,1347.65
2026.35,10297.8,2247.24,1818.8
1888.34,20151,1779.19,2764.03
3427.51,14435.6,3429.85,6462.79
2809.18,15058.9,2818.79,2412.06
2022.01,10861.5,2086.29,1644.52
1573.64,12822.3,635.159,2311.22
2326.21,17536.9,3201.26,2976.32
1868.37,16528,3091.64,2175.43
1929.61,12004.1,2604.76,1640.36
1637.28,10701.5,2546.65,1751.05
2104.48,13674.3,1435.61,1730.54
1504.97,11019.1,1326.22,1888.03
3042.91,11997,5660.66,1786.79
1674.72,10622.9,2771.75,1794.29
1656.41,8596.48,-384.398,1483.72
1922.81,10859,1882.28,1977.7
2107.31,7394.6,1325.92,3207.35
2930.07,14985.9,6226.83,5616.9
2162.43,12156.1,3124.23,2170.72
2988.16,14538.7,3020.4,1954.81
1579.31,6196.41,1226.27,928.07
1672.1,10165,1805.14,1276.48
4160.08,12451.9,4491.84,6523.26
1642.73,10219,1937.2,1582.25
2037.94,10150.2,-396.487,2333.58
1925.86,16830.3,3724.71,1841.91
1269.58,10648.5,1278.22,1534.43
2196.28,12400.5,3077.36,2528.82
1935.08,8194.49,1033.46,1965.09
1676.57,15504.2,4015.11,1616.47
2323.57,10899.5,2754.99,1299.89
1596.96,8739.37,1194.31,1836.85
1638,13044.2,367.889,2388.43
2682.61,15481.6,3591.58,7698.08
2037.68,12179.5,2726.56,2205.69
1127.63,16348.5,1688.18,2202.59
1871.41,11353,2248.06,1815.72
2059.51,9551.72,142.564,2119.27
1829.55,18873.8,3025.55,2446.84
1644.19,8820.41,2569.34,1274.42
1772.99,14345.4,1303.31,1474.03
1623.37,8877.21,1326.4,2882.58
1507.7,11688.8,664.396,1834.65
1083.94,14375.9,1870.5,3110.8
1977.81,15511.5,3156.46,3699.73
1534.59,10699.3,2086.41,2149.98
5172.56,17323.1,3938.5,3910.77
1612.01,14202,109.487,2376.48
1946.88,9647.67,2264.47,1819.3
3074.37,11416.2,2224.4,2401.19
959.075,9781.42,1302.51,2157.69
1629.5,13643.2,2081.34,2479.1
2244.25,10089.7,1903.51,1183.08
2900.36,12316.3,980.863,3307.21
1694.94,14019.9,2665.55,1755.45
1869.27,14048.8,788.176,2224.06
1968.76,12975.1,813.877,1759.56
5961.15,27680,8725.04,5668.05
1853.48,19071.3,1733.35,3692.38
1623.33,7176.31,1398.31,965.022
2027.75,9046.5,1268.51,2114.39
1871.47,14619.4,-691.178,2599.67
1037.08,19079.2,1753.9,3214.84
3100.07,10864.6,5039.93,9753.25
1178.4,11710,1634.05,3083.84
1362.88,10437.5,-184.706,1915.18
2215.82,11788.9,3031.65,1880
1908.02,12851.2,1742.91,2695.36
2072.52,12646.8,3650.66,1519.09
1508.42,12802.5,281.705,1381.46
2472.67,14199.4,4459.17,2457.68
1228.7,13208.5,487.646,1904.18
2145.4,12124.7,1506.21,2355.45
1454.79,9020.63,2421.1,1389.66
1562.39,13837.2,3633.27,3093.31
1721.61,10180.8,2022.87,2005.73
3762.88,13007.6,884.953,2520.42
3142.29,17679.5,3750.94,8585.02
1922.15,11386.7,2241.65,1576.92
3104.54,16611.6,1336.4,2101.68
1930.23,16103.2,2672.36,2038.31
1566.64,7273.81,2759.56,766.25
1390.69,11388.5,334.338,1598.51
1563.3,9807.91,3984.29,1467.92
2107.15,16277,2308.33,2713.63
1547.09,12396.4,929.265,1815.09
1299.95,11068.8,2847.17,1802.12
3090.87,23757.9,6166.64,3468.63
1814.49,8517.19,2961.94,1259.38
1214.73,14621.7,-522.075,1631.42
2320.38,12003.8,1316.54,1605.33
4098.28,9987.31,2786.68,1922.9
800.784,5635.03,2954.06,1247.43
1243.01,13028.1,2660.69,2142.44
1526.04,12913,2127.76,2070.45
1709.36,12300,2313.85,2053.18
2180.03,11054.6,2053.41,2335.94
2383.44,8275.63,2016.84,1089.19
4117.95,23946.8,8627.66,14812.2
1933.82,10837.4,2297.78,2763.47
2009.32,10615,2529.01,1301.69
1598.59,7479.01,1220.36,1709.42
3472.34,9714.57,115.951,5755.23
1254.24,12442.3,1659.31,2277.1
979.707,10775.3,2406.7,1556.22
657.993,19490.6,-2.08862,2224.99
1383.36,9692.33,3368.92,2452.41
2016.51,12450.8,2440.92,2075.83
2536.65,11892.9,2625.86,2200.89
2545.56,13428.8,2431.24,2702.52
3009.39,12786.2,1867.06,2619.62
1663.88,16347.9,2301.58,1863.83
2045.11,17622.1,37.5203,1835.83
2340.58,8920.14,3003.48,1463.49
1443.8,14569.9,2476.07,1505.37
1448.46,14908.2,1149.69,3164.73
1729.07,12265,1859.86,3047.19
2434.5,14902.5,1990.01,2620.29
2344.09,13187.2,2455.39,4232.89
325.762,5678.19,1130.38,-178.74
1602.26,12517.6,1733.81,1937.91
1765.37,12483.1,-400.833,2144.68
2895.78,16329.3,914.115,8074.51
2248.82,9834.88,236.113,1982.41
1622.53,10359.1,860.824,2153.83
2239.19,12809.7,821.688,2309.69
1961,12949.4,3683.49,2450.09
1966.67,11382.4,-272.304,1653.67
1581.33,12245.1,1682.66,2205.83
1815.95,27478.9,2732.02,2980.37
2634.92,13307.2,1326.07,1774.19
1910.12,9152.47,1398.7,1857.02
1777.03,8206.51,-501.431,1308.05
1758.16,12193.3,2610.39,2660.35
2426.1,8950.03,2824.62,6813.6
1257.46,17774.7,-53.2968,2284.69
1773.6,12008.3,1709.12,1220.14
2078.22,17956,2137.71,2712.2
1220.22,11664.3,1767.57,1611.9
2413.16,10813.8,677.844,3454.74
1032.83,11279,1225.77,1652.97
1578.29,18965.1,1899.47,1712.54
2149.27,8547.87,2955.56,1849.76
1354.61,13812.7,1201.93,2126.9
2526.02,16274.5,3616.8,2972.6
1886.71,11200.9,1087.53,2144.28
1723.26,8010.63,902.192,1215.68
1239.06,6237.17,2438.31,118.416
1570.65,9334.77,1369.5,1582.11
2113.81,10456.4,1124.77,1568.07
2207.68,18040,2350.75,3514.74
1343.62,12971.1,2159.95,1652.06
2792.16,12708.6,1074.28,2730.95
1648.45,13021.3,1023.4,2579.55
1308.4,9348.2,-315.369,945.467
2176.51,14828.1,2395.46,4434.94
1308.62,10703.7,1802.3,1747.49
1432.76,10590.9,1147.07,1498.92
2472.84,9568,1890.19,1848.2
1632.54,9769.9,2157.36,1749.21
2009.26,13410,1889.31,2245.93
1641.83,12975.7,922.757,2371.17
1545.13,11056.1,6.12592,1470.06
1962.27,11955.8,1263.17,1779.52
2166.65,8988.5,1236.09,924.176
1659.13,16260.1,1427.81,2173.12
1386.43,8186.75,821.991,2351.89
