Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
13103.8,2268.78,1320.41,2273.8
7374.56,689.457,655.579,1088.51
22296.9,3595.74,1146.39,2269.86
7209,2227.04,1170.94,1569.93
6350.57,1183.44,955.084,2193.56
6395.05,1907.68,605.098,1720.05
12071.1,2849.91,3889.17,9082.78
9552.89,2484.88,853.535,1080.57
8952.91,2322.59,1399.76,1874.87
9686.5,1536.46,1199.17,1859.2
9959.77,607.735,813.483,1554.87
7618.2,1123.21,578.298,2217.86
8814.95,901.891,736.647,1633.78
7630.71,1040.98,1308.35,2112.52
6512.29,1978.84,1059.6,1234.73
4702.76,1376.78,490.284,618.454
7282.8,1005.86,525.829,830.055
13384.6,4928.37,1911.19,1933.44
8379.72,1422.11,1076.35,1067.95
9998.28,3141.09,1844.65,2240.05
6215.9,1265.52,764.944,1094.32
11596,1097.59,1433.75,1243.46
9903.54,941.012,953.383,1666.94
6465.5,723.867,1304.16,1729.55
10862.1,1230.76,1262.95,1996.56
8419.6,889.403,1051.53,996.924
10634.8,7406.81,3492.4,2094.82
4614.76,1603.03,1125.38,1093.86
6419.88,1834.82,1360.58,1342.12
8710.47,878.563,1703.9,2278.26
7220.28,967.04,1476.31,1682.46
7574.02,3635.32,1138.48,742.61
14890.8,4979.15,4169.96,1568.48
5904.33,3530.61,1594.7,2081.98
7627.01,2835.77,1006.62,1597.5
7649.6,3261.73,1666.66,1810.99
7792.5,3993.89,950.554,2701.9
6120.28,1158.82,1096.26,1153.27
5172.63,1317.84,908.851,893.693
5969.89,1367.13,1146.94,1367.9
10138.9,5824.64,2253.38,2128.67
8914.07,2958.63,2096.54,5422.58
10728.1,3136.21,1074.83,1935.12
6834.19,1627.64,1071.84,1254.75
8305.98,2001.93,1008.56,2092.2
6255.76,1170.28,685.446,1064.78
8391.28,790.769,978.112,799.947
9554.76,1305.34,1195.52,1438.62
8163.09,1248.81,986.749,1272.78
4931.7,224.259,1186.68,878.651
7336.86,1451.24,1082.7,676.819
4450.55,39.9934,790.735,102.692
9369.22,2074.03,1282.62,1400.38
9344.45,2622.72,1723.07,6719.16
5887.82,1922.26,1390.3,1712.84
6902.24,3535.86,1205.56,1320.86
8223.87,1415,560.917,1493.98
8231.97,2899.14,1203.74,1258.91
9222.73,117.783,1533.31,2025.66
5974.94,1415.29,731.839,264.618
7124.42,-214.014,790.561,1581.47
8236.09,2234.25,846.32,1460.8
7005.67,2219.33,681.842,1909.86
7876.32,-564.373,755.493,1233.98
8677.72,3681.58,1609.26,1311.05
8324.97,2483.79,1455.2,2080.04
7463.27,1585.02,721.198,1004.27
6539.38,2770,1270.96,1679.37
8429.26,1271.53,1058.08,1665.45
6663.76,1282.28,722.312,1270.5
6815.26,2420.4,1857.42,993.41
5240.19,2260.99,774.241,1862.12
9282.84,1512.35,1062.89,2099.94
