"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1022.41,7574.86,1406.28,2036.88
1048.82,11374.9,2581.73,1670.9
1052.84,7149.42,1698.42,1124.86
639.401,5917.6,-379.063,1506.55
1582.01,11808,2249.69,3621.58
1607.11,9745.37,2480.96,1178.08
690.335,8686.4,2025.67,1823.55
1804.51,7363.37,2492.91,1583.31
1159.61,7252.75,3364.9,2339.58
1134.11,7762.63,1468.51,1253.09
1026.63,7809.17,13.7809,1993.65
954.685,7433.68,1224.87,1978.8
1228.67,7501.11,1760.85,2465.96
1147.98,6873.99,1066.82,1957.35
1366.59,6722.58,1674.71,1620.66
1418.14,10752.7,2375.65,2298.86
1520.86,11095.1,587.695,2499.89
1026.81,5912.57,1826.03,950.572
1596.9,8278.69,1359.12,1832.94
768.119,7587.94,1633.68,1732.43
1962.1,9174.18,2897.31,1618.18
1214.8,11128.6,2366.69,1398.13
803.938,6605.35,11310.8,1294.25
1035.47,9019.35,733.606,1360.91
1479.05,7030.15,3990.4,1319.63
1582.72,17869.1,3655.12,2599.38
1649.59,9102.48,3964.22,1910.25
596.222,5991.93,1478.31,1016.07
3428.31,8268.1,7402.48,7020.78
2807,11310,3648.03,2924.41
1039.44,8507.18,3329.28,1742.15
1684.77,8053.79,32.1549,1711.56
1380.74,12223.4,-129.712,2172.06
1213.55,7727.84,1779.37,1448.94
1022.12,6075.65,475.626,1541.1
2017.47,13815.5,3513.23,1348.28
1044.06,7018.97,2791.59,1501.33
821.492,8723.55,347.757,1740.45
1263.02,12646.3,2560.06,2044.9
2029.69,7361.46,2681.9,1714.48
1847.32,9907.7,1929.41,1048.19
672.933,7954.62,1027.22,1337.17
747.965,5225.26,1472.77,1897.46
747.155,7339.1,3645.41,1711.79
2596.32,14255.7,2210.69,2310.45
1071.47,6773.35,2517.03,1416.4
1334.38,10679.6,2170.81,1675.35
1673.07,6588.51,2133.36,1677.39
1002.66,8771.41,2301.82,2006.06
1224.07,7235.57,1190.72,1741.47
259.215,3895.07,2075.06,875.344
1020.99,9348.9,1228.8,2359.82
1143.54,7794.84,766.482,1390.95
1314.47,7114.42,2217.76,1599.92
1434.31,10084.2,2810.58,1844.9
966.183,12870.9,417.246,1368.44
928.52,10492.9,2612.12,1548.12
2201.84,10433,1903.53,3648.77
1089.18,6811.43,1328.44,2079.64
890.983,8773.03,1160.48,1008.64
1038.74,8330.4,2436,1273.49
1323.66,12149.7,969.292,1782.29
1381.32,7375.41,1307.36,878.484
549.902,6809.63,4239.51,1208.33
1421.44,8901.09,5734.42,788.345
1005.74,4239.14,868.104,1674.2
1211.87,6062.14,615.934,1924.55
1076.23,4267.29,545.578,846.771
1135.73,6159.01,3197.1,1732.85
1061.52,7213.36,2142.99,1012.7
1315.4,9452.25,2751.33,1766.5
774.476,7618.14,1251.03,1290.19
1120.08,7324.26,2686.44,2100.32
890.741,6926.5,1187.11,1334.34
630.052,6513.21,1946.89,1635.07
1166.1,5005.81,2113.76,1799.52
1168.69,7957.01,1664,1624.06
1251.18,6092.85,1557.83,1317.5
1679.44,6849.11,1251.46,2424.97
1547.52,8258.95,368.71,2468.23
1140.22,9205.89,3552.19,2204.71
896.131,6172.14,-1755.46,1180.67
665.599,5885.72,1633.42,646.067
1210.57,9458.57,-1024.13,764.482
1279.09,7715.75,3939.05,1986.03
731.478,6400.71,1650.02,2049.55
1211.35,6795.68,1423.36,2964.93
1474.36,11373.8,905.63,2486.37
1152.83,12409.3,108.166,2683.47
1093.18,7700.16,1792.47,1351.43
1119.96,8489.67,1344.82,2897.56
676.752,7143.77,459.702,2083.12
766.413,9179.12,2721.31,1809.66
708.035,4473.84,1917.91,1322.04
1196.56,6415.68,1679.18,1015.85
816.57,4918.02,2596,1252.44
899.432,9561.53,1493.06,1628.94
1707.02,8773.25,2358.12,1470.95
1660.31,7930.57,3262.33,989.413
863.542,7436.92,2409.43,1748.04
1131.11,6400.01,1833.31,2089.22
575.89,7781.1,1272.13,952.016
1536.29,8508.8,3453.41,2146.51
916.001,7060.42,1376.57,1354.56
1264.53,5379.84,1682.21,1406.65
1572.02,8380,2683.58,637.61
1177.57,7792.43,-210.424,1957.95
1538.32,6443.85,2466.72,1889.65
1689.23,8415.73,1935.27,2512.62
1530.02,9512.3,2559.37,2010.6
1012.92,9076.58,116.857,823.129
580.321,6921.66,1738.64,671.68
1064.03,8037.4,308.782,1266.66
2112.37,14496.4,3648.26,1792.76
