Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A
4950.9,9457.06,2362.01,1587.74
9910.12,6794.7,1608.24,2092.58
7531.41,7288.46,2000.5,1709.12
8940.75,5748.74,1177.52,1354.37
6104.04,6459.51,1590.92,2083.71
11680.9,4936.52,1371.34,4278.36
9186.82,4506.33,1739.28,5028.75
7375.84,5412.29,1178.26,1144.78
8447.11,5318.6,1337.88,1792.27
9212.09,5000.83,2814.35,1572.25
9820.08,5708.18,2149.83,6553.65
8419.85,5129.96,1777.41,1762.91
7466.71,2988.17,1693.11,1470.49
10706.1,3568.56,1582.3,1771.78
4553.02,5795.59,1498.78,1119.26
8245.13,2713.47,1592.03,6388.15
4094.84,3478.27,1345.63,1186.6
11433.5,3582.59,1937.29,3983.03
6063.1,3373.26,1638.05,1476.54
10411.7,4530.66,1611.24,2787.35
7471.88,2852.52,1890.59,2324.56
7321.2,3870.93,1158.99,1447.09
9972.27,4701.51,1593.43,4068.87
6688.05,4391.55,1380.62,1320.01
10752,3001.26,1598.82,3413.3
10134.9,1658.28,1059.18,1587.39
7390.53,2955.04,939.27,1605.22
6685.5,2032.6,1651.8,2167.77
8100.68,5616.13,1324.03,1677.26
8779.32,4648.12,1378.45,4193.78
6786.47,2353.47,2433.12,2359.43
7275.85,2139.63,1162.84,1757.32
10013.5,3211.82,1572.75,2454.33
8990.77,4025.94,828.247,2144.91
7056.43,3634.54,1341.72,2718.38
25507.1,14101.6,7082.68,12230.4
8286.7,3581.39,1526.01,6021.03
8044.7,2486.55,1856.44,2453.98
6130.84,1496.49,1373.87,1589.32
7547.45,3188.69,1004.55,2192.12
7722.75,2819.34,1125.83,2609.39
7130.53,3637.99,1491.1,1229.02
8868.75,2145.58,1505.94,1388.96
12548.3,3638.66,2274.61,2701.94
7582.05,1333.86,789.94,980.704
6713.29,220.205,1387,2138.59
7290.19,2438.73,1000.74,1623.87
7567.78,3563.44,1110.4,3025.19
8116.03,1844.67,1137.99,2735.48
7736.57,1837.8,1614.08,1390.21
5179.01,1505.31,1285.61,1427.59
11189.6,2650.05,1677.54,2760.15
7734.5,1375.79,1954.57,1904.13
7006.11,846.767,1373.22,2817.36
7179.9,737.107,946.899,1095.52
6048.38,6161.18,2092.34,5484.81
7608.22,3333.33,2046.31,1087.19
5474.93,3184.94,1157.47,1024.63
11160.8,2397.78,1393.52,2090.8
7962.07,-516.241,1601.53,1170.55
12648.9,3127.89,1677.89,2055.22
6280.08,3194.62,1064.83,2281.37
8302.67,3075.85,1215.14,1978.95
10467.6,3681.41,1231.12,2199.9
10848.6,1856.28,1671.96,2680.81
6107.48,1942.41,861.091,1393.33
10033.9,2708.85,2046.6,2346.72
10422,2604.18,868.159,1282.19
3545.56,329.275,1157.87,577.331
34866,13544.7,5597.69,5594.08
9108.62,3457.4,1825.58,2187.35
4621.84,1213.55,1284.49,1539.36
6456.65,2165.78,1415.65,1197.09
7732.22,3035.23,1323.36,1118.27
6834.14,712.099,1623.56,905.392
5557.39,310.305,993.055,1547.12
6349.7,3177.02,1279.31,1402.15
6162.83,2015.25,863.612,2185.86
6129.52,1717.64,859.013,1067.13
7533.07,1313.76,1005.52,2080.28
15802.4,7925.41,2927.99,3851.62
7732.92,2116.58,1451.74,1810.75
5465.47,861.637,1349.8,1277.22
4165.41,315.415,1105.88,1453.64
9117.79,2706.5,1867.79,3467.41
7260.94,2554.83,1407.23,3778.37
11961.2,618.036,1551.55,2133.23
12301.9,1004.57,1325.94,2680.28
7940.04,2356.7,1525.7,1061.18
8687.69,1561.05,1704.59,3637.46
7790.45,1464.27,1874.34,3826.47
10987.9,816.358,1093.18,2688.35
8161.35,3386.91,1125.7,1926.77
8246.68,2055.19,1551.79,2364.66
9632.35,-100.841,1307.19,2059.89
10121.9,-241.716,954.651,685.274
18617.6,10107,2296.07,3610.25
6790.15,1448.41,939.042,2651.74
9349.49,2979.2,2082.53,2333.99
4598.12,3867.94,1581.21,864.458
8259.55,1015.28,2288.99,2259.44
7643.27,2018.15,2823.28,2868.24
4645.84,1918.31,1824.19,1269.76
8933.18,2950.46,1918.55,3102.42
10292.9,1712.77,2023.12,2771.21
5685.71,2766.2,1264.29,2094.6
8905.44,1786.58,1329.75,1332.39
5811.13,1251.88,1229.66,1628.45
56105.9,11093.9,8284.37,19562.8
6592.05,2970.59,784.095,886.952
9555.39,2354.63,1352.74,2584.59
5472.1,2545.64,801.754,1963.63
7352.36,2582.38,1208.05,1575.9
6176.99,621.966,1352.59,1099.16
5909.86,560.842,560.815,1086.79
6382.39,2131.66,1699.66,1780.73
7037.15,2428.16,1018.34,1667.37
6229.94,-196.705,637.758,1502.48
14276.5,4383.93,1921.75,4626.5
8736.46,2056.27,1262.82,1548.85
4533.72,221.446,865.738,896.276
6088.43,1749.88,1093.08,1186.25
13051.3,3963.2,2167.7,2833.26
10251.7,1335.09,1221.33,1311.1
6108.52,1134.32,754.016,1068
8438.96,1414.78,765.105,2535.89
5141.01,2780.17,594.017,1782.67
7812.68,2951.7,1793.77,2533.95
6681.33,1803.23,2028.14,4037.29
