"Comp-Alexa Fluor 647-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A"
1029.31,8687.35,1427,2497.65
2000.24,4803.71,1923.16,4967.73
1845.92,12388.3,1188.24,3192.5
1873.94,6455.19,1728.23,2151.74
1449.2,8038.95,120.638,1881.59
1528.12,6491.29,1009.8,1340.66
1894.91,7808.92,1320.36,1245.34
1368.67,11207.3,455.005,2405.99
1413.86,10995.3,1705.62,2178.6
1488.06,8894.94,1251.96,2072.85
1455.54,8179.39,1139.52,1285.38
1712.47,8352.06,996.34,1593.53
1284.2,6059.38,1191.87,1910.27
1570.39,6318.51,1048.15,898.157
1970.88,10911.8,991.097,1684.02
1848.59,5301.04,1245.15,1824.95
1525.13,9108.84,717.758,2951.35
1652.52,10465.8,1319.38,1987.77
1686.58,8277.19,1428.33,2644.11
1253.32,7940.71,637.203,1991.96
1955.31,6153.1,-376.168,1336.43
1442.25,8909.97,1003.78,1553.23
1412.55,9840.76,1646.2,1882.15
1665.31,7518.48,1816.02,2451.83
1452.12,5658.46,2073.9,1258.9
4052.91,15441,3436.64,3121.22
1564.51,8764.17,650.807,1869.74
1454.17,6687.98,1381.11,1530.4
1607.72,7446.9,2119.93,1694.39
1220.23,8727.08,2008.32,1396.02
1251.83,5218.04,1118.91,716.564
613.249,6898.96,784.176,1516.72
1725.64,8750.34,1692.19,1179.79
1652.5,8994.72,1442.55,1573.73
1035.7,6846.9,1689.78,1348.22
1729.15,7123.84,726.902,2520.58
1533.04,5259.35,925.103,1119.5
1416.33,10014.4,1267.6,1698.53
1317.88,4619.57,875.748,1046.88
1839.64,7442.72,1534.7,1395.82
1912.87,6508.23,2023.16,1556.61
1084.46,7467.41,2999.86,1309.73
1040.22,7523.22,742.908,1596.54
1426.99,8828.31,1036.83,1648.98
1163.91,6294.18,2490.91,1808.51
1451.26,9578.55,1008.71,1986.58
1950.35,8060.29,577.007,2120.61
2295.8,9815.06,1597.19,2915.03
1532.55,7674.66,2851.03,2230.37
1153.79,12356.5,701.619,2965.39
1928.08,6998.59,1076.63,1481.04
1561.71,11071.5,603.647,3305.37
510.796,7828.35,441.166,1346.43
1564.27,9137.39,768.166,1885.8
1421.48,8800.49,8296.51,1591.34
1495.63,8812.91,4054.7,1792.44
1404.66,12678,685.92,1239.86
2298.3,12606.1,1481.4,2381.98
1404.99,6307.33,1035.14,1118.55
1655.87,7846.15,-489.059,2305.94
816.665,5685.65,-206.954,2090.2
553.539,8981.88,-400.097,1323.47
1398.66,7868.21,-1029.53,1505.24
1530.49,8012.1,-122.905,2062.33
1579.72,10213.8,-970.21,1073.85
1979.06,5715.23,7335.12,1280.16
1329.34,8015.07,4337.51,2274.9
2395.77,12444.4,4577.53,8226.31
1253.42,5055.1,2231.97,883.994
1589.75,8793.1,3707.65,1153.94
1671.42,10669.4,3816.89,1501.07
2014.33,8754.32,4549.18,6326.25
1313.21,6892.07,3156.98,1209.65
1472.23,8961.36,2741.77,2113.7
1805.35,6760.81,1602.73,666.004
1143.74,7580.42,2788.53,2328.72
2007.05,5927.88,3966.07,1847.68
2065.39,9930.6,1398.62,2170.09
1819.03,8218.33,3981.53,3167.81
981.097,5976.35,1627.23,1426.58
1878.85,20823.6,3393.72,1984.12
1205.65,9757.82,1485.81,2378.53
1643.4,8164.87,2823.09,3027.53
1123.4,9262.07,3398.4,1871.79
1095.17,8585.13,2601.06,1784.46
1423.87,6380.44,3281.83,2092.91
1362.08,11193.3,3319.17,2796.01
2173.41,9027.9,3415.89,3984.87
1711.18,9031.95,3460.59,1949.3
1677.29,9767.32,311.735,2627.47
955.341,9035.59,3680.39,1898.2
2050.94,9799.35,3510.77,2334.49
1560.17,12439.7,2160.61,3303.6
1764.8,9580.9,2195.73,1920.05
1720.44,7478.84,3023.91,844.765
2517.36,8478.5,1969.95,1628.63
1190.1,8009.81,3210.23,2774.75
1172.59,9704.05,2894.92,2466.67
1588.94,9416.95,1641.52,5282.23
1352.43,10192.6,1617.6,1838.59
1602.96,8425.96,2841.58,1526.97
1299.57,9706.76,1578.03,784.698
862.981,9442.05,3957.9,1705.09
1298.94,17253.9,2144.4,2725.72
1166.54,5389.48,2490.68,2112.15
567.671,6042.09,309.205,1510.75
1878.76,7179.97,2119.9,1450.38
1175.79,4800.07,1392.16,1075.92
3236.32,7584.09,2429.59,1769.07
939.686,11860.5,1656.05,843.199
1963.77,7105.21,4188.6,3740.2
1425.23,4721.88,1936.15,904.055
1850.84,16922.7,2053.05,3281.9
1819.69,9548.19,4108.2,1519.83
1494.95,8255.97,-400.617,1763.57
1065.15,8298.75,851.773,1725.04
1794.11,7112.51,907.105,1817.38
1296.32,7180.99,93.8787,1216.4
1138.29,7231.84,567.839,2126.48
1761.97,6134.12,2039.76,2239.64
789.73,5691.99,-36.7747,1927.07
