"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.86502e+06,1.36506e+06,819752,499348,375820,300141,751288,442328,677346,4085.85,-724.181,22926.7,47472,19139.3,10482,4298.66,0
1.59222e+06,935182,1.02155e+06,909113,575228,378806,911117,691277,789073,6441.85,-2700.59,4739.7,50501.5,58178.1,16671.3,6895.36,0.0267817
1.84852e+06,1.36642e+06,811690,381149,267193,199718,802710,324632,704457,2987.89,-644.787,46352.7,20914.5,13622,8017.78,5689.82,0.0661749
2.02533e+06,1.59374e+06,762481,331584,219217,163156,806162,278722,713796,3920.52,-1798.26,49852.5,29532.3,22339.4,7244.62,3049.24,0.0670251
1.09249e+06,780453,839890,425075,330963,241698,821594,352823,722869,2809.71,-499.701,3894.42,21015.3,14464.3,8979.39,3523.23,0.111661
1.71178e+06,1.18163e+06,869195,653953,473940,345850,822217,546988,717331,5020.66,-431.713,11010.7,51097.9,27383.4,13302.3,4979.75,0.14071
1.37589e+06,954120,865232,599266,394966,291337,813421,507143,708991,5026.81,-1793.54,18627.6,60519,31795.3,14764.5,4290.62,0.151338
1.91814e+06,1.34542e+06,855407,645470,451511,327306,827686,527097,734745,5579.1,-1812.94,9393.89,74668.1,30847.3,17567.8,4313.57,0.158706
1.74039e+06,1.24256e+06,840394,496603,248220,186351,799202,436255,682999,4025.44,-1562.93,5495.19,32921.6,12123.1,11778.7,2719.81,0.15984
1.16073e+06,847352,821899,388642,210681,156472,807867,337150,691636,2574.78,-310.946,165705,21262.4,11054.6,7108.59,7232.5,0.177128
2.00128e+06,1.46789e+06,818023,401461,322907,245045,790649,348577,691028,3878.46,-820.76,18498.9,30239.7,12645,9818.4,3470.08,0.201359
2.04824e+06,1.42458e+06,862669,553369,385692,284990,812012,470024,706393,5848.01,1685.97,7194.88,33712,24145.8,9034.31,5828.27,0.20561
1.92452e+06,1.52559e+06,756893,281098,220872,172338,768972,248892,677638,3178.89,-1401.84,10059.6,23995.3,11763.5,7724.96,2992.6,0.244861
2.13803e+06,1.58604e+06,808817,358463,245179,189852,774853,319394,673394,3893.05,40.9405,23989.4,26470.1,12675,7988.15,3413.29,0.248687
1.78936e+06,1.31735e+06,814980,496398,323835,238546,814522,422188,705465,4854.25,-573.493,21836.4,34431.6,18528.5,9310.34,4167.73,0.249679
1.84638e+06,1.37385e+06,806368,330289,245422,182711,805934,276492,716741,4718.51,-1366.09,200800,28428.7,15147.7,7376.17,3566.61,0.256481
2.05471e+06,1.55498e+06,792824,382336,264551,202311,784587,329325,696581,4620.26,-583.085,11061.9,28081.8,15059.5,8637.45,2495.96,0.272352
1.29638e+06,898910,865304,413505,262956,197416,799194,366793,676411,2473.04,-771.244,169859,25122.4,11510.1,10622.9,3154.72,0.283971
2.52391e+06,1.58955e+06,952691,874548,676438,437248,928221,642564,816618,11236.9,161.149,45905.9,78044,70918.8,19363.5,11668.6,0.298141
1.47011e+06,1.09258e+06,807323,389659,208352,160452,779120,337495,692738,3316.65,-2203.92,8453.7,34375,21937.1,10869.6,2448.4,0.303384
1.28823e+06,861063,897656,557307,376127,256298,880523,445217,751058,3630.21,-1340.86,8341.44,27681.1,20764,10646,4936.74,0.308911
1.10655e+06,778623,852700,384011,246453,190232,777323,334740,688316,2842.68,-809.244,9377.64,24239,10901.3,7576.91,2888.93,0.314721
1.7456e+06,1.11698e+06,937673,730851,554136,374803,887083,564948,776196,6733.77,481.838,20562,54186.9,24818.2,18769.4,6536.99,0.326057
1.1981e+06,758173,948150,656134,443307,302312,879834,522908,752868,5300.75,-1947.93,30745.2,52794.6,41253.8,14346.2,4632.86,0.335692
1.2193e+06,874118,836938,470593,333491,244161,819519,395752,713466,3995.58,-372.06,9255.48,32511.6,20323.3,9206.09,3627.23,0.335834
2.00777e+06,1.59403e+06,755733,286563,186124,142800,782036,245793,699524,3358.98,-1079.71,42560.9,23019.8,9662.77,9497.55,2910.16,0.33881
2.08037e+06,1.50952e+06,826902,369470,286341,209793,818923,306080,724262,5722.16,-319.369,23546,21854,11910.4,8086.1,3597.84,0.34547
1.57328e+06,1.19631e+06,789066,453556,282322,209070,810222,394022,690656,3787.98,-1565.88,10221.3,38886.7,24468.5,9002.58,2704.92,0.365875
1.91074e+06,1.43667e+06,797988,315663,243416,190958,764826,280269,675771,3535.85,-575.168,166125,35404.3,10204.3,6417.05,2149.29,0.371685
1.35718e+06,971708,838019,464082,291742,215076,813876,382783,727433,3242.38,-487.107,42570.8,27358.5,13373.7,9263,3384.11,0.381604
2.01019e+06,1.28492e+06,938665,782698,542371,378997,858642,624631,751834,7400.13,-1441.23,8133.28,72842.3,30637.3,20615.1,7111.92,0.384155
1.52558e+06,986187,928172,885704,584922,385197,911100,679571,781997,6872.41,-3315.4,1585.54,79366.4,75329.2,18348.4,7174.24,0.38628
965931,689011,841146,591995,354832,263479,808031,481493,737699,3987.06,40.191,41089.3,32836.4,27436.7,11263.8,3730.68,0.401301
1.72679e+06,1.31686e+06,786772,354405,238506,193498,739562,315859,673220,2587.24,-383.213,38992,19816.4,8750.18,8452.67,2645.28,0.406827
1.85534e+06,1.32296e+06,841446,645775,394706,286432,826806,524528,738693,6727.83,-458.962,10150.6,41953.4,26272.3,14204.3,4808.23,0.407677
2.32069e+06,1.53273e+06,908450,610638,381392,257370,889130,494643,740701,6987.37,19.9855,38104.9,46797.4,17346.4,18676,7709.38,0.412353
1.80704e+06,1.3681e+06,792508,470025,282822,211661,801723,415565,678630,3711.67,-989.074,17255.5,25977.6,11209.1,10355,2445.73,0.429499
987492,645643,917682,630733,372567,262340,852100,519147,728965,3921.13,-1944.28,17061.5,32502.9,24884.1,11681.4,4154.13,0.438001
2.11573e+06,1.51499e+06,837920,524965,332427,244282,816500,434383,725118,5852.53,-324.688,5777.13,44412.1,22594.5,11186.3,4698.74,0.439135
1.49559e+06,913476,982350,1.09507e+06,685978,479063,859150,810866,810295,8049.26,-951.854,10490.2,67701.1,35101.4,26559.1,9117.19,0.471018
1.91432e+06,1.42519e+06,805920,388242,220322,173089,763730,347407,670525,4988.08,-1237.86,42672.7,44623.4,17583.7,9560.41,3453.27,0.472577
2.2089e+06,1.31128e+06,1.01072e+06,949400,648642,408006,953871,681964,835294,9681.37,-105.572,3097.75,76182.5,33496.9,24771.7,5669.79,0.475553
1.44364e+06,938893,922561,763173,517086,363181,854262,595057,769513,5225.41,-1618.73,8159.82,47418.5,29533,14533.9,5157.43,0.486322
1.4504e+06,1.09762e+06,792839,412827,269474,211122,765834,361814,684596,2623.33,-1212.43,37102.7,26051.2,12356,9045.74,2572.68,0.495958
1.53562e+06,857592,1.07437e+06,1.09729e+06,675054,414004,978330,799812,823160,8396.8,-1986.03,7738,73912.3,59905.7,23302,8692.28,0.4995
1.91136e+06,1.37678e+06,832967,369128,264750,200340,792901,313838,705703,4699.79,-1332.69,22357.6,31388.2,12510.7,9446.29,3840.63,0.510695
2.11536e+06,1.52772e+06,830794,476177,280123,207453,810179,406514,702820,5146.56,-2214.38,4520.46,31701.9,24291.5,7609.75,3134.01,0.510836
1.25805e+06,714735,1.0561e+06,882415,655226,419944,936162,668804,791636,5812.74,-505.631,8254.94,48005.7,35454.1,21652.7,7059.76,0.541302
2.04702e+06,1.64103e+06,748442,254854,166165,134805,739579,226205,675989,3500.46,-1061.07,149314,26229.6,6289.05,7874.77,2998.88,0.546829
2.04504e+06,1.56662e+06,783231,348377,238279,181583,787339,311916,670136,3823.6,-1129.82,9264.09,21098.5,10255.6,6719.82,3359.7,0.562416
2.07717e+06,1.51303e+06,823715,417344,272218,205423,795095,350690,714038,6277.98,-743.814,2864.38,40462.4,18585.4,9493.17,4655.26,0.58523
2.10573e+06,1.21876e+06,1.03666e+06,1.26596e+06,729784,418633,1.04595e+06,860198,883025,10518.7,287.136,36649.8,98472,57386.4,36622.5,13408.2,0.591607
2.00577e+06,1.40615e+06,855856,501527,320470,226755,847972,419866,716695,4834.57,-944.626,20837.7,39289.5,14554.8,11257,4740.74,0.591748
1.71e+06,1.17171e+06,875642,793494,588368,423648,833289,668225,712479,5010.43,-2455.86,7648.57,114181,63824,12823.1,3757.3,0.614846
2.03842e+06,1.41597e+06,863755,545677,404526,286725,846510,449583,728244,7383.93,-2227.18,-163.847,101772,40160.9,11183.5,4880.34,0.632133
1.38505e+06,1.0423e+06,797307,476637,315661,237312,798091,404582,706859,3143.25,-1490.71,64398.8,31419.4,15301.2,12533.7,2145.76,0.640777
1.86113e+06,1.42356e+06,784428,287935,188931,147947,766211,258325,668774,2697.07,-1456.35,73849.9,25392.9,9531.04,7486.1,2363.04,0.64432
1.54989e+06,928450,1.0016e+06,859476,626368,405328,927201,651046,792088,8062.39,-1396.66,10625.9,81125.1,49863.7,20563.3,7540.34,0.662174
2.00757e+06,1.52836e+06,788129,471407,348684,264553,790806,396310,713694,3041.71,-645.497,9818,59004.1,30250.6,8907.36,3074.02,0.666851
1.89323e+06,1.42266e+06,798459,488776,276320,213287,777318,419168,699637,4231.55,133.784,8912.51,39296.4,20218.2,10020.1,3618.87,0.667842
1.88466e+06,1.42331e+06,794481,459668,288000,217613,794071,387883,711041,6276.91,-1626.75,1492.32,53407.4,20589,11053.6,3783.81,0.679604
1.78781e+06,1.2407e+06,864576,688077,399758,268246,894159,535821,770492,6178.06,-229.337,3765.91,34922.8,24203.2,11627.8,5228.06,0.680029
1.57765e+06,975101,970759,1.19659e+06,820084,512235,960595,849168,845477,7580.77,1320.69,4600.32,80187.5,60664,22464.9,6928.31,0.683571
1.59935e+06,1.10956e+06,864851,675670,523755,381819,823042,551392,735234,3774.31,-1060.25,9651.91,49401.8,38071.8,13585,5881.98,0.689523
1.46691e+06,973321,904269,656184,488375,324285,903603,511910,769101,5997.66,-701.062,8489.9,60467.4,33997,15088.5,5799.56,0.705393
1.52289e+06,879435,1.039e+06,876687,541583,336687,965139,627350,838467,7343.68,-89.1315,37113.3,65005,24693.7,25129.1,7333.97,0.716871
831722,499910,998247,706966,469480,308179,914041,535945,791461,5167.71,-2578.8,2503.21,67967.7,50709.9,16221.5,4452.34,0.717013
1.39765e+06,820290,1.02231e+06,614943,422934,274888,923142,467642,788992,6593.77,-1764.59,2257.22,41860.6,31109.2,12104.6,4543.38,0.730191
2.91656e+06,1.87936e+06,931136,778661,570232,369538,925856,599762,778970,9561.49,-799.063,17602.7,75377,28237.3,23081.8,8082.13,0.77341
1.19143e+06,632614,1.13001e+06,1.03174e+06,701449,422855,995304,695760,889738,4051.88,-950.774,50824.1,66160.6,45819.6,26605.8,7335.98,0.778937
1.92955e+06,1.43666e+06,805848,421919,292156,220107,796403,358730,705688,3917.41,-878.16,176717,27023.7,8107.28,5946.29,2713.49,0.796791
2.23927e+06,1.56964e+06,855966,431352,333059,240000,832647,354217,730656,4709.23,655.52,24344.3,32690.5,14833.8,10474.9,4717.75,0.801893
1.65095e+06,1.1625e+06,852106,482921,386127,276234,838695,389131,744615,5162.78,-1450.52,3755.06,65583.9,24444.2,12034.2,4428.39,0.820739
1.44309e+06,987551,876766,437099,333388,249665,801206,365818,716912,6375.61,-3175.92,915.351,58232.6,38875.6,10973.8,4590.46,0.827541
1.24118e+06,895534,831579,451505,312780,234280,801041,378050,716580,3626.72,-2488.16,31320.6,60864.9,29433.9,12047.8,3817.65,0.83831
1.77288e+06,1.12578e+06,944882,1.00425e+06,767710,495792,929071,754085,799050,10261.2,-1577.26,2404.21,75037.1,55545.5,20773.8,7726.26,0.841428
1.74175e+06,1.19493e+06,874570,591821,418395,312131,804268,508865,697813,5468.49,-1383.56,7509.25,57613.3,24084.2,11573.7,4561.3,0.84242
1.79256e+06,1.28018e+06,840145,493596,259182,195294,796282,421405,702786,4361.12,-631.025,6972.01,34067,25516.6,9778.64,4601.51,0.886489
1.3509e+06,957145,846828,488807,346111,241093,861354,399333,734436,3538.27,-1588.89,35346.5,35744.7,18286.8,10678.1,3958.42,0.887339
964019,647874,892784,520445,386367,274724,843829,422528,739045,3263.13,-2407.67,2918.02,58003.9,37263.2,16328.3,4903.96,0.89655
1.19725e+06,881449,814962,478217,284949,219876,777572,418815,685101,4621.53,-897.602,4810.74,48867.7,18361.2,10799.2,3290.98,0.8974
1.83862e+06,1.30427e+06,845816,458661,293594,211856,831492,385519,713834,4948.51,-1034.49,57603.9,36989,14879.3,9058.24,4071.9,0.901651
1.80486e+06,1.36553e+06,793038,438968,319335,252151,759865,390990,673625,3548.05,255.808,39749.3,20811.3,12432.8,8502.15,2829.47,0.916105
1.69097e+06,1.20185e+06,844182,502018,330571,258425,767506,437232,688904,3322.28,-81.0659,22623.9,28386.7,13429.8,11670,4020.63,0.91823
2.36287e+06,1.4324e+06,989756,853966,643992,454817,849562,660892,775285,6911.73,-1073.13,10779.6,69489.4,35368.8,20338.2,8331.04,0.945579
2.03974e+06,1.44371e+06,847707,458398,347724,251359,830025,378457,726738,5035.98,-419.235,4083.71,70951.2,28652.2,11567.5,4002.94,0.948413
2.1479e+06,1.58059e+06,815354,500728,282661,212969,796344,426783,703956,5994.18,-136.041,8835.43,33154,26344.1,10862.1,4188.89,0.953231
1.04549e+06,654803,957990,558512,390136,277558,843361,453327,739217,5277.91,-907.163,12196.5,51665.4,18687.8,12838.6,5125.67,0.971368
1.67329e+06,1.12049e+06,896012,773418,537682,356565,904769,597847,776203,6215.3,-1945.27,3743.44,82528.2,45116.4,14449.3,4217.79,0.975336
1.48272e+06,1.03821e+06,856896,482196,263553,187257,844464,401450,720682,4811.48,-1523.48,9349.57,45558.9,24813.8,11579.6,3223.38,0.976045
2.0891e+06,1.32606e+06,945247,769353,562299,360732,935263,556491,829505,9340.53,-2500.32,2197.29,66632,37426.8,17594.8,6396.08,0.978879
2.45606e+06,1.51556e+06,972342,927575,705377,467585,905133,670120,830515,12652,-960.231,1955.94,92172,51897.1,24311.3,7820.29,0.980437
1.29565e+06,855375,908829,613005,409894,293396,838241,508196,723742,3387.59,-590.343,6936.88,31590.5,17004.9,10476.7,8023.84,0.981288
1.03867e+06,648970,960297,516509,371762,249822,892863,403500,768043,4168.22,-2057.36,9134.43,32680,36266.5,13142.8,5549.09,0.997867
2.05033e+06,1.52478e+06,806802,377241,273529,202560,810217,324600,697303,3983.11,-1560.26,10204.5,38803.5,17980.8,9907.75,3592.92,1.00708
1.76913e+06,1.32135e+06,803326,407630,263232,198359,796230,334025,732215,4445.09,-1403.95,18354.7,32541.1,14645.8,11519.3,4660.42,1.01827
2.0087e+06,1.49898e+06,804028,390056,270687,204002,796132,331108,706819,4358.2,-1507.93,3991.83,28963.9,13572.7,10155.8,3359.83,1.02196
1.3129e+06,937952,839849,481063,335569,242597,829941,398364,724558,2316.98,-1712.72,90809.2,33209.4,17337.5,13694.4,3453.91,1.0493
2.9136e+06,1.65539e+06,1.05604e+06,1.24728e+06,849441,523944,972747,900730,830846,11649.7,-970.183,13973.5,152547,69435.4,27046,11572.6,1.05596
2.27938e+06,1.66147e+06,823146,394448,294576,222194,795455,339496,697118,3346.39,315.646,27992.8,25763.4,15009.2,9274.17,3751.17,1.06007
1.58031e+06,1.10667e+06,856794,535407,385372,288002,802853,462131,695136,5622.11,-615.03,2432.09,58185.1,25027.7,14365.6,3605.64,1.06248
2.01425e+06,1.38231e+06,874295,607480,452646,318186,853549,480445,758646,6624.28,-995.734,616.107,47926.7,26332.8,12850.2,4737.49,1.06262
1.80044e+06,1.14925e+06,939971,599690,392303,274943,856112,488065,737225,4618.19,-1800.59,4734.66,46167,38565.4,12040,4469.15,1.08232
1.95889e+06,1.52064e+06,772918,373585,230349,178744,773227,326294,686961,2870.63,-1428.98,19840.8,38628,16478.5,8880.37,2666.97,1.09054
1.43139e+06,962366,892422,445733,325439,233599,835891,374126,714839,3588.85,-765.78,6787.15,26332,14333.4,7466.93,3167.69,1.09904
2.17861e+06,1.6822e+06,777059,298105,179503,142414,756257,265328,674121,4969.61,-958.875,52115.6,29397.7,8918.82,9460.28,3495.42,1.13135
2.57215e+06,1.67078e+06,923696,863176,517434,351735,882655,679402,762296,8225.1,-1011.64,15531.7,60156.5,33178.2,16706.2,10951.4,1.15884
2.25288e+06,1.60663e+06,841347,510068,405451,285883,850945,403556,758360,3831.13,-2243.48,19785.8,79146.4,37424.8,14254,5325.23,1.16068
1.75612e+06,1.39638e+06,754575,284285,170428,134590,759767,257163,663280,2714.28,9.42499,9053,21035.2,8156.42,6460.44,3198.11,1.16451
