FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.83E+06,1.34E+06,822379,485043,345223,255239,811528,401092,725584,-1153.4,3854.88,81873.2,23126.4,5270.23,13271.1,4450.82,0
1.96E+06,1.46E+06,805027,436808,270268,211787,765679,366799,714519,-791.528,2156.08,41390.3,15197.4,5292.65,9078.11,2322.59,0.00781634
2.05E+06,1.53E+06,804967,415427,310492,238590,780817,342904,726898,51.3488,153558,26148.1,11903.2,3278.73,7597.9,3172.96,0.0100902
2.27E+06,1.34E+06,1.01E+06,1.20E+06,879723,572900,921337,888320,810117,907.566,4018.41,74679.8,38860.6,10629.1,27224.6,7084.11,0.0284231
2.02E+06,1.41E+06,856910,529312,347810,254667,819446,446918,710616,-1914.24,2148.19,59244.4,32198.6,6723.11,16160.5,3417.59,0.0450505
1.19E+06,738702,963369,672337,423470,289024,879102,519944,775857,-2659.05,26560.7,66518.6,37559.9,3819.07,18794.3,5286.79,0.0487455
2.09E+06,1.61E+06,779527,313947,212186,157642,807600,274150,687099,-2805.29,10411.4,36447.2,17578,4501.32,12439.1,3764.88,0.083848
1.90E+06,1.32E+06,861217,564825,339830,233951,871542,453495,747296,-1464.31,3764.88,59526.2,22645.5,4141.53,17566.4,3071.24,0.0847007
1.61E+06,1.24E+06,778308,450680,281740,220373,767082,388294,696400,-1204.37,68092.6,28581.8,14408,3073.13,7859.59,2448.69,0.0923749
1.78E+06,1.14E+06,939368,988052,683902,464784,882864,755513,784674,-1943.87,2756.54,74215.3,39296.1,8013.85,23714,6377.1,0.120656
1.22E+06,776258,944908,693772,465125,320208,871544,549704,757250,-2045.21,4333.18,73449.8,39738.3,5005.6,11385.6,4208.39,0.132594
1.13E+06,740875,914427,723400,597419,448743,798790,590748,734729,-1668.85,3821.94,51478.9,26601.6,4261.72,13431.7,4360.46,0.155474
1.68E+06,1.16E+06,866106,525783,343214,242360,849681,443702,710995,-18.1979,22635,52467.8,13292.3,3634.08,13811.3,4893.1,0.193561
1.40E+06,966517,871235,563011,425648,305006,837324,463353,729048,-1553.63,3948.18,37458.7,27435.4,4552.79,14544.3,6209.79,0.194556
1.95E+06,1.47E+06,798608,461109,342758,274494,749214,409506,675608,-707.075,22874.2,26397.9,11129,4045.04,8476.63,2948.13,0.202656
1.04E+06,649445,958150,624922,470033,321605,876914,491827,762368,-1434.58,25488.9,39223.7,17347.4,4008.54,14794.7,6109.35,0.20692
1.05E+06,699195,899926,507002,290463,206375,844473,430801,706130,-2036.65,4458.98,27451.2,14278.9,2921.09,12273.3,3407.22,0.212036
2.63E+06,1.66E+06,953453,776072,570365,362957,942864,552013,843536,-2279.56,475496,174156,69700.3,12993,15936.3,6846.85,0.22909
2.20E+06,1.64E+06,801323,422951,292454,215321,814934,353696,717482,-1412.06,40515.6,34743.8,16024.2,3809.47,9969.98,1828.38,0.234917
2.07E+06,1.64E+06,758459,369500,226595,177475,766063,325314,681495,-358.427,197692,25791.7,10724.5,4578.4,8595.38,2003.45,0.240459
2.06E+06,1.59E+06,777242,417827,273243,209363,783070,354497,707189,645.183,749457,26099.4,17927.6,2967.43,6332.59,4015.59,0.299437
