FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.21E+06,1.49E+06,887177,670297,524283,373529,842156,536005,750326,-1131.71,4083.3,37368.3,20165.8,6109.91,15049.5,6154.33,0.00150348
2.10E+06,1.56E+06,810483,317953,214753,166897,772046,287112,664451,-1323.62,20791.4,25548.3,8425.95,3466.56,8304.07,2876.7,0.0041004
2.19E+06,1.67E+06,788670,397391,295448,226721,781880,335461,710767,-756.286,2314.47,34266.7,13507.7,5422.09,9058.74,4801.68,0.00587725
2.12E+06,1.31E+06,971605,693341,543420,364056,895609,534258,778659,35.7267,16373.9,49620.7,20595.8,6483.13,17324.6,9597.31,0.026926
1.81E+06,1.26E+06,859360,540341,323353,243728,796018,448058,723578,-887.698,2045.57,31930.9,19668.7,3813.55,7946.21,3698.11,0.0271993
2.31E+06,1.47E+06,942348,734617,556754,376103,888194,551029,799904,-562.176,5707.45,63005.6,23534.7,8494.37,16961.7,13095.3,0.0297963
2.12E+06,1.53E+06,833952,464864,396502,299474,794398,394182,707589,-2314.68,8846.81,75112.8,15334.1,4190.6,11984.6,4188.58,0.0431909
2.04E+06,1.47E+06,829198,516808,328642,241355,816992,429525,721925,-330.964,1971.49,38942,15174.4,4517.36,8219.01,5264.13,0.0583624
2.04E+06,1.45E+06,841812,510400,326183,237923,822576,424580,721277,-651.899,3282.98,62521.4,19872.2,3851.31,11083.9,4082.36,0.0597292
2.30E+06,1.71E+06,809472,312500,207430,157585,789782,276684,677669,-1729.6,11375.1,22712.2,9126.76,3525.96,6491.75,4345.05,0.0612327
1.44E+06,1.02E+06,846356,573349,410194,312750,786943,493208,697494,-1778.25,8365.13,47815.7,14757,3128.98,13988.3,5116.76,0.0749007
2.23E+06,1.64E+06,814581,550783,331022,240044,827403,442213,747309,-211.326,2934.1,65358,20587.5,5660.44,10947.2,4387.91,0.0788644
2.16E+06,1.54E+06,839248,419756,301317,221122,817603,361610,696478,-826.35,8597.56,31160.3,11479.8,4309.79,10135.5,3786.45,0.0928058
1.67E+06,1.21E+06,829034,473333,365685,267077,821528,390165,727897,-1742.22,2240.62,49946.9,21009.7,5030.06,12344.7,5885.45,0.104287
2.07E+06,1.35E+06,918525,714278,454729,312982,871735,554480,772916,-1743.16,4276.62,79425.8,35346.8,7388.28,22835.1,11153,0.113171
1.96E+06,1.42E+06,824851,504440,280923,211454,797119,439723,688306,713.499,4019.63,23305.9,9549,3062.02,6834.91,3280.23,0.131213
879643,559570,943199,495917,352438,239518,882868,388733,765435,-343.015,3339.58,62590.5,28465.8,4156.74,9717.64,5160.93,0.140371
1.76E+06,1.07E+06,983100,1.01E+06,728377,474531,920964,779852,776021,1009.91,8364.52,54001.9,29708.7,6945.42,21053.4,9821.16,0.154039
1.94E+06,1.40E+06,829272,444175,331475,256017,776843,384857,692479,-1365.86,2629.43,40226.4,17956.8,4846.67,8453.44,3538.64,0.163469
2.02E+06,1.46E+06,832548,402346,277978,204638,815033,346664,696373,-1474.64,4776.91,54057.7,21419.6,3631.74,10029.4,4896.46,0.173584
2.02E+06,1.43E+06,849870,471496,332022,238998,833534,386258,732405,62.9279,2175.21,33653.1,15855.5,4084.51,10455.8,5105.8,0.176044
1.32E+06,916707,863242,397131,272958,205980,795102,339191,702491,-1755.06,18123.6,32865.6,27170.8,2947.4,9909.42,3908.25,0.176181
2.07E+06,1.56E+06,796789,404901,296158,237517,748135,359611,675565,-1561.8,19714.2,28069.1,12540.6,4410,8949.68,3755.84,0.177821
1.52E+06,1.11E+06,821304,509893,295252,209721,844700,420649,727294,-1158.48,20630.9,52582,13996.8,2795.62,10465.4,3367.63,0.180691
1.95E+06,1.39E+06,843298,650324,478573,364911,786888,543435,718015,-2228.15,1893.93,85391.2,25380.5,5600.29,11533.1,4396.08,0.206934
2.44E+06,1.77E+06,824232,465604,350731,266516,789591,394637,707897,-1385.27,692.235,38328.7,13157.7,5076.21,12421.9,3633.23,0.207207
