"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.30157e+06,1.75454e+06,787066,365303,242004,181302,800888,307398,713024,4004.73,-1467.67,22347.1,28276.5,9804.01,8360.49,4044.45,0.00154311
1.38699e+06,968863,858936,498570,348537,266146,785742,437135,684324,2904.87,-898.096,19305.3,25982,12947.2,9416.52,4001.48,0.00462932
2.91304e+06,2.00036e+06,873754,589492,422292,295302,858020,473383,747165,3862.06,91.8735,86996.6,51955.5,15214,17319.4,5212.55,0.00911836
2.0121e+06,1.41971e+06,850360,515955,361417,274009,791398,452685,683860,4045.14,-1156.3,2410.66,19623.3,10795.2,8283.53,3740.57,0.0231466
1.58591e+06,1.12533e+06,845567,679204,447146,330519,811716,553282,736555,4825.81,-2066.35,18874.6,63862.6,45347.7,16454.7,5125.83,0.031283
1.44477e+06,874926,990784,1.02833e+06,736429,499569,884477,802373,768964,9556.67,-2218.93,9169.31,54955.6,46994.8,16012,10065.6,0.0568144
1.97248e+06,1.38781e+06,852775,453385,312102,226127,828125,368108,738998,4822.2,-2592.54,1232.98,53755.8,18776.5,13575.6,4580.87,0.0673356
1.95021e+06,1.41983e+06,824129,613350,425344,316190,807130,522019,704974,6003.66,-463.264,1264.65,97561.6,25343.1,9043.16,5233.3,0.0785582
1.03323e+06,669705,925689,474815,341885,243201,843462,377247,755180,3760.31,-759.153,7255.85,46369.3,16987.3,12769.9,4554.23,0.080943
1.79403e+06,1.21932e+06,882804,581379,295750,214028,829096,477448,730608,4103.17,-1021.69,8845.61,37451.2,23621.9,15646.3,3883.81,0.0843098
1.74841e+06,1.05259e+06,996636,1.19191e+06,818334,542974,904280,901762,793052,8272.28,-362.406,3805.85,105015,54345.6,27343,8360.23,0.0861334
1.43337e+06,1.00924e+06,852142,446008,319635,236885,809596,384516,695952,3094.84,-758.708,8273.64,35830.6,12000.5,12030,4693.12,0.0885182
2.31366e+06,1.69148e+06,820699,368177,252665,191455,791825,325802,678038,3481.77,-1162.84,4764.49,30466.6,10834.5,7330.72,3771.17,0.093849
1.19363e+06,793984,902004,600587,382479,268241,855528,491015,733892,3368.02,-2125.45,143058,77098,46011.4,14229,6768.39,0.0958129
2.37775e+06,1.40725e+06,1.01378e+06,1.1624e+06,775976,520683,894183,886921,786361,5624.99,160.045,2542.18,121424,32177.2,21101.7,9418.04,0.103388
2.64765e+06,1.75674e+06,904283,965275,654938,430591,912613,758044,764026,6912.96,418.691,9640.7,61355.3,32076.2,31011.4,9806.29,0.104791
