FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.11E+06,1.56E+06,812013,355400,234639,176926,795718,319234,667974,-906.78,3052.87,41119.2,10326.3,2923.33,8054.39,2870.43,0
1.33E+06,860671,929982,1.01E+06,583499,402749,869275,754905,801862,-529.509,3171.31,79028.4,32939.2,4473.36,16868.6,6503.6,0.00393208
1.84E+06,1.38E+06,798849,372784,299401,223368,804236,319232,700652,-324.14,16465.8,21919,7531.8,2823.48,5234.97,7879.09,0.00758329
610951,354446,1.03E+06,425825,303468,214238,849901,342044,746966,-1124.11,2262.98,88288.2,20631.9,3332.97,12119.2,2869.84,0.0196604
2.13E+06,1.55E+06,822213,436578,307825,240561,767768,374867,698772,-1016.63,8224.35,25876.6,8876.02,3667.05,9539.09,3843.12,0.0207838
1.68E+06,1.27E+06,794809,384095,261827,205937,762836,352216,654306,-1416.72,9191.76,19301.1,7517.11,2793.96,7025.81,2797.29,0.0247159
1.93E+06,1.49E+06,775130,396892,274450,222410,740390,360343,660858,-1013.77,15855.5,25639.2,9669.06,2685.79,8456.13,1697.51,0.0264011
1.57E+06,1.08E+06,873336,582346,411808,301883,818479,481104,726262,-1958.71,-187.272,44301.7,18534.5,3804.49,11479,3576.73,0.0362313
1.59E+06,1.16E+06,824259,430854,269555,211751,763788,387489,667148,-902.576,13799.4,34758.5,16984.4,2388.38,7566.91,2859.85,0.0394612
1.72E+06,1.14E+06,901273,593536,448332,312147,861770,467282,762113,-1434.04,3189.61,84121.2,22257.2,4632.01,11522.9,4806.39,0.0431124
1.96E+06,1.47E+06,797699,441996,307465,240910,765759,394683,671925,-1429.83,6304.07,47020.4,14627.4,3170.94,9250.38,2939.03,0.0544873
1.83E+06,1.42E+06,773737,403781,243306,196869,741526,367254,659676,-1276.79,24860.7,26248.7,7828.75,3424.1,7348.37,2895.03,0.0549086
1.97E+06,1.52E+06,781572,307951,202401,162218,748624,272342,678451,-574.15,14090.4,29955,9519.86,2936.92,8353.77,3289.76,0.0554704
1.94E+06,1.41E+06,823678,438141,299573,217373,826892,365498,719251,-764.383,19881.5,33081,9896.11,3774.12,9537.53,3416.65,0.0655814
1.91E+06,1.40E+06,819346,452550,344904,268749,770020,406654,667717,-1231.57,2989.1,41605.1,12131.6,2832.7,9143.7,3245.35,0.0866461
1.96E+06,1.53E+06,768052,278158,184441,143013,773809,239717,696215,-873.852,38431.5,20832.4,5612.55,3281.6,6573.08,2592.83,0.0870674
1.71E+06,1.23E+06,833209,586809,280969,213109,791056,502196,701091,-1684.19,1137.41,107909,27783.4,4132.42,8680.96,2837.86,0.0874887
1.47E+06,1.08E+06,819170,412795,289945,218074,797742,359592,688773,-1525.6,42450.8,50036.1,14218.9,3449.8,6686.65,3259.05,0.0907186
1.91E+06,1.35E+06,848442,524313,404141,292066,830240,440851,713592,-1630.72,678.577,57901,13884.4,4333.46,11486,3253.69,0.0978806
1.99E+06,1.47E+06,810153,415578,283949,219824,775028,373392,667788,-1676.37,874.542,60617.9,13781.6,3071.71,8036.81,2571.2,0.0978806
1.89E+06,1.43E+06,792001,393508,255245,201370,760526,361790,652602,-1675.14,2882.28,39168.8,7896.27,2950.68,6947.88,2106.21,0.114592
1.93E+06,1.36E+06,854810,612500,414974,297055,838176,497331,738944,-410.647,6043.55,47399.8,12236.7,3886.08,11603.2,2784.69,0.114873
1.46E+06,1.06E+06,824570,367994,245884,185449,795531,326934,675354,-1489.03,8070.78,16952.3,7628.25,2455.35,5422.64,2896.87,0.115715
1.23E+06,728083,1.01E+06,704420,463543,305923,909136,542927,778469,-1570.3,31982.1,73331.8,23345,3811.47,19096.9,5437.5,0.122035
1.75E+06,1.30E+06,807521,525857,319762,238851,803251,446260,707018,-1546.27,3635.33,52056.8,18466.6,3713.61,8837.81,2539.59,0.139027
1.55E+06,1.16E+06,803174,433640,211556,157372,806583,366394,710120,-482.947,3381.48,29953.9,11577.5,2963.38,7632.1,2690.54,0.140993
2.05E+06,1.63E+06,754839,269437,171154,131323,781982,231035,699731,-1275.47,1425.09,35135.1,10761.5,2829.28,5915.41,2542.6,0.142257
1.30E+06,909459,856590,600361,384894,282857,816442,526478,684201,-898.349,24992.2,22730.2,11200.9,2947.87,9200.53,2509.51,0.151947
1.44E+06,1.06E+06,818725,342562,187409,142851,787153,300374,684270,-1101.31,4190.93,28949.5,9535.94,3006.5,6647.35,2674.52,0.152228
1.50E+06,1.06E+06,845557,348455,255066,191610,798703,300421,695934,-749.814,121367,40519,11003.2,3476.44,8116.15,3423.6,0.156019
951423,648640,880078,463579,320738,238752,806037,388088,716712,-1440.65,8972.73,45108.1,17461.4,3375.64,7890.63,4066.81,0.15616
941095,609700,926123,372682,256300,190754,806169,327833,682083,-915.443,7285.26,24831.2,11223.4,3234.38,6941.93,2249.22,0.158266
2.09E+06,1.56E+06,805085,430489,295944,213372,832192,364222,709164,-1238.42,17384.2,24428.7,8652.61,3090.64,9130.69,2671.62,0.158266
2.01E+06,1.50E+06,801448,349582,261576,206455,760192,306604,684105,-56.8887,10220.8,23922.9,8227.2,2880.21,7391.6,2370.22,0.164866
1.69E+06,1.24E+06,819092,398058,297176,225078,792195,349526,683310,125.783,39272.4,22983.8,5598.48,2640.05,7015.51,5649.2,0.165147
1.26E+06,849633,887687,387369,245532,175756,838203,323497,718466,-1152.25,12919,20255.3,12291.4,2415.32,6975.51,3199.65,0.168798
1.13E+06,825360,818169,370278,201388,159223,758889,334327,664520,-209.95,73992.6,15715.3,3352.13,1924.11,5582.19,1715.94,0.169501
1.42E+06,1.03E+06,829539,437531,305592,232057,790129,386958,678416,-1620.64,3621.7,32535.8,14282,2860.46,9172.11,3104.29,0.175539
1.08E+06,789634,822888,305294,181052,145376,747243,278141,658573,-1497.68,31995.1,35519.5,11085,2129.79,7657.18,2156.4,0.176522
1.68E+06,1.14E+06,884280,578407,419349,296194,849475,468640,740534,-2112.71,4823.63,48808.4,27448.1,3444.13,12508.7,3083.71,0.190425
1.08E+06,709310,910175,520622,404881,306198,793371,431611,723737,-1256.77,3514.62,32727.3,21064.7,2629.58,11289.7,3991.67,0.191127
1.85E+06,1.44E+06,772211,322973,234942,187711,750968,294648,657678,-946.33,3487.25,37241.7,10596.5,2931.12,7278.04,2475.5,0.196183
1.97E+06,1.45E+06,817170,541671,397603,302326,789088,466055,697348,-2471.27,17483.4,105980,24819.8,2711.35,9804.94,2413.76,0.199974
1.81E+06,1.33E+06,817055,435254,315320,232890,812367,368590,708518,-671.654,9587.33,23761.9,10453.3,2871.21,7591.45,3243.96,0.200395
1.80E+06,1.38E+06,783489,311019,181602,127514,854503,252602,738757,53.3156,31634.8,43152.7,8461.16,2031.03,5181.21,3860.42,0.219775
1.65E+06,1.23E+06,804975,478722,375571,299131,753324,435339,659792,-482.719,18258.1,26857.4,9405.54,3099.29,8481.72,3064.9,0.222303
2.04E+06,1.48E+06,826829,487213,258944,192960,805173,428909,681562,-1088.07,7869.32,20055.2,9999.47,3533.47,9015.17,2615.01,0.227358
1.86E+06,1.25E+06,889920,673198,434621,297340,877018,533181,757564,-1162.03,-320.3,85706.4,25784.3,3962.94,8527.93,3159.83,0.230869
1.90E+06,1.37E+06,834084,435586,295372,220249,804649,374169,698485,-1738.51,6630.56,42432.4,12621.7,3505.11,8997.89,2956.99,0.2473
1.40E+06,917286,913216,956624,672735,493702,817581,804597,713369,-1242.1,723.692,109565,25186.3,3549.07,17764.8,3724.1,0.248563
