"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.00788e+06,722017,837552,374760,184109,139321,792885,327491,686602,2477.4,-493.428,1106.54,36166.7,11957,7341.35,2215.21,0
1.94292e+06,1.41692e+06,822736,414642,284615,210149,812610,351796,707186,3661.92,-1668.74,3847.31,60091.9,11983.9,10866.6,2714.57,0.0185419
884977,606547,875425,304196,214213,163478,786207,260781,699887,3166.64,-915.185,2.65958,42529.2,12033.5,8157.72,2893.4,0.0268786
1.06871e+06,709651,903580,730898,443030,284934,932912,566334,774347,3822.5,-2029.06,720.536,104347,34705.7,9609.28,3429.34,0.0412522
1.73672e+06,1.32495e+06,786467,409137,266776,204054,784428,358696,684373,2503.26,7.87,41930.6,40892.6,7348.75,7379.01,2916.85,0.0434082
1.61370e+06,1.20632e+06,802628,372019,212153,162374,783942,314208,710393,2223.24,-277.617,48439.8,48910.9,10185.8,8732.04,4585.44,0.0447019
2.1034e+06,1.54843e+06,815047,380738,272360,204137,800522,329826,692616,3701.93,-664.594,3976.32,44630.4,8013.76,7031.81,2691.37,0.0485827
1.51269e+06,1.12219e+06,808787,535080,315827,245794,770955,467067,687371,3512.62,-1434.03,1615.97,23114.2,13368.4,11133.3,3976.34,0.0498763
1.53442e+06,1.08723e+06,846786,582027,402955,295180,819070,497743,701600,3574.11,-1288.28,2435.65,48208.5,23143.2,16116.8,4078.71,0.0501638
1.30691e+06,878216,892887,477214,352456,252707,836834,379663,754164,2936.96,-1026.61,7802.39,44491.2,15229.8,9298.85,3264.86,0.0590754
2.20201e+06,1.61494e+06,818114,434437,325148,237199,822469,358396,727302,3585.62,-841.218,188.061,51656.3,10676.8,9991.18,3270.84,0.0760363
1.35487e+06,1.01361e+06,802009,277491,199836,151417,791862,244202,681791,2702.1,-1238.24,22872.5,27573.7,9708.75,6227.35,2685.66,0.0768987
1.98414e+06,1.34308e+06,886383,537616,356087,241803,883580,428476,752830,4594.43,98.2129,1430.11,64316,21977.6,15748.9,5564.14,0.081642
1.78759e+06,1.2106e+06,885970,485484,294244,205673,858384,400855,726672,4647.33,797.965,289.841,25368.9,11486.1,9665.19,3669.38,0.0842292
1.99222e+06,1.49632e+06,798850,573109,408630,314891,778613,500649,686839,4190.3,-1439.59,-151.042,68123.9,12308.5,13554.3,2317.33,0.0896912
1.7056e+06,1.23562e+06,828216,390950,212980,159888,799234,342169,685539,2400.79,-439.476,8767.69,26328.8,9348.04,6875.55,2244.04,0.106508
1.88623e+06,1.29308e+06,875228,628356,397592,271050,880116,479333,786538,4321.65,-617.276,2862.91,42694.3,26401.3,12752.8,4483.54,0.121457
1.32957e+06,917461,869509,394125,270412,194801,832888,338326,698955,2276.96,626.927,3823.3,37980.7,19656.4,7932.17,3035.77,0.133674
1.2002e+06,800302,899810,519826,427077,295481,867218,396148,787321,3951.61,-1108.6,2053.92,75451.6,19673.8,14373.2,5292.8,0.14043
