FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.71E+06,1.26E+06,812263,407956,281845,217723,776706,368273,664652,-646.761,15317.4,25517.6,4738.29,1899.71,6848.73,2561.2,0
2.01E+06,1.54E+06,783896,334858,257013,200967,767329,296821,676888,-2188.51,1329.24,42169,10559,3228.63,7591.27,2347.86,0.00995435
2.28E+06,1.46E+06,937834,732065,525127,343788,916484,556090,789870,-1183.33,75556.9,74339.8,13515.1,5754.16,19999.4,6016.8,0.0147151
1.84E+06,1.37E+06,805919,395444,290751,224781,776091,350831,676299,-2349.84,7022.76,41253.1,13038.4,4027.2,8021.47,2208,0.0186103
1.57E+06,1.14E+06,824092,415282,263425,196535,804208,367514,677986,-522.877,30381.7,34911.5,11476.8,2641.44,8331.3,1826.74,0.0246695
2.21E+06,1.61E+06,824621,513733,409320,313688,782918,440813,699252,-1806.25,2300.87,58355,9880.41,4586.25,9296.48,3411.52,0.0253908
1.43E+06,1.02E+06,836190,562954,388818,309952,752667,512753,658743,-1039.95,94.4671,38074.5,14178,3558.51,8573.16,2871.71,0.0274105
2.96E+06,1.98E+06,896824,522941,387866,258170,901421,400269,783884,-733.937,7166.5,74106.1,9231.38,5258.71,12135.4,5685.65,0.0468864
1.70E+06,1.22E+06,834510,660194,427348,319759,801881,537170,737414,-1703.23,8012.51,47134.7,30193.2,3515.85,11714.1,3472.49,0.0575621
3.13E+06,2.04E+06,921477,912972,660278,529968,747530,830535,659555,-265.535,7962.8,49147.7,21391.2,3264.07,7609.07,6237.29,0.0591491
2.45E+06,1.71E+06,858684,510888,346545,250931,828623,416554,735877,-1558.64,36491.4,91176.9,16824.9,4362.32,14881.2,7400.44,0.0768938
2.75E+06,1.86E+06,885546,956428,672410,473873,851380,767095,748091,-2631.14,8392.47,120471,39975.8,4544.19,16809.2,7234.59,0.0774708
1.13E+06,784502,865714,379427,244684,182956,802435,320926,709372,-1598.98,5646.36,47220.1,10751.3,2977.37,9147.6,2323.04,0.0846841
2.07E+06,1.41E+06,879581,646426,459099,332885,827491,525767,737694,-2619.29,8668.09,129108,30732.3,3983.09,20039.6,4325.91,0.0887236
1.81E+06,1.38E+06,790083,335874,214524,168459,764071,310658,648702,-1190.86,8343.13,44582.6,9848.39,2013.49,8007.28,4780.68,0.0933401
2.00E+06,1.65E+06,729884,249177,146645,118649,741572,222182,672900,-1205.69,8055.8,19339.2,4644.52,3039.65,6582.64,3800.41,0.10517
2.04E+06,1.55E+06,792596,335493,220201,170568,774592,291962,689458,-945.225,4046.08,20147.1,7581.59,2754.43,9107.92,3755.58,0.111373
1.79E+06,1.44E+06,749151,333680,221263,175905,754714,304924,656583,-1207.63,19703.9,21694.9,5487.56,2039.69,7119.74,2482.29,0.114691
1.09E+06,731960,889391,516474,418460,288192,871212,409402,756920,-2414.02,-1164.93,73993.5,29736.7,3705.67,9714.89,3109.63,0.116855
1.51E+06,953279,951009,747803,565109,392856,863078,595218,753811,219.462,13092.5,98042.1,15093.3,4789.2,16093.8,4591.27,0.117144
1.83E+06,1.31E+06,839521,546971,371839,272618,818374,468454,700566,-1836.83,2197.7,52694.7,13723.5,4690.52,9598.33,2954.96,0.121472
2.03E+06,1.53E+06,795690,314159,234280,181229,775638,279540,674305,-1694.65,13559.2,33675.4,9348.16,3354.27,8964.65,3062.88,0.132148
977141,698067,839869,287232,210232,155497,811199,244332,705348,-1238.97,36704.1,25166.7,6040.02,3353.42,5957.97,2620.25,0.142823
1.88E+06,1.41E+06,802333,310926,217400,162227,804059,272279,685162,-1069.83,498.133,32207.7,8140.23,3324.98,6032.71,2906.91,0.148305
1.48E+06,1.07E+06,829674,344798,233296,178951,782212,305778,676566,-1103.11,126054,42071.8,5871.84,2389.94,8692.21,2824.92,0.153066
