"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.48012e+06,1.17868e+06,753444,316793,213351,169963,753167,279526,679993,2710.44,-1595.59,14828.3,37704.1,5972.59,7005.43,3012.51,0
2.215e+06,1.67896e+06,791562,431205,306326,230248,798251,365889,707108,2937.65,-1096.87,9740.77,30922.4,6943.06,7814.45,3517.28,0.00788496
1.20006e+06,871618,826095,361402,251532,196508,768005,317669,682601,2751.35,-1412.31,66325.9,33048,8160.22,10482.3,2813.28,0.0144796
3.03368e+06,2.12711e+06,855718,591319,399677,287728,833448,488000,727032,4024.86,-743.771,44629.6,40678,8359.35,13690.5,3652.42,0.0235115
1.41927e+06,889377,957481,787380,457255,311372,881110,614745,768494,4034.31,-1401.62,1713.82,65339.3,20619.9,12570.7,4617.1,0.0253752
3.04532e+06,2.01051e+06,908821,811488,539155,370180,873881,631961,770447,4610.81,-1617.99,3008.21,70754.3,23733.3,12037.7,7548.16,0.0302496
1.78058e+06,1.21821e+06,876983,597521,424051,294646,863513,467834,766324,3517.88,-1226.47,12678.5,77742.1,11747.1,14608.6,7331.55,0.0391381
2.43413e+06,1.86458e+06,783274,232687,183216,139816,786244,200217,697304,1503.03,-1142.35,26139,26775.2,5689.55,7385.25,2226.07,0.0597823
2.02896e+06,1.53934e+06,790846,366035,258631,205231,756118,334912,655757,3136.27,-1443.15,10497.2,45466.5,8870.35,6661.35,2608.09,0.0620761
1.91862e+06,1.44963e+06,794114,389586,247529,199194,745593,358261,652462,3529.08,-1675.39,42945.6,65058.6,10800.7,9142.68,2165.52,0.0666637
3.07196e+06,2.06674e+06,891828,646633,521867,369503,847409,510581,759879,3940.48,-1020.51,18210.7,78234.9,13087.2,11991.3,5737.19,0.0775593
1.12829e+06,755732,895784,380370,291394,216829,806334,324147,704069,3047.87,-1924.33,1255.36,34646.5,13220.1,7410.35,3493.41,0.0814301
1.94908e+06,1.38197e+06,846220,436277,287761,216702,796745,384841,680194,4078.51,-1742.8,325.355,43854.7,12723.6,9142.53,2889.46,0.085731
