FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.15E+06,1.22E+06,1.06E+06,1.56E+06,954298,544853,1.05E+06,1.04E+06,903336,-1112.02,19446.1,150386,69722.5,17249.3,53405.1,27165.3,0
2.38E+06,1.36E+06,1.05E+06,841627,587104,351561,1.00E+06,561303,899650,-1566.12,44796.4,75238.7,48727.6,12942.5,31199.3,21831.6,0.0183902
1.27E+06,648034,1.17E+06,1.43E+06,944433,502374,1.13E+06,853499,1.01E+06,1282.83,2334.3,92686.1,67888.9,18253,36677,16824.4,0.210904
1.06E+06,665950,954446,657670,375838,256491,879183,514581,766841,-1188.61,10846.6,46625.7,29083.7,7243.33,22719.1,14219.1,0.235132
1.96E+06,1.24E+06,953717,722196,430267,278213,927923,551156,786197,-3022.35,22701.9,72726.8,31252.2,8846.28,26115,10692.6,0.246224
2.06E+06,1.31E+06,945062,685014,513632,341878,901430,506059,812174,-1943.96,9791.64,47494.2,42261.4,10629.8,19729.7,14889.9,0.277605
1.65E+06,1.20E+06,828647,558301,443029,324497,819168,472990,708220,-1957.42,21731.4,36303.8,20147.3,6276.71,17656.5,10297.6,0.310006
1.68E+06,1.14E+06,887657,564865,394163,268760,879959,440468,769452,-2594.53,3340.34,64777.9,52500.5,7699.78,18143.4,16850.4,0.315844
2.21E+06,1.42E+06,936630,803514,592327,365786,971596,583978,825560,-1261.16,10868.5,89932.3,38224.2,12797.1,22712.7,16966.5,0.316574
1.70E+06,1.12E+06,913352,697722,491427,348055,847153,552568,757614,14.0869,17992.3,55748.7,21026.8,10744.9,23783.5,12602.2,0.351311
2.46E+06,1.57E+06,940021,664688,508058,328949,926694,494681,806202,1504.95,6142.14,68309.7,56188.3,15906.8,23313.3,11635,0.367074
638594,396609,966082,555897,406091,265676,917113,414145,805366,-41.8439,37805,43938.9,18855.5,3847.24,15133.5,7146.71,0.416991
1.80E+06,1.31E+06,826134,591351,471593,335368,843717,468735,756953,-2177.47,184944,55684.8,44003.3,8140.85,14278.3,7546.36,0.433337
1.11E+06,761533,873533,373544,295850,222863,796499,315114,711254,-1683.82,74852.3,55249.8,33113.4,4758.94,7420.05,4779.8,0.49347
1.95E+06,1.20E+06,979704,882919,699546,474046,885415,662943,799090,-1382.86,10395.1,52616.3,38267.8,6097.5,14036.8,10131.4,0.4942
2.03E+06,1.22E+06,996650,843755,626446,389886,964045,584944,865473,-2781.95,8526.31,97680.2,60407.4,17526.6,36159.1,23044.9,0.57141
1.36E+06,989564,825533,439886,331765,252655,787869,379928,694688,-2096.19,41728.5,39681.4,18527.3,3582.08,14600.1,6938.82,0.586297
1.83E+06,1.15E+06,960097,859747,577246,364179,951037,632593,815450,-1052.08,10120.1,73007.2,52477.7,15033,23529.5,35031.9,0.706709
1.61E+06,979158,983986,710826,540165,358678,903594,519833,820447,-309.074,21256.2,52012.8,35794.3,10427,21887.2,19834.6,0.714591
2.24E+06,1.33E+06,1.01E+06,998247,763854,450622,1.02E+06,689890,868179,-2156.2,32198.8,117518,60953.5,13611.3,32813.8,20161.3,0.748452
2.23E+06,1.63E+06,817583,433082,354187,273006,778415,374123,694556,-1284.21,39281.7,21467.2,14958.8,8205.81,11243.5,5705.35,0.761296
2.73E+06,1.80E+06,907501,647485,474435,319166,891889,480564,808406,-3674.64,20087,94587.3,39760.7,18525.3,32583,14191.7,0.784941
2.83E+06,1.80E+06,943037,658326,488865,329633,889835,500880,788604,-1603.8,6423.69,85378.4,45942.1,20130.6,24381.7,12447.8,0.798514
1.71E+06,1.22E+06,838597,541667,429865,324291,795332,454357,715297,-973.602,47522.2,38515.3,20764.5,7766.79,13255.2,9062.46,0.809315
2.68E+06,1.62E+06,993873,1.09E+06,820476,503980,976796,760961,863334,-591.296,22940,73687.7,68533.4,21684.4,35294.8,22729.5,0.839819
2.29E+06,1.44E+06,952670,914866,697733,445208,940324,650783,843476,-368.98,95262.5,81417.3,35973.4,15765,32160.1,17498.7,0.874702
2.44E+06,1.84E+06,799159,384408,242762,180769,805765,317235,727047,258.666,21398.9,39377,17018.2,8779.2,14639.9,10617.4,0.897763
2.27E+06,1.52E+06,896427,776092,566331,403021,843128,620919,749946,455.605,25955.1,56460.9,30136.5,12866.9,16762.7,10223,0.92024
1.83E+06,1.17E+06,933670,1.24E+06,889977,543595,982324,853648,873069,-153.04,53815.4,153082,85960.2,15811,34391.1,21242.9,0.920532
2.10E+06,1.41E+06,893408,630764,431392,312717,827697,510113,741911,-1833.15,218767,70044.8,31310.1,7239.14,20724.4,9401.05,0.932208
2.07E+06,1.37E+06,901500,716908,567151,407571,834924,582079,738980,-2345.95,337110,90164.8,39015.4,4097.55,20653.7,9492.1,0.964318
2.13E+06,1.46E+06,875707,576745,410890,284348,867015,449757,769409,-1130.85,89791.4,61543.9,29212.3,7032.39,13933.7,9051.87,0.980227
