"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.08154e+06,1.58489e+06,788017,415981,286762,218144,788732,362527,688468,3392.62,-1340.72,81317.5,30756.7,15322.3,10952.6,3964.69,0.0503822
1.68164e+06,1.06808e+06,944670,793447,518946,355036,877003,623148,763973,9019.06,-277.607,1961.52,75416.8,43135.8,18031.6,12963.2,0.0833081
2.01758e+06,1.54179e+06,785159,410117,253329,192364,790156,353039,697006,6407.46,-1039.8,190830,49306.6,17822,14617.5,6268.11,0.133123
1.14978e+06,696922,989882,860377,634135,424432,896448,646861,798048,6909.47,324.779,15179.8,48441.9,31698.9,17167.2,13989.2,0.166474
2.06881e+06,1.30362e+06,952185,849257,648158,421410,922842,619203,822919,13487,-2396.06,12102.4,76195.9,33371.7,28323.2,15270.3,0.289378
1.84058e+06,1.05289e+06,1.04887e+06,962347,494397,297218,998050,684345,843739,12398.7,-1055.12,1126.89,96881.9,74347.9,33641.2,11582.8,0.387872
1.76685e+06,1.3212e+06,802381,446468,307003,225343,817430,387222,691802,5885.38,-304.035,435955,29169.5,15916.9,11347.6,4027.04,0.422927
2.12644e+06,1.42236e+06,897004,613761,440208,303576,870044,479621,767808,13133.8,-1935.18,2325.95,53666.5,46685,18160.6,12257.9,0.4682
1.98733e+06,1.47852e+06,806484,345562,239425,181629,790927,289347,716570,4851.01,-1608.52,30096.6,59356.6,18299,9487.78,3449.25,0.563146
1.56309e+06,1.23395e+06,760044,385186,257536,207265,745527,351281,657911,4445.37,1331.31,620252,24277.1,6839.28,5742.07,10729.2,0.60998
2.2172e+06,1.32109e+06,1.00698e+06,971626,690742,399160,1.03829e+06,641395,908919,13018,19.2815,11275.2,73698.3,36473.8,35965.9,12525.3,0.643048
1.36209e+06,960596,850780,458558,277273,197301,843198,373548,736544,6213.75,-1735.68,19823.4,33162.5,20565.4,14821.3,11550.2,0.773758
1.60644e+06,1.14906e+06,838829,497205,339101,253214,803512,436945,682747,3987.93,-327.276,86030.3,26648.8,18378.8,11591.2,6870.35,0.797884
2.46343e+06,1.61859e+06,913174,786553,564136,377821,895878,585577,805926,14637.7,-185.557,109158,65724.8,40507.1,25875.3,15540.3,0.886727
1.78208e+06,1.23204e+06,867864,495890,317092,225475,843799,390355,762214,6267.66,-725.743,41133.8,46423.2,17581.1,18503.9,9551.71,1.00154
2.00891e+06,1.15119e+06,1.04704e+06,1.3366e+06,928457,557811,998679,904147,886979,18688.4,-473.281,6014.38,102175,61153.9,37170.6,28624,1.05349
1.031e+06,635409,973545,754435,550174,352067,937618,561449,806238,8106.78,79.3379,7549.35,54721.7,37769,16187.2,7600.14,1.08471
2.31522e+06,1.59372e+06,871627,568965,435559,307110,850950,453953,752014,9183.42,-1226.93,48128.4,51152.4,16590.8,17969.1,9141.29,1.08953
2.15423e+06,1.25792e+06,1.02752e+06,1.16077e+06,637819,409772,933912,859189,810601,12278.3,-1766.12,8757.24,97415.9,44193.1,35179.7,15217.2,1.12686
2.03014e+06,1.22250e+06,996384,1.00596e+06,553410,329051,1.0091e+06,712415,847222,9825.22,-1501.25,22881.1,77666.4,54292.1,30435.3,15772.2,1.22195
3.2214e+06,1.75424e+06,1.10181e+06,1.44369e+06,966103,510043,1.1365e+06,875519,989371,26618.4,1471.82,20432.5,92560.8,81624,40642.5,29361.5,1.23543
2.54492e+06,1.86992e+06,816585,389845,328107,231064,851991,307210,761392,10092.9,-869.051,23405.9,46798.7,18104.5,14319,6702.25,1.26906
1.91147e+06,1.28833e+06,890205,626429,387479,264068,880407,506849,741557,11869.9,-203.133,40158.7,31104.5,28992.2,11103.8,7128.51,1.33889
1.71068e+06,1.03585e+06,990882,823832,599534,367382,979145,568443,869567,15600.2,185.395,20123.1,60532.7,45723.5,26643.5,20911.1,1.45569
