"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.84153e+06,1.3209e+06,836485,594798,371826,261042,854634,494001,722425,4996.58,-1948.2,4718.51,49151.2,19412.5,15303.4,4156.24,0.0359368
2.14379e+06,1.66381e+06,773089,322529,223706,179128,749318,277009,698597,4527.98,-740.613,1968.31,30642.9,12318.8,8278.05,3554.33,0.0568878
1.33217e+06,901833,886310,777499,479196,345813,831425,628715,741989,6193.41,-1970.13,2432.96,59271.2,32588.2,17802.3,5028.74,0.139964
1.92089e+06,1.4381e+06,801431,334480,238846,183619,780463,283073,708962,4759.63,-1251.83,2032.67,38251.8,13109.4,9634.27,4451.85,0.184922
2.32103e+06,1.72326e+06,808128,360428,238443,180870,790987,321622,672395,3719.13,-1257.33,10662.5,33639.7,11653,8204.57,3316.13,0.186376
2.58081e+06,1.80399e+06,858366,458610,319631,224074,855871,385569,713661,4089.48,-44.2313,24475.7,21449.2,10778.9,8843.43,5482.63,0.195834
1.72658e+06,1.21739e+06,850962,644739,474816,337467,844200,516016,749673,5435.91,-482.609,2654.85,36414.7,23902.4,15901.7,3843.55,0.196852
2.05992e+06,1.24099e+06,995941,1.05394e+06,696213,450420,927419,799096,791348,7797.85,-1914.73,5210.37,82143.1,55076,22479.6,8268.22,0.197725
2.79607e+06,1.82710e+06,918198,764442,572256,408804,839897,629820,728248,8350.57,-1066.33,11506.4,59202.4,29445.5,18392.7,5354.32,0.208346
2.13475e+06,1.53998e+06,831732,464690,359542,269838,799463,387539,719447,5306.48,-638.555,4279.67,47941.2,22342.7,9917.25,5529.81,0.214893
2.55078e+06,1.73407e+06,882589,648428,467639,330897,847949,510810,761646,8033.92,-151.952,716.187,56903.4,18003.9,12968.2,3859.71,0.227697
2.01589e+06,1.4369e+06,841766,526664,355291,265118,804074,443303,712826,4326.15,-773.824,2622.18,56930,27302.1,11493.7,3838.79,0.235553
2.22017e+06,1.67079e+06,797287,430399,268825,208973,771846,377002,684981,4317.12,-1818.84,2134.77,40212.4,12942.8,10518.2,4635.22,0.253012
1.55059e+06,1.09905e+06,846507,501442,322754,232585,832610,423387,710615,3506.95,-1380.49,4851.55,30969.7,19525.7,9762.56,4109.84,0.253158
1.81298e+06,1.25236e+06,868589,616687,436870,313122,837125,501342,738044,6873,-2057.59,2787.48,66672.8,28308.8,14459.4,5626.16,0.2744
1.05796e+06,681347,931649,447064,313254,236646,794234,369212,726515,3700.65,-1444.41,3202.38,25370.6,17358.4,8968.27,3643.13,0.276728
1.79399e+06,1.24673e+06,863372,639976,476122,359412,794835,529158,725654,4981.19,-1507.94,5412.09,28225.3,14232.3,11053.6,3398.19,0.290113
1.3644e+06,866377,944897,895735,485307,306915,948745,673958,797440,4719.38,-1304.49,10508.9,37522.4,26991.5,21408.9,5780.04,0.315574
3.01348e+06,1.91989e+06,941765,988048,745439,485779,920714,732277,809569,10380.9,177.662,4955.82,62128.5,35837.4,22690.1,10912.4,0.323285
2.52484e+06,1.74336e+06,868958,733251,405870,287236,847812,583799,753600,6872.74,-1226.35,4177.75,51450.4,23266,15994.4,7433.41,0.329687
2.053e+06,1.5509e+06,794250,461388,288558,228111,758993,404350,684637,3617.96,-1668.87,9899.07,43119.1,12285.6,12405.4,4758.47,0.329978
2.25071e+06,1.65569e+06,815625,357383,240044,184549,780423,317662,675025,3874.89,-2073.2,5294.54,36583.6,16447.6,9926.43,2710.19,0.350202
2.12666e+06,1.56701e+06,814288,411003,317182,250863,758619,367979,670153,5560.87,-2208.66,910.301,43700.3,18573.7,12308.9,3145.02,0.359804
1.70277e+06,1.1329e+06,901815,846377,605097,410627,884156,657672,772158,5715.23,-1157.67,1713.71,59473,31305.7,19134.5,7010.33,0.360095
726242,500087,871339,375089,266254,198418,805130,313396,718112,2833.67,-1503.8,4192.95,26764,11554.5,9247.97,5233.73,0.390503
2.0951e+06,1.56795e+06,801720,498541,335887,250769,803657,409094,731188,5681.03,-755.347,5120.03,42631.6,16149.8,12697.8,4066.24,0.4487
1.50473e+06,884763,1.02043e+06,934240,616949,398245,929502,702099,798383,6121.37,-1331.99,10385,71474.3,36007.8,21547.8,5957.99,0.486674
1.89223e+06,1.3882e+06,817850,433734,217081,156439,832585,356996,728973,2770.75,-1632.06,2589.28,31849,15868.7,10202.2,2501.56,0.502387
1.9499e+06,1.44418e+06,810109,364571,213884,170344,753361,332223,658421,2880.67,-1128.53,40633.5,20126.2,10191.4,8545.31,2792.3,0.510098
2.67748e+06,2.1095e+06,761551,336958,200051,153404,782449,291973,692444,3464.03,1006.62,1303.67,38404.3,10839.6,5327.04,4810.22,0.533814
2.39873e+06,1.40093e+06,1.02734e+06,1.23247e+06,778525,509255,917252,940654,786139,7845.41,2281.33,3868.71,54288,34917.3,19437,7031.04,0.554037
1.7772e+06,1.29362e+06,824289,525598,354936,274155,776792,446035,707027,4493.31,-951.206,2050.2,35070.8,20573.3,10916.9,3509.58,0.568441
