FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.16E+06,750408,928662,558110,415152,310843,801340,492373,680106,-966.154,5111.85,35220.6,22469.9,4248.08,12694.6,4777.55,0
1.85E+06,1.38E+06,806460,481826,340824,254246,804317,411088,703245,-674.366,10618.2,22240.7,14847.1,3037.84,8691.24,3233.3,0.0273747
1.77E+06,1.28E+06,832738,614880,321263,238184,809281,517876,712387,-2771.69,10514.5,40558.7,29305.4,4338.1,19095,3274.31,0.0330235
2.51E+06,1.71E+06,882144,765748,506060,355233,854752,601128,764311,-712.714,5812.35,81220.8,26678.1,9243.71,23755.3,6934.83,0.0447555
2.49E+06,1.55E+06,963630,791478,572878,390245,880797,604073,786141,-26.6005,2207.63,72795.3,30785.8,8144.35,18393.1,7569.37,0.0900903
1.98E+06,1.42E+06,837251,476351,358611,271999,791056,398458,717292,-2198.2,5600.08,47428.1,22117.7,6357.12,15557.4,3955.78,0.0932768
1.10E+06,762906,868721,621733,364606,279023,784035,512346,728102,-1410.23,10171.6,24101.1,23921.4,3567.88,13288.4,2972.38,0.145129
1.60E+06,1.15E+06,831092,360219,269547,213095,758950,325871,663243,-1786.38,1117.31,27821.6,15404.2,3753.03,10303.7,3309.87,0.155558
2.06E+06,1.53E+06,811849,409469,331096,255510,777494,352574,696821,-1678.22,10196.7,51786.5,11868.6,4345.63,12484.6,2458.75,0.155703
2.57E+06,1.62E+06,951688,1.08E+06,674014,463754,872033,830272,783999,265.214,3677.46,59495.6,42702.1,9264.91,23684.7,9131.63,0.157875
1.27E+06,897835,851694,596467,319907,231093,830594,501513,713601,-1110.25,983.903,32185.4,17285.6,3040.4,12978.1,4056.04,0.172649
1.80E+06,1.01E+06,1.07E+06,684774,500679,289953,1.04E+06,453439,906107,-30.4834,10172.9,84287.6,35088.1,10911.5,24406.4,8963.38,0.205383
2.09E+06,1.61E+06,777206,330280,216895,171686,757994,291919,678846,-554.599,14842.9,20663.9,8255.06,3379.41,8546.2,3108.76,0.209149
1.16E+06,787370,882041,432900,301083,223739,807412,376753,689417,-818.528,1131.09,50242.8,25582.4,3986.4,9725.61,4379.2,0.213783
1.40E+06,959926,876688,657384,533634,385969,829549,531835,741641,-1781.71,9068.05,43012,27110.3,4284.24,17397.1,5623.18,0.217404
2.13E+06,1.51E+06,848431,470184,315260,220412,858192,384674,733375,-1271.12,3094.74,39879.2,23500.6,6240.68,10867.6,4376.61,0.242317
1.32E+06,922694,860417,484459,301369,230820,783387,408343,711842,-244.31,4806.99,37031,13954.4,3528.79,13284,3774.26,0.283886
2.23E+06,1.52E+06,879748,685862,452224,316867,856304,557446,738218,-1171.77,619.226,72564.4,27073.4,7477.78,21277.9,3787.93,0.300832
1.67E+06,1.15E+06,874319,512172,353172,256591,825841,426520,720490,-1563.96,10865.1,33382.7,21073.2,4683.26,11976.6,4264.99,0.382087
2.02E+06,1.41E+06,861674,506047,302568,221815,818433,396890,765019,609.464,4291.19,35143.1,18516.5,6186.71,13775.3,4616.1,0.390922
1.74E+06,1.27E+06,824749,519353,329540,246489,802163,435172,716066,-1932.53,495.605,46928.4,20281.2,6877.73,18841.5,4198.78,0.413228
2.06E+06,1.33E+06,931780,713966,389535,273267,855283,561222,763298,760.603,17480.8,46509.5,31022.2,6802.32,16806.6,7457.04,0.432636
1.68E+06,1.17E+06,856504,427844,271848,201594,809094,351247,730843,-1155.58,20739.3,24426.9,14842.7,3187.39,9401.29,3741.63,0.450162
1.25E+06,767762,975346,865360,570171,383100,892986,655412,792198,-1577.88,709.963,71734.5,34717.8,6249.45,23181.8,6017.03,0.472612
2.04E+06,1.59E+06,769178,344382,202384,157608,770460,304823,677866,-851.44,1815.82,34616.1,13066.1,4290.47,9695.58,3674.6,0.504332
1.55E+06,987926,942332,828316,509752,346500,882688,637591,779481,-2398.84,9418.78,68003.4,38335.8,6934.13,22564.8,7109.83,0.527072
2.43E+06,1.62E+06,901450,800205,654152,460706,851935,606638,791449,-1612.7,1576.04,75742.6,39752.1,10124.4,20893.8,8915.94,0.545611
1.54E+06,1.15E+06,805715,437156,333438,256595,779682,379322,691479,-1721.64,9994.81,38150.4,13787.4,3824.18,10067.5,4832.31,0.556619
965807,599568,966503,560670,297724,200253,892045,444105,757483,-611.208,3532.82,35790.3,19435.1,4265.9,14669.3,2701.36,0.560819
2.10E+06,1.41E+06,898271,551679,378976,269146,844841,460029,719536,-1221.51,5277.59,38535.8,20818.2,5913.97,15587.5,4289.23,0.574145
2.45E+06,1.57E+06,934000,918308,623942,433010,864565,721191,763993,-597.346,10601.2,87080.1,36329.6,8464.2,29277.5,7718.27,0.618176
2.35E+06,1.51E+06,936041,903246,678478,474284,858319,687775,787972,-503.502,20108.4,67927.8,26826.9,7819.88,22357.1,10602.1,0.640047
1.36E+06,967357,844941,469383,396511,287728,826845,383970,733468,-995.14,2033.16,38186.9,23416.4,4522.46,15126.7,4548.98,0.642509
1.88E+06,1.33E+06,849805,631425,376844,294067,768895,556747,680479,-997.865,1873.59,47199.7,25693.9,5193.11,11786,3206.09,0.648737
2.10E+06,1.50E+06,843697,461094,329533,242487,815384,387089,714711,-625.043,2369.29,61797,23077.2,6262.97,12180.1,3906.99,0.649027
1.96E+06,1.27E+06,927608,637348,431554,308640,838946,522774,731500,-1151.77,10989,41363.9,25999.7,7534.17,16762.3,5291.74,0.659745
1.15E+06,715053,967955,642236,459843,303832,908087,495306,777987,-3069.44,2567.88,66688.7,30615.6,6400.84,17554.6,5018.51,0.666987
1.45E+06,1.04E+06,834062,475912,285839,217759,787585,418262,682699,-1653.22,26039.7,26087.7,17845.5,3332.54,12230.6,3201.2,0.685237
2.08E+06,1.45E+06,859090,525366,399807,288544,831360,423055,745103,-1580.7,-506.003,66951.8,30791.5,7263.24,17632.9,4265.1,0.706383
1.65E+06,1.02E+06,969879,976110,760174,508004,897836,732255,799812,-1266.4,2781.35,90828.1,32221.5,7797.19,27221.1,9774.43,0.734048
1.92E+06,1.36E+06,844691,643946,517435,393559,788855,551882,700091,-1423.52,2715.4,40042.4,21099.5,5335.64,13177,3715.98,0.734627
2.15E+06,1.59E+06,808773,550646,367659,289907,760918,475689,694545,-1155.77,2387.26,57747.6,21775,6309.1,15118.3,3948.49,0.737089
3.28E+06,2.05E+06,958562,882710,624280,412965,907021,652645,811508,-443.287,2111.22,94709.5,37866.9,14288.6,28548.8,10667.9,0.737958
1.63E+06,1.30E+06,749429,335877,200230,151852,791152,289880,695205,-1717.34,230.051,26085.9,12430.5,3364.5,10142.9,3154.77,0.745635
2.76E+06,1.83E+06,902994,641919,459026,322725,853407,517973,743574,-66.6622,28406.1,45791.8,23698.4,8594.61,18751.1,5870.92,0.746069
1.32E+06,901320,876193,557889,293480,211989,830648,453235,738543,-1048.31,47.0516,47543.9,21009.1,5536.8,15937.1,4633.98,0.747228
1.41E+06,771079,1.10E+06,922612,686470,447025,921384,687354,805360,499.733,4597.92,52149.9,39870.1,6579.61,18079.6,7303.98,0.755774
2.12E+06,1.57E+06,808285,511534,308904,235617,786627,438596,699780,-873.939,3820.24,52997.9,20617.8,4404.48,13971,4420.44,0.760553
