FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.21E+06,817253,884957,590744,410719,304168,810182,492932,719057,-1746.56,349.768,39529.3,17959.2,4353.53,14528.3,3982.05,0.0475351
1.69E+06,1.27E+06,801348,340847,198524,157840,754653,308909,662035,-1288.01,76817.5,16116.7,6043.7,2336.44,8641.05,2636.25,0.0646884
1.81E+06,1.33E+06,818080,352316,183483,136715,805252,298675,707759,-395.926,1700.79,29705.8,15040.9,3420.82,11668.9,5777.17,0.0965238
2.13E+06,1.36E+06,940224,937278,601737,415642,868638,742246,757656,-827.354,4434.95,72184.9,22146.5,7260.03,28197.8,7972.89,0.143914
1.26E+06,895193,847825,436182,327758,239159,822277,367870,711418,-1882.02,35916.3,30785.1,15360.6,3171.75,11596,3735.35,0.148129
1.88E+06,1.28E+06,879133,869498,647625,482425,805462,745250,700032,-458.813,22724.7,32520.9,18507.8,4869.67,22200,5639.27,0.161648
1.15E+06,781399,883913,378945,306256,231481,793816,314685,722523,-2385.18,13.5557,36658.2,13191.7,4074.53,14381.8,4590.23,0.161939
1.69E+06,1.32E+06,768466,483042,339077,273229,744601,440637,657742,-2192.8,10156.6,32875.1,12627.4,4546.07,16562.5,2426.71,0.173423
2.03E+06,1.48E+06,825702,464316,313626,232300,810054,400963,694801,-2140.18,3978.47,43146.7,12817.4,3970.52,15079.5,3743.78,0.19014
1.74E+06,1.28E+06,813164,507344,329521,259095,763089,452403,672865,-1446.64,1712.24,27381.3,14474.3,3849.04,15521.2,3640.91,0.199298
1.90E+06,1.27E+06,901753,566505,355513,251315,848766,472398,719526,-150.663,4801.52,49828.3,17311.1,5818.12,16807.7,4421.37,0.208311
2.15E+06,1.59E+06,808641,509615,399668,320599,747977,460600,663850,-1370.14,4456.95,52275.8,13289.9,4485.78,15302.9,4098.3,0.223284
2.03E+06,1.53E+06,796305,474702,296947,225949,788533,412371,690692,-555.768,10480.3,49924,12548.7,3460.03,14298.1,3653.06,0.244653
1.13E+06,815245,833907,383688,220982,172743,767552,339305,678483,-1239.22,3332.72,25064.1,10486.5,2233.34,9750.66,3088.49,0.246397
