"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.64581e+06,1.19296e+06,827762,360963,168492,120304,840331,309010,700876,3566.44,-1566.83,875.417,32091.1,13289.9,8884.9,3227.69,0.00804025
2.08178e+06,1.61279e+06,774478,328459,221141,166187,798405,280874,701651,3291.84,-472.331,11997.8,21736.8,6971.04,7746.27,2733.1,0.106424
2.28678e+06,1.33462e+06,1.02806e+06,202889,158799,113115,842321,163517,744469,3623.48,-768.99,1625.64,23221,11319.7,5583.03,3389.59,0.127328
1.88039e+06,1.35717e+06,831310,411597,251605,184700,817342,354040,697543,3282.19,-1148.38,8920.86,40337.9,16020.6,9935.9,5779.96,0.236237
2.13188e+06,1.60564e+06,796648,404346,270714,203532,798050,355322,682782,3744.96,-1360.28,3014.34,41576.7,11557.8,9658.41,4217.84,0.254364
1.47541e+06,1.10216e+06,803192,323624,164734,125363,788434,284337,682902,2757.17,-320.529,5171.12,17801.4,10797.7,5669.99,3112.96,0.262405
1.96536e+06,1.45443e+06,810774,427915,307441,240625,766607,375739,683318,3289.86,239.849,6177.24,36220,10726.8,12108.5,5185.28,0.290619
2.16162e+06,1.66131e+06,780690,406967,246592,193677,763926,361363,675720,4035.68,-202.987,3221.84,35272.6,9396.79,9325.72,4840.35,0.332867
1.58316e+06,1.22544e+06,775145,365065,263568,205084,771102,317710,689430,3232.58,-134.509,19273.3,34685.2,17583.7,10801.2,6329.03,0.391926
2.06316e+06,1.54987e+06,798709,424496,296238,230211,772086,365219,697384,2773.34,-563.759,19472.9,25591.2,11101.4,7385.21,6095.75,0.420432
2.02623e+06,1.45841e+06,833603,529321,381089,279838,817092,445776,712449,4503.39,-1127.7,779.782,30197.7,19214.9,11303.1,5165.08,0.576267
2.45953e+06,1.17634e+06,1.2545e+06,1.12361e+06,657542,269742,1.4626e+06,540703,1.24683e+06,7538.06,1455.38,8633.14,67279.8,25937.3,23892.8,10410.8,0.585769
1.96007e+06,1.40362e+06,837860,589946,433995,340481,764792,511241,692369,4682.36,-673.352,6889.22,42613.7,16758.8,11298.4,5840.34,0.618953
2.1221e+06,1.58668e+06,802469,401653,300016,225703,797552,341609,705462,4048.14,-322.375,5081.73,35577.2,15698.9,9489.38,5651.3,0.640004
1.98068e+06,1.50987e+06,787092,241631,175214,130667,804550,208990,693711,2992.08,-1507.49,10821.7,23016.3,9393.91,7118.34,4698.13,0.647606
1.71805e+06,1.21803e+06,846310,432313,219497,162432,810790,372203,696899,3062.72,-859.069,21052.1,25107,11050.8,8667.49,3636.76,0.705642
1.66051e+06,1.19992e+06,830310,779777,611975,456343,804624,661918,706834,4794.88,-465.021,404.877,50266,25017,12784.4,7091.1,0.75286
