FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.92E+06,1.48E+06,776008,390899,268434,207757,775234,336791,696394,965.575,9149.03,32495.9,9828.97,3887.8,9874.84,4371.09,0.00172652
2.05E+06,1.55E+06,794246,294470,242961,191145,762649,261360,676011,-74.2885,11560.1,17046.2,6970.03,2988.12,7045.98,2842.74,0.0293508
1.34E+06,1.01E+06,790619,353092,187397,149416,752518,311222,680721,-821.423,715.61,16461.2,7875.25,2156.45,6467.76,3619.31,0.0660393
1.84E+06,1.37E+06,803327,301379,166717,126899,788264,268986,672256,-179.849,15916.9,20580.8,7758.51,2968.05,5914.1,2136.09,0.10949
2.02E+06,1.57E+06,775644,404420,258337,211998,731149,369406,656871,-1020.1,39866.9,22057.1,6240.03,3599.53,7245.08,2339.4,0.173515
1.76E+06,1.37E+06,772551,323949,176919,137897,769787,288352,674069,79.8246,2765.1,24080.5,7533.39,4284.01,8968.04,4043.12,0.234519
1.68E+06,1.23E+06,821265,579146,390514,294366,795977,499516,695649,352.608,5226.27,30530.5,15310.8,4083.52,10394.4,4765.15,0.330628
1.72E+06,1.33E+06,773123,387377,259893,203524,766178,346600,670588,-674.018,10507.6,22713.6,7488.99,2759.81,7474.05,1751.32,0.378683
832768,520176,960560,437205,320694,223214,862028,352262,744682,-860.195,4443.25,22267.3,9083.63,2949.13,10536.6,4301.95,0.43278
2.04E+06,1.50E+06,815819,362084,254553,182925,834943,299774,724714,83.2034,10701.2,22552.8,10078,4217.35,9293.02,6479.83,0.479108
1.86E+06,1.42E+06,784267,382004,278886,217214,770354,336607,680920,140.545,6285.95,30264.7,6931.35,3096.39,8680.14,3272.82,0.525724
1.89E+06,1.41E+06,805798,542916,397641,303005,787394,455286,715484,-1137,20450.4,35519.2,11420.3,3991.4,11310.3,4382.47,0.530185
1.93E+06,1.47E+06,789948,384972,284069,230213,740364,347393,664904,-307.15,18947.4,26957.4,9461.07,3399.72,10460.5,2763.61,0.595073
1.55E+06,1.16E+06,802273,281092,150482,114260,790209,244254,690492,-714.22,5588.24,20999.6,8301.52,2790.2,6233.75,2082.62,0.615503
