"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.54892e+06,1.18274e+06,785764,422920,270600,222924,728321,382842,662811,3291.21,-812.367,7200.73,32919.3,9182.13,11915.2,2244.34,0.0182679
1.92418e+06,1.41238e+06,817417,468632,391971,296083,794313,402330,698878,4312.71,670.03,4818.58,22737.2,10100.8,10372.9,5436.42,0.425782
2.10966e+06,1.20161e+06,1.05342e+06,288141,204013,123625,990155,200489,862314,2838.48,-135.646,4378.32,32086.9,5645.48,9393.91,3065.77,0.643591
1.99075e+06,1.47641e+06,809026,519544,355800,269529,792049,445353,699954,4050.56,84.7485,5161.79,38178.9,11121.7,9152.59,5703.41,0.679144
2.07648e+06,1.56124e+06,798010,320392,222021,171677,775950,286362,671301,3075.52,-62.0033,17606.6,21515,7771.69,7224.98,3518.94,0.679565
1.9514e+06,1.50457e+06,778187,306266,200273,156440,768116,266305,690035,3419.44,216.485,17679.7,16615.3,5395.52,7607.94,3758.87,0.731137
1.88296e+06,1.42931e+06,790436,509959,379355,301452,755056,457585,668674,3859.54,-246.285,9518.85,26591,9910.48,9624.75,6481.31,0.743222
1.94082e+06,1.41226e+06,824560,461534,326228,225816,866798,372758,742896,3512.72,69.5627,9625.79,29591,10191.4,9194.43,6303.82,0.757977
1.86114e+06,1.28061e+06,871992,804577,583953,435803,803968,667911,722770,5633.85,1049.26,12225.1,33192.4,24658.5,11628.1,6444.36,0.825849
1.63618e+06,1.20886e+06,812094,377295,210423,157972,799214,330947,684029,3151.41,-70.0258,10064.5,18749.7,8494.86,7126.77,2104.11,0.826411
1.79493e+06,1.30791e+06,823418,394922,264660,199104,797553,343828,689163,2778.37,-355.275,8637.68,35638.5,7456.4,9483.42,3522.87,0.852548
2.11772e+06,1.56963e+06,809508,390226,276671,200941,826126,331472,706351,4603.95,407.406,4636.04,30399,11691.7,9041.95,6162.05,0.865476
1.56605e+06,1.11936e+06,839440,550324,264513,190554,832874,460437,717133,2898.02,619.256,9368.03,25372.1,12887.2,9284.67,2698.05,0.914518
1.80177e+06,1.34145e+06,805893,421498,265061,203084,783107,379215,666901,2482.85,-266.309,10517.8,20911.6,9294.91,7860.18,2542.56,0.931521
1.79965e+06,1.24039e+06,870527,554418,376079,270073,835505,464228,716568,3507.35,924.734,8328.18,34609,9599.71,12751.9,4456.82,0.940093
1.76574e+06,1.33592e+06,793044,345017,211907,163270,778736,312884,661621,3315.39,78.3516,9698.86,22589.4,6759.14,8252.91,2258.46,0.977472
1.07633e+06,747700,863716,313119,233017,169065,826960,257242,730329,2367.32,-829.784,6668.36,27251.6,9176.26,8085.71,3218.83,1.0327
