FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
2.18E+06,1.77E+06,742266,267645,178223,147208,726415,241649,664546,-1429.65,7889.67,18325.5,6743.2,2845.64,5371.92,2920.91,0.172567
2.13E+06,1.56E+06,819476,351529,276784,203548,815878,294306,716661,-116.78,5477.99,30861.8,5443.97,2825.28,10755.3,5719.76,0.57436
1.95E+06,1.50E+06,780375,327638,231758,188704,736893,302979,648832,-114.333,8256.27,17532.6,5763.77,3432.43,6787.93,2580.57,0.689995
948732,619600,918721,415029,327103,241560,812475,336769,739430,-793.182,142.923,25142.3,7700.92,3940.67,10662.4,5051.28,0.925215
2.10E+06,1.71E+06,735033,256382,140700,116786,722860,237583,647476,-878.622,12225,19208.5,3188.26,2777.18,6230.58,2547.57,1.23861
1.86E+06,1.41E+06,793606,378704,296386,229891,773549,336014,676229,-610.102,9434.94,22142,7192.35,3568.89,9417.61,2882.6,1.38299
1.94E+06,1.56E+06,747306,313826,185392,144127,771786,274643,685601,-1259.4,5775.71,18824.6,4598.26,2677.08,6827.5,3280.17,1.40001
2.34E+06,1.65E+06,850949,527837,389481,291313,802191,448095,706774,1136.98,1456.8,27297.6,10248.4,4670.9,9615.63,3814.73,1.69625
2.10E+06,1.57E+06,803205,492433,339086,257362,790527,411621,717796,-175.86,8878.84,32466.3,8327.13,3949.43,11168,5892.94,1.75155
1.66E+06,1.27E+06,787738,477208,242823,194485,749126,430743,664723,-515.582,6805.46,25921.1,6066.97,2463.32,7396.61,2743.54,2.01632
2.11E+06,1.53E+06,827475,516497,310708,233071,799862,469574,659956,392.287,16666.8,28084.9,7552.91,3979.4,10115.2,3765.36,2.21667
