"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
1.99715e+06,1.51492e+06,790997,357447,268580,212489,758382,322466,665087,2980.31,-784.551,17289.9,20863.4,7392.56,5475.85,3170.52,0.341653
2.21174e+06,1.65071e+06,803923,385016,333385,263142,760164,338414,682625,3889.36,-273.649,8893.01,26262.1,7857.5,8448.61,3871.43,0.667283
1.91281e+06,1.45386e+06,789408,255999,177290,139399,763088,233817,656922,3135.36,-1135.89,18638,22240.3,6952.37,6059.27,2593.08,0.789063
2.00486e+06,1.59043e+06,756349,310141,197856,162534,730392,286761,648918,2504.65,-312.966,8984.26,16626.5,4834.42,5295.29,2306.04,0.82125
1.75346e+06,1.32221e+06,795694,508374,310714,248515,750171,459022,664510,3602.64,196.699,2264.04,21352.5,8860.09,8753.64,5397.46,0.961143
2.03182e+06,1.5447e+06,789209,301221,179156,139522,770440,281809,641331,3049.27,-818.616,39645.1,18792.3,3471.25,3901.09,2386.43,1.10355
1.6422e+06,1.2773e+06,771409,471852,254721,191289,798963,395344,716114,2272.04,-21.7934,7828.11,19402,6453.84,7093.81,8440.45,1.20429
1.70834e+06,1.28109e+06,800106,400914,234189,173007,812182,346278,694668,2737.44,-348.739,18933.9,22536.2,5931.7,6226.22,1502.74,1.22477
1.84368e+06,1.34221e+06,824165,442914,297300,229035,778833,391313,679119,3577.72,-1061.89,4492.29,27485.2,8343.78,8400.18,2880.81,1.33582
2.217e+06,1.58422e+06,839659,355499,236360,164863,860206,294613,723998,3564.06,-21.6387,3917.43,22568.3,5432.51,7287.43,5345.8,1.51097
1.96984e+06,1.62646e+06,726669,241761,146727,120112,732952,221892,653726,2754.55,-525.896,19379.4,16644,4672.51,5106.26,1952.48,1.59568
1.87822e+06,1.368e+06,823779,521905,389194,294842,792005,456436,686062,3459.46,149.472,12693.2,23463.8,8397.33,7516.31,3625.24,1.67914
2.06697e+06,1.60996e+06,770321,366736,278561,225642,740717,336425,654058,3017.8,-826.774,43362.2,22282.7,6520.58,8019.91,3128.84,1.76721
2.04796e+06,1.51606e+06,810510,379915,287178,222915,772970,341087,668302,3147.49,-312.853,5458.87,24388.4,7157.67,6401.36,3975.28,1.79312
1.59662e+06,1.16735e+06,820636,368229,184315,133185,830342,313869,703916,1969.33,526.359,24614.2,13101.4,4787.16,3345.8,6070.42,1.88355
1.78606e+06,1.38127e+06,775836,420949,309243,240701,770855,369306,683903,3676.73,196.13,10287.6,27190.7,6668.24,9576.52,2876.68,1.96409
1.9285e+06,1.37518e+06,841414,540310,314956,239347,789539,472709,685805,3305.9,363.618,2078.82,24816.3,8489.91,8093.81,2141.79,1.97454
1.84667e+06,1.42474e+06,777691,418246,282222,221768,763560,381211,658290,3067.17,-56.4713,7551.91,16457.3,5549.71,5340.36,2671.86,2.04421
1.71092e+06,1.23837e+06,828957,545911,390607,302313,775237,465898,703044,3236.08,330.027,38583.1,17046.1,7352.51,8663.79,2435.37,2.71818
2.05251e+06,1.52542e+06,807322,348336,263544,197341,801284,304634,686073,2354.48,-339.822,19448.8,15974.7,5057.86,5927.35,2963.59,2.74145
1.97519e+06,1.44552e+06,819848,522145,380767,286873,796381,458507,683276,3176.95,-10.4384,8662.11,27354.7,6699.54,6971.58,4357.29,2.82895
1.79448e+06,1.3642e+06,789248,444574,303829,239183,762167,391328,681638,3134.84,67.2852,5149.39,20887.5,7068.72,7182.77,3862.65,3.15625
1.89787e+06,1.37187e+06,830050,428105,264971,194564,817122,376477,682281,4076.48,-896.336,2697.49,26454.5,8574.72,9928.3,3933.46,3.17882
2.07676e+06,1.64022e+06,759688,309761,213961,173053,741833,268021,693440,2525.88,-491.135,11249.2,15509.4,5277.52,4837.82,3495.57,3.19624
