"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-CTV-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-eFluor 780-A","Time"
2.04122e+06,1.24331e+06,985054,833668,433526,280866,926119,643744,777018,8027.92,27.9194,24805.5,61514.1,28598.1,23741.4,11228.2,0
1.09394e+06,612894,1.07092e+06,1.24949e+06,714756,400133,1.07178e+06,823876,909960,11963.5,-396.018,377.102,66833.6,72446.1,26768.2,15198.3,0.0836394
1.48923e+06,890534,1.00337e+06,977929,658273,425117,929071,716437,818994,12369.2,-578.043,-466.892,76478.3,42006.5,33298.9,13208.4,0.132099
1.8693e+06,1.34491e+06,833946,381956,298169,227035,787991,328827,696943,5220.74,-2077.66,9334.31,32711.2,16305.4,11724.9,6702.94,0.138033
2.16157e+06,1.54855e+06,837517,441807,323930,234591,828498,359376,737623,9511.04,-2029.14,1951.88,56548.4,22648.8,21782.7,8338.41,0.164877
1.99388e+06,1.36137e+06,878771,423891,229057,162063,848030,344727,737786,6739.98,-2359.27,23286.7,36254.5,23831.2,15167.5,6251.2,0.197796
1.06439e+06,709736,899819,605525,356314,251124,851327,487882,744678,6670.43,-1450.77,35321.1,46581.4,34682.4,14118.5,6126.25,0.20599
3.2951e+06,1.89246e+06,1.0447e+06,1.38580e+06,876732,519978,1.01166e+06,956226,869547,26489.5,-1518.93,4148.68,94436.4,84054.8,42290.9,20529.8,0.21588
1.58573e+06,974526,976310,931902,560106,340043,988298,661313,845502,11278.9,-1261.08,139.518,91743.5,51607.8,33725.6,11861,0.231704
2.48454e+06,1.63612e+06,911131,1.14887e+06,800260,478464,1.00354e+06,816435,844305,13181.3,-572.161,773.844,87098.2,43106.5,35636.9,19779.8,0.29189
2.21871e+06,1.23445e+06,1.07839e+06,1.1907e+06,810580,464843,1.04626e+06,763196,936091,18339.6,-486.681,31460.4,77289.2,50726.4,37068.8,22326.4,0.301639
2.08239e+06,1.33794e+06,933848,757478,619875,416475,893031,570070,797247,9172.79,-2055.47,37702,57295.3,48274.2,19777.9,11141.4,0.487708
2.43368e+06,1.60323e+06,910790,763546,612773,428826,857374,606043,755933,9844.39,-2255.1,12178.1,66118.1,40981.4,17142.4,12009.2,0.579825
2.65218e+06,1.6499e+06,964489,660799,447496,286981,935594,490118,808946,12094,-1774.88,4520.31,70121.9,39649,28241,15161.3,0.654281
1.24726e+06,732470,1.02169e+06,926879,745614,490100,912811,681410,816142,8792.83,-937.286,7418.76,49981.2,42952.9,19877.5,13248.7,0.777338
2.30911e+06,1.53479e+06,902706,551537,402836,271368,890677,416861,793842,8352.61,-2310.49,11760.7,45573.9,32371.1,18808.3,11605,0.816897
2.14792e+06,1.53367e+06,840309,733836,489093,345684,848913,585112,752508,7416.34,-332.937,4549.05,60206.9,27166.5,19900.9,14550.5,0.855185
1.4974e+06,1.07961e+06,832192,541010,344161,253233,815440,450905,719899,6230.02,-989.334,8804.88,42578.8,27542.5,17620,9066.7,0.910144
1.65702e+06,985158,1.00919e+06,821372,524388,340915,922906,600972,820044,10519.4,-2346.75,81908.9,57771.9,31914.8,26301.2,32689.8,0.95818
889944,571953,933584,911511,541480,325498,998125,634083,862516,7267.26,1215.02,9955.03,46917.3,58091.7,22780.2,10435.3,0.983894
2.94281e+06,1.65524e+06,1.06673e+06,1.23453e+06,905263,537638,1.01027e+06,809228,915339,25498.7,-1812.22,27305.6,113598,71370,49835.3,20898.5,1.00721
2.22507e+06,1.40642e+06,949251,767934,586779,377955,931506,574772,801640,11542.1,-2019.32,8907.16,67410.5,35591.5,27686.8,15590.2,1.02416
2.27826e+06,1.68807e+06,809774,526397,359537,266958,808076,434880,726265,9787.23,-2031.38,1245.36,59174.6,30339.2,15366.3,7544.41,1.12179
1.35808e+06,761920,1.06947e+06,1.06502e+06,601892,389021,928317,770896,828923,8326.48,-1624.94,4789.41,66782.4,57983,24846,12908.1,1.15117
2.86159e+06,1.8091e+06,949066,1.11006e+06,785761,470696,1.00162e+06,769230,865850,17596.7,542.25,3557.45,78688.6,60388.2,28358.8,18043.6,1.17886
882995,526647,1.00598e+06,768916,527192,352785,896623,586665,786393,10244,-1995.2,12450.8,45881.8,37578.2,21203.2,10808.3,1.20203
2.4316e+06,1.64406e+06,887412,658681,459645,323925,851391,525466,752110,12233.4,-312.022,1621.45,60422.5,29998.7,20609.3,9767.19,1.33216
2.38411e+06,1.42794e+06,1.00177e+06,847282,607479,406571,896491,661387,768641,7488.79,-1020.65,64786.1,57263.3,15200.4,26339.7,33609.9,1.3946
2.0047e+06,1.49244e+06,805939,415776,311399,235644,792888,354236,704235,5086.16,-939.593,4766.43,41492.6,14147.5,13818.6,7496.38,1.43233
2.25069e+06,1.38598e+06,974342,849271,643251,430314,896905,635022,802433,12791.8,-1642.12,44012.9,62575.8,38824.6,30892.9,12891.2,1.46454
1.08657e+06,724841,899426,797275,489086,331328,885682,625948,764225,5989.1,-160.636,2920.27,54131.1,32008.7,22522.8,11524.3,1.4675
1.52974e+06,988686,928349,842860,565948,366104,927519,637650,793093,9676.47,-719.428,37473.9,63669.2,51200.5,24683.6,12377.3,1.51031
2.29157e+06,1.4253e+06,964669,1.03576e+06,735554,472426,934183,758129,819723,10301.2,-118.342,54.7711,57095.8,35508.4,27271.8,20598.5,1.57446
2.799e+06,1.89172e+06,887762,529116,405247,275621,882183,407427,779205,12028,26.5116,2273.81,38473.5,31430.4,15094.3,10655.3,1.59056
1.34183e+06,809251,994866,730980,431476,274231,944042,534368,820760,9318.64,-2513.14,7639.66,76847,42020,34293.3,11415.3,1.61868
2.26686e+06,1.64338e+06,827630,480311,349906,249357,841939,398320,723505,10807.3,-2432.44,29473.3,40547.3,25461.9,17268.7,8961.1,1.73778
2.58991e+06,1.76534e+06,880252,637060,434102,274814,947774,466631,819140,12239.3,-1245.84,7260.05,65255.6,31517.5,23954.1,10560.2,1.74159
2.8452e+06,1.78831e+06,954598,997405,662908,423777,938570,767386,779846,7973.09,-124.114,6669.55,54538.9,25896.9,26893.3,18912.4,1.75261
1.72814e+06,1.18185e+06,877341,584360,420976,312222,808993,485981,721461,5743.2,-2311.47,23448.4,57269.2,25599.1,22404.8,6868.11,1.76392
2.58773e+06,1.58247e+06,981148,904892,704319,443013,953903,648578,837116,11274.2,363.282,4737.27,68204.8,39740,23360.1,17688.2,1.80121
1.75281e+06,1.18701e+06,885995,568929,439701,314392,839144,455269,749792,7016.41,-1779.27,8235.87,43053.5,23456.1,16576,7948.04,1.8631
1.70849e+06,1.28747e+06,796210,426093,332104,243981,816712,352744,724763,4134.22,-1669.42,11892.5,45544.9,27384.7,14172.6,7226.49,1.89658
1.76814e+06,1.12199e+06,945540,994488,760363,510929,892918,742073,804089,9073.33,-2021.96,946.273,52082.2,38178.7,21913.1,16248.1,1.91127
2.23414e+06,1.41993e+06,944048,889819,542608,365552,890611,670375,796407,10792.9,-1098.52,8301.98,63772.7,40675.6,24795.8,16636.2,1.93444
1.69885e+06,1.0368e+06,983133,830247,571473,365631,937786,604819,823632,7354.38,-2039.24,17472.4,54186.5,44564,26291.5,17097.1,1.96454
1.88284e+06,1.10528e+06,1.0221e+06,1.05468e+06,876152,569704,922744,764523,827719,13534.3,-1864.06,11237.9,75076.5,38787.6,29400.9,16669.6,1.96539
1.44421e+06,890729,972826,874004,695015,457131,912230,668313,784666,8578.6,-992.908,16928.2,93037.5,63036.7,22813.1,12422.8,1.97528
1.82528e+06,1.10041e+06,995238,893399,665766,451881,883992,708792,756271,12063.2,-2750.44,25991.7,86978.7,48511,30136.4,14715.3,1.99986
2.08115e+06,1.38362e+06,902481,621035,314726,197066,958235,450031,827990,10434.2,-1447.81,5243.57,49656.9,41999.2,25071.8,9937.2,2.01173
1.4139e+06,1.02211e+06,829989,406033,282601,210708,804719,343438,709356,1331.19,-625.83,5823.12,11663.7,9860.16,1168.78,6947.46,2.04267
2.08146e+06,1.45185e+06,860195,592936,390113,277062,844822,484195,734748,11545.5,-2206.61,9234.71,54874.9,42635.5,18641.9,5894.5,2.05736
1.94067e+06,1.32525e+06,878627,676155,472897,340305,833777,561324,722743,7817.37,-2580.73,49465.3,63890.4,32232.6,21464.4,7609.83,2.08307
2.20009e+06,1.67316e+06,788958,425866,296096,227961,779332,362238,705392,7784.61,-1424.77,42911.7,26837.8,18853.5,9131.26,5588.12,2.115
2.38831e+06,1.46484e+06,978256,771168,600555,398524,904169,562723,822254,11425.4,-1395.07,763.2,64580.7,39907.4,22442.8,11442.1,2.1718
1.66117e+06,1.09618e+06,909250,763283,565898,396864,855555,594502,770342,6469.01,-154.571,18960.7,54338.1,32788.9,20083.6,10028.2,2.19568
2.39299e+06,1.4742e+06,973952,945218,666158,423201,944456,707521,801575,17680.4,-1130.11,22130.5,75168.6,48895.2,30792.7,29549.4,2.20076
2.45876e+06,1.52872e+06,965027,994552,765002,499513,918897,728015,819669,16267.8,-3562.35,15697.6,91426.4,54923.6,53086.8,12683.9,2.20401
1.67228e+06,1.10383e+06,908988,622208,493785,334818,884872,477216,782297,8090.81,-1669.56,15643.3,44393.2,28956.4,16772.9,10904.1,2.2358
2.24419e+06,1.75071e+06,769125,275752,203760,155734,785032,237163,697628,5366.5,-546.207,11493.5,26258.7,14178.1,5975.07,4481.48,2.23976
2.59623e+06,1.69482e+06,919118,702449,443726,286835,928184,502544,838672,13654.3,-809.08,24647.4,51205,38641.4,21954.6,10329.2,2.2553
2.54255e+06,1.75187e+06,870799,497443,372404,272029,821392,405016,736924,8814.76,-1535.77,12480.8,53631.6,27820.6,17540.4,8095.81,2.27847
1.84127e+06,1.22092e+06,904861,843682,669816,447398,898282,636994,794684,11634.1,-1350.3,2592.63,86534,28842.6,27091.4,12982.6,2.29966
1.70234e+06,1.07971e+06,946002,764415,563799,357313,946732,567306,808468,9002.43,-771.096,1234.07,65362.5,27505.3,21567.7,12331.7,2.32877
2.1019e+06,1.40741e+06,896069,595301,310740,220084,847151,472075,756618,7827.64,-3770.14,21041.1,52462.1,51133.3,18425.3,7608.87,2.35815
1.74907e+06,965666,1.08675e+06,1.21173e+06,863475,515489,1.00504e+06,787310,923448,9422.67,-532.002,9445.29,56337.6,51588.7,27696.5,22159.3,2.4141
1.67881e+06,886865,1.13578e+06,1.5582e+06,1.05165e+06,598338,1.05457e+06,1.03734e+06,901263,15224.8,193.807,3453.29,81359.3,79223.3,34485,16075.2,2.43006
1.48423e+06,891439,998990,917076,748167,466950,961346,648855,848025,10680.3,-62.9122,-220.503,67236,52054.8,22567.8,17503.1,2.49576
2.44664e+06,1.57284e+06,933330,1.01104e+06,689035,419676,985096,730442,830489,13347.6,-2592.88,3382.82,88486.2,48509.2,31316.9,13400.8,2.53052
2.52282e+06,1.66641e+06,908354,775012,591947,407487,871607,609098,763436,11166.2,-1838.06,42054.8,45568.7,23770.1,22353.3,13860.4,2.54281
2.41353e+06,1.53137e+06,945633,717204,412680,268754,921318,521336,825422,9008.04,-1187.15,24203.2,49599.2,37620.7,23083.6,9991.56,2.56358
2.11697e+06,1.32589e+06,957981,1.0978e+06,876588,609910,862345,845615,778936,14539.3,-1523.84,17320.4,74057.1,50440.1,37958,14967.3,2.56909
1.69856e+06,1.16431e+06,875313,626786,348243,240495,868816,510780,736269,5774.54,-1506.95,3691.19,49513.7,20513,16599.5,7630.37,2.61995
2.85354e+06,1.85199e+06,924479,576617,446025,295520,905574,444648,778077,16091.1,-2147.83,12272,69859.7,41264.5,22709.2,14724.9,2.66671
2.60418e+06,1.60547e+06,973240,682740,478397,318045,902508,505103,811011,16706.2,-297.168,8748.56,57619,27437.1,18995.1,15866.7,2.6701
2.25011e+06,1.30073e+06,1.03793e+06,1.25167e+06,962782,588697,981268,896306,837884,16517.1,-2123.48,12832.4,94091.4,84025.6,36166.2,16929.6,2.67957
3.17682e+06,2.05305e+06,928419,773700,531413,340902,935307,562330,825530,13931.5,-787.941,2441.86,62944.1,34445.7,25333,16147.5,2.69921
1.04631e+06,663731,945844,900026,548857,354405,929203,676189,798616,9044.41,-1171.65,6884.26,67339.4,37075.9,30218.7,10740.4,2.70557
2.26513e+06,1.62402e+06,836861,498028,342230,239412,857675,383691,778795,11846.1,-109.114,10324.2,66507.1,36400.8,21422.9,11739.4,2.76024
