FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-CTV-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-eFluor 780-A,Time
1.71E+06,970154,1.06E+06,1.44E+06,970692,578212,1.01E+06,996562,869881,-2552.58,11156.3,93085.4,75840.3,12495.4,26830.6,17388.7,0.0245454
2.05E+06,1.55E+06,793586,482946,330787,245141,809626,401788,721196,-1374.06,23977.8,44045.2,27065.2,8409.68,13061.5,6399.07,0.0500897
2.43E+06,1.92E+06,758221,383170,278175,223019,748390,338461,679257,-1429.4,46449.6,38481.2,18311,5977.98,6975.51,6035.22,0.0957555
1.98E+06,1.46E+06,813007,619229,422222,315023,804174,511800,725943,-2161.85,6022.83,48285.8,30791.7,8326.85,16069.5,5450.68,0.101464
2.97E+06,1.96E+06,909255,701451,500949,344166,873327,544665,772715,-939.12,6070.46,67244.9,35709.3,11910.7,15871.4,8373.92,0.105745
1.90E+06,1.23E+06,928693,765436,540638,358205,905580,577959,794627,292.385,564.769,43252.8,34009.9,7518.87,13706.7,8987.11,0.13186
1.65E+06,1.05E+06,940288,895191,674533,440058,919696,667893,804193,-676.761,5444.33,52325.1,39365.6,8350.41,17981.3,13365,0.14028
1.16E+06,725054,963526,802570,545313,354845,922058,597604,805787,-338.735,2239.42,54531,26447.6,5962.4,14431.8,13423.5,0.161971
2.72E+06,1.91E+06,854183,492689,380324,251884,905950,376793,784552,-1447.76,2016.49,31659.7,32726.2,10489.5,10544.7,11264.4,0.223905
1.94E+06,1.23E+06,948374,1.02E+06,669492,438635,915785,730829,840102,-1455.09,5426.46,60241.6,56530.5,9786.06,18151.8,12126.3,0.277134
2.21E+06,1.48E+06,896190,716941,493307,322226,918561,558229,770588,-1530.39,11047.4,58518.7,35574.6,7966.54,20524.5,11420.5,0.285554
1.74E+06,1.07E+06,972940,735737,557020,367779,908730,518543,851313,-975.355,9368.61,62501,39163.7,7559.06,17478.1,11003.9,0.291405
2.37E+06,1.61E+06,885307,553581,415018,286931,867842,433805,765664,-1634.97,14830.7,45258.8,26802.6,7895.8,12185.5,8569.81,0.320089
1.60E+06,1.07E+06,895581,590254,449011,325825,826845,474648,746136,-1578.57,20433.5,34405.8,22407.1,4570.2,11082,8184.5,0.385305
